,1/0,1/6,1/7,1/8,1/9,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.40886854978696546,0.40886854978696546,0.40886854978696546,0.40886854978696546,0.40886854978696546,0.40886854978696546,0.40886854978696546,0.40886854978696546,0.40886854978696546
"recall, A chirp",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"recall, B chirp",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"precision, A chirp",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"precision, B chirp",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"IoU, A chirp",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"IoU, B chirp",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confusion_matrix,"[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]"
confusion_matrix_nonnorm,"[[    0     0 10129     0]
 [    0     0 12347     0]
 [    0     0 15546     0]
 [    0     0     0     0]]","[[    0     0 10129     0]
 [    0     0 12347     0]
 [    0     0 15546     0]
 [    0     0     0     0]]","[[    0     0 10129     0]
 [    0     0 12347     0]
 [    0     0 15546     0]
 [    0     0     0     0]]","[[    0     0 10129     0]
 [    0     0 12347     0]
 [    0     0 15546     0]
 [    0     0     0     0]]","[[    0     0 10129     0]
 [    0     0 12347     0]
 [    0     0 15546     0]
 [    0     0     0     0]]","[[    0     0 10129     0]
 [    0     0 12347     0]
 [    0     0 15546     0]
 [    0     0     0     0]]","[[    0     0 10129     0]
 [    0     0 12347     0]
 [    0     0 15546     0]
 [    0     0     0     0]]","[[    0     0 10129     0]
 [    0     0 12347     0]
 [    0     0 15546     0]
 [    0     0     0     0]]","[[    0     0 10129     0]
 [    0     0 12347     0]
 [    0     0 15546     0]
 [    0     0     0     0]]"
