,1/0,1/6,1/7,1/8,1/9,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.8630266687707117,0.8598969017936984,0.8529535532060386,0.8442217663457998,0.8343590552837831,0.8565041291883646,0.8400662774183367,0.8274420072589553,0.8041397085897638
"recall, A chirp",0.5912725836706486,0.5762661664527594,0.5493138513179978,0.517129035442788,0.4843518609931879,0.5650113535393425,0.5018264389377036,0.46124987659196365,0.4122815677756936
"recall, B chirp",0.9650117437434195,0.9637968737345104,0.9608811857131287,0.9559407143435652,0.9471936502794202,0.9646067870737831,0.9537539483275289,0.9368267595367296,0.8934963958856402
"precision, A chirp",0.950785839022067,0.9601908208586939,0.9674839158407234,0.9745116279069768,0.9843499197431782,0.9541513837945982,0.9773120553739666,0.993619736282433,0.9968966340415374
"precision, B chirp",0.803222327086423,0.8085337681750238,0.8138848871509913,0.8182322357019064,0.8227224762574745,0.8108108108108109,0.8211994421199442,0.834620102460495,0.8480934809348093
"IoU, A chirp",0.5737139572756011,0.5628194002506991,0.5393563396665374,0.5102279368790181,0.48065053394729107,0.550076893502499,0.4960476236947399,0.45988778423073134,0.4117531058962729
"IoU, B chirp",0.7804925979300407,0.7847016155621497,0.7877822045152723,0.7884962255327678,0.7866415551220824,0.7873859579531932,0.7897525316880155,0.7901496003825398,0.7702297004817427
confusion_matrix,"[[0.591 0.246 0.163 0.   ]
 [0.008 0.965 0.027 0.   ]
 [0.013 0.028 0.959 0.   ]
 [0.    0.    0.    0.   ]]","[[0.576 0.238 0.186 0.   ]
 [0.005 0.964 0.031 0.   ]
 [0.011 0.026 0.962 0.   ]
 [0.    0.    0.    0.   ]]","[[0.549 0.229 0.222 0.   ]
 [0.003 0.961 0.036 0.   ]
 [0.01  0.025 0.965 0.   ]
 [0.    0.    0.    0.   ]]","[[0.517 0.222 0.261 0.   ]
 [0.002 0.956 0.042 0.   ]
 [0.007 0.024 0.969 0.   ]
 [0.    0.    0.    0.   ]]","[[0.484 0.214 0.301 0.   ]
 [0.    0.947 0.052 0.   ]
 [0.005 0.022 0.973 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.233 0.202 0.   ]
 [0.007 0.965 0.029 0.   ]
 [0.012 0.027 0.961 0.   ]
 [0.    0.    0.    0.   ]]","[[0.502 0.217 0.281 0.   ]
 [0.001 0.954 0.045 0.   ]
 [0.006 0.023 0.97  0.   ]
 [0.    0.    0.    0.   ]]","[[0.461 0.197 0.341 0.   ]
 [0.    0.937 0.063 0.   ]
 [0.002 0.019 0.979 0.   ]
 [0.    0.    0.    0.   ]]","[[0.412 0.179 0.409 0.   ]
 [0.    0.893 0.107 0.   ]
 [0.001 0.011 0.988 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 5989  2491  1649     0]
 [  102 11915   330     0]
 [  208   428 14910     0]
 [    0     0     0     0]]","[[ 5837  2408  1884     0]
 [   64 11900   383     0]
 [  178   410 14958     0]
 [    0     0     0     0]]","[[ 5564  2320  2245     0]
 [   37 11864   446     0]
 [  150   393 15003     0]
 [    0     0     0     0]]","[[ 5238  2244  2647     0]
 [   27 11803   517     0]
 [  110   378 15058     0]
 [    0     0     0     0]]","[[ 4906  2171  3052     0]
 [    4 11695   648     0]
 [   74   349 15123     0]
 [    0     0     0     0]]","[[ 5723  2360  2046     0]
 [   81 11910   356     0]
 [  194   419 14933     0]
 [    0     0     0     0]]","[[ 5083  2201  2845     0]
 [   17 11776   554     0]
 [  101   363 15082     0]
 [    0     0     0     0]]","[[ 4672  1998  3459     0]
 [    0 11567   780     0]
 [   30   294 15222     0]
 [    0     0     0     0]]","[[ 4176  1810  4143     0]
 [    0 11032  1315     0]
 [   13   166 15367     0]
 [    0     0     0     0]]"
