,1/0,1/6,1/7,1/8,1/9,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.5822418599758035,0.5737730787438852,0.5540476566198517,0.5319288832781022,0.5027089579717006,0.5726158539792752,0.5134921887328389,0.4554994476881805,0.43317026984377466
"recall, A chirp",0.22914404186000592,0.21848158752097938,0.20071083028926845,0.1794846480402804,0.15292723862177904,0.2141376246421167,0.162602428670155,0.10840161911343667,0.06743015105143647
"recall, B chirp",0.357252773953187,0.33538511379282415,0.28857212278286226,0.23762857374260954,0.1691099052401393,0.33805782781242405,0.19616101077184742,0.05985259577225237,0.023892443508544584
"precision, A chirp",0.9272872552936476,0.9910434393193014,1.0,1.0,1.0,0.9329032258064516,0.99157134256472,1.0,1.0
"precision, B chirp",0.9531114952463267,0.9530494821634062,0.9580532401183114,0.9673590504451038,0.9680111265646731,0.9584385763490241,0.9494315954527637,0.901219512195122,0.8452722063037249
"IoU, A chirp",0.2250994083987974,0.2180510395112819,0.20071083028926845,0.1794846480402804,0.15292723862177904,0.21088964511424405,0.16237799467613132,0.10840161911343667,0.06743015105143647
"IoU, B chirp",0.3510824578159822,0.3299338698111704,0.28497160681436456,0.23573838984412662,0.16817010309278352,0.33317369093231164,0.19413273485091376,0.059462504023173476,0.023788404160954763
confusion_matrix,"[[0.229 0.014 0.757 0.   ]
 [0.01  0.357 0.633 0.   ]
 [0.004 0.005 0.991 0.   ]
 [0.    0.    0.    0.   ]]","[[0.218 0.012 0.769 0.   ]
 [0.001 0.335 0.663 0.   ]
 [0.    0.005 0.995 0.   ]
 [0.    0.    0.    0.   ]]","[[0.201 0.008 0.791 0.   ]
 [0.    0.289 0.711 0.   ]
 [0.    0.005 0.995 0.   ]
 [0.    0.    0.    0.   ]]","[[0.179 0.003 0.818 0.   ]
 [0.    0.238 0.762 0.   ]
 [0.    0.005 0.995 0.   ]
 [0.    0.    0.    0.   ]]","[[0.153 0.    0.847 0.   ]
 [0.    0.169 0.831 0.   ]
 [0.    0.004 0.996 0.   ]
 [0.    0.    0.    0.   ]]","[[0.214 0.01  0.776 0.   ]
 [0.01  0.338 0.652 0.   ]
 [0.002 0.005 0.992 0.   ]
 [0.    0.    0.    0.   ]]","[[0.163 0.005 0.832 0.   ]
 [0.    0.196 0.804 0.   ]
 [0.001 0.005 0.994 0.   ]
 [0.    0.    0.    0.   ]]","[[0.108 0.002 0.89  0.   ]
 [0.    0.06  0.94  0.   ]
 [0.    0.004 0.996 0.   ]
 [0.    0.    0.    0.   ]]","[[0.067 0.    0.933 0.   ]
 [0.    0.024 0.976 0.   ]
 [0.    0.003 0.997 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 2321   138  7670     0]
 [  121  4411  7815     0]
 [   61    79 15406     0]
 [    0     0     0     0]]","[[ 2213   126  7790     0]
 [   14  4141  8192     0]
 [    6    78 15462     0]
 [    0     0     0     0]]","[[ 2033    80  8016     0]
 [    0  3563  8784     0]
 [    0    76 15470     0]
 [    0     0     0     0]]","[[ 1818    26  8285     0]
 [    0  2934  9413     0]
 [    0    73 15473     0]
 [    0     0     0     0]]","[[ 1549     0  8580     0]
 [    0  2088 10259     0]
 [    0    69 15477     0]
 [    0     0     0     0]]","[[ 2169   102  7858     0]
 [  118  4174  8055     0]
 [   38    79 15429     0]
 [    0     0     0     0]]","[[ 1647    50  8432     0]
 [    2  2422  9923     0]
 [   12    79 15455     0]
 [    0     0     0     0]]","[[ 1098    17  9014     0]
 [    0   739 11608     0]
 [    0    64 15482     0]
 [    0     0     0     0]]","[[  683     0  9446     0]
 [    0   295 12052     0]
 [    0    54 15492     0]
 [    0     0     0     0]]"
