,1/0/30,1/0/40,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/6/30,1/6/40,1/6/50,1/6/70,1/6/80,1/6/90,1/6/95,1/7/30,1/7/40,1/7/50,1/7/70,1/7/80,1/7/90,1/7/95,1/8/30,1/8/40,1/8/50,1/8/70,1/8/80,1/8/90,1/8/95,1/9/30,1/9/40,1/9/50,1/9/70,1/9/80,1/9/90,1/9/95,0.4/0/30,0.4/0/40,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/30,0.2/0/40,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/30,0.1/0/40,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/30,0.05/0/40,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.898989898989899,0.8939393939393939,0.8787878787878788,0.8131313131313131,0.7777777777777778,0.7121212121212122,0.6262626262626263,0.898989898989899,0.8939393939393939,0.8787878787878788,0.8131313131313131,0.7777777777777778,0.7121212121212122,0.6262626262626263,0.898989898989899,0.8939393939393939,0.8787878787878788,0.8131313131313131,0.7777777777777778,0.7121212121212122,0.6262626262626263,0.898989898989899,0.8939393939393939,0.8787878787878788,0.8131313131313131,0.7777777777777778,0.7121212121212122,0.6262626262626263,0.898989898989899,0.8939393939393939,0.8787878787878788,0.8131313131313131,0.7777777777777778,0.7121212121212122,0.6262626262626263,0.898989898989899,0.8939393939393939,0.8787878787878788,0.8131313131313131,0.7777777777777778,0.7121212121212122,0.6262626262626263,0.898989898989899,0.8939393939393939,0.8787878787878788,0.8131313131313131,0.7777777777777778,0.7121212121212122,0.6262626262626263,0.898989898989899,0.8939393939393939,0.8787878787878788,0.8131313131313131,0.7777777777777778,0.7121212121212122,0.6262626262626263,0.898989898989899,0.8939393939393939,0.8787878787878788,0.8131313131313131,0.7777777777777778,0.7121212121212122,0.6262626262626263
"recall, A chirp",0.7971014492753623,0.782608695652174,0.7391304347826086,0.5797101449275363,0.5072463768115942,0.4057971014492754,0.3188405797101449,0.7971014492753623,0.782608695652174,0.7391304347826086,0.5797101449275363,0.5072463768115942,0.4057971014492754,0.3188405797101449,0.7971014492753623,0.782608695652174,0.7391304347826086,0.5797101449275363,0.5072463768115942,0.4057971014492754,0.3188405797101449,0.7971014492753623,0.782608695652174,0.7391304347826086,0.5797101449275363,0.5072463768115942,0.4057971014492754,0.3188405797101449,0.7971014492753623,0.782608695652174,0.7391304347826086,0.5797101449275363,0.5072463768115942,0.4057971014492754,0.3188405797101449,0.7971014492753623,0.782608695652174,0.7391304347826086,0.5797101449275363,0.5072463768115942,0.4057971014492754,0.3188405797101449,0.7971014492753623,0.782608695652174,0.7391304347826086,0.5797101449275363,0.5072463768115942,0.4057971014492754,0.3188405797101449,0.7971014492753623,0.782608695652174,0.7391304347826086,0.5797101449275363,0.5072463768115942,0.4057971014492754,0.3188405797101449,0.7971014492753623,0.782608695652174,0.7391304347826086,0.5797101449275363,0.5072463768115942,0.4057971014492754,0.3188405797101449
"recall, B chirp",0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9310344827586207,0.9310344827586207,0.8103448275862069,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9310344827586207,0.9310344827586207,0.8103448275862069,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9310344827586207,0.9310344827586207,0.8103448275862069,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9310344827586207,0.9310344827586207,0.8103448275862069,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9310344827586207,0.9310344827586207,0.8103448275862069,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9310344827586207,0.9310344827586207,0.8103448275862069,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9310344827586207,0.9310344827586207,0.8103448275862069,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9310344827586207,0.9310344827586207,0.8103448275862069,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9310344827586207,0.9310344827586207,0.8103448275862069
A chirp correct,55,54,51,40,35,28,22,55,54,51,40,35,28,22,55,54,51,40,35,28,22,55,54,51,40,35,28,22,55,54,51,40,35,28,22,55,54,51,40,35,28,22,55,54,51,40,35,28,22,55,54,51,40,35,28,22,55,54,51,40,35,28,22
A chirp incorrect,14,15,18,29,34,41,47,14,15,18,29,34,41,47,14,15,18,29,34,41,47,14,15,18,29,34,41,47,14,15,18,29,34,41,47,14,15,18,29,34,41,47,14,15,18,29,34,41,47,14,15,18,29,34,41,47,14,15,18,29,34,41,47
B chirp correct,56,56,56,56,54,54,47,56,56,56,56,54,54,47,56,56,56,56,54,54,47,56,56,56,56,54,54,47,56,56,56,56,54,54,47,56,56,56,56,54,54,47,56,56,56,56,54,54,47,56,56,56,56,54,54,47,56,56,56,56,54,54,47
B chirp incorrect,2,2,2,2,4,4,11,2,2,2,2,4,4,11,2,2,2,2,4,4,11,2,2,2,2,4,4,11,2,2,2,2,4,4,11,2,2,2,2,4,4,11,2,2,2,2,4,4,11,2,2,2,2,4,4,11,2,2,2,2,4,4,11
confusion_matrix,"[[0.797 0.159 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.783 0.174 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.188 0.058 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.188 0.058 0.174]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.507 0.188 0.058 0.246]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.406 0.188 0.058 0.348]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.058 0.435]
 [0.017 0.81  0.017 0.155]
 [0.014 0.042 0.775 0.169]
 [0.    0.    0.    0.   ]]","[[0.797 0.159 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.783 0.174 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.188 0.058 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.188 0.058 0.174]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.507 0.188 0.058 0.246]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.406 0.188 0.058 0.348]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.058 0.435]
 [0.017 0.81  0.017 0.155]
 [0.014 0.042 0.775 0.169]
 [0.    0.    0.    0.   ]]","[[0.797 0.159 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.783 0.174 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.188 0.058 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.188 0.058 0.174]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.507 0.188 0.058 0.246]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.406 0.188 0.058 0.348]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.058 0.435]
 [0.017 0.81  0.017 0.155]
 [0.014 0.042 0.775 0.169]
 [0.    0.    0.    0.   ]]","[[0.797 0.159 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.783 0.174 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.188 0.058 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.188 0.058 0.174]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.507 0.188 0.058 0.246]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.406 0.188 0.058 0.348]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.058 0.435]
 [0.017 0.81  0.017 0.155]
 [0.014 0.042 0.775 0.169]
 [0.    0.    0.    0.   ]]","[[0.797 0.159 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.783 0.174 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.188 0.058 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.188 0.058 0.174]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.507 0.188 0.058 0.246]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.406 0.188 0.058 0.348]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.058 0.435]
 [0.017 0.81  0.017 0.155]
 [0.014 0.042 0.775 0.169]
 [0.    0.    0.    0.   ]]","[[0.797 0.159 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.783 0.174 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.188 0.058 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.188 0.058 0.174]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.507 0.188 0.058 0.246]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.406 0.188 0.058 0.348]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.058 0.435]
 [0.017 0.81  0.017 0.155]
 [0.014 0.042 0.775 0.169]
 [0.    0.    0.    0.   ]]","[[0.797 0.159 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.783 0.174 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.188 0.058 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.188 0.058 0.174]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.507 0.188 0.058 0.246]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.406 0.188 0.058 0.348]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.058 0.435]
 [0.017 0.81  0.017 0.155]
 [0.014 0.042 0.775 0.169]
 [0.    0.    0.    0.   ]]","[[0.797 0.159 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.783 0.174 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.188 0.058 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.188 0.058 0.174]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.507 0.188 0.058 0.246]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.406 0.188 0.058 0.348]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.058 0.435]
 [0.017 0.81  0.017 0.155]
 [0.014 0.042 0.775 0.169]
 [0.    0.    0.    0.   ]]","[[0.797 0.159 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.783 0.174 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.188 0.058 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.188 0.058 0.174]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.507 0.188 0.058 0.246]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.406 0.188 0.058 0.348]
 [0.017 0.931 0.017 0.034]
 [0.014 0.042 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.058 0.435]
 [0.017 0.81  0.017 0.155]
 [0.014 0.042 0.775 0.169]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[55 11  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[54 12  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[51 13  4  1]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[40 13  4 12]
 [ 1 56  1  0]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[35 13  4 17]
 [ 1 54  1  2]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[28 13  4 24]
 [ 1 54  1  2]
 [ 1  3 59  8]
 [ 0  0  0  0]]","[[22 13  4 30]
 [ 1 47  1  9]
 [ 1  3 55 12]
 [ 0  0  0  0]]","[[55 11  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[54 12  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[51 13  4  1]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[40 13  4 12]
 [ 1 56  1  0]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[35 13  4 17]
 [ 1 54  1  2]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[28 13  4 24]
 [ 1 54  1  2]
 [ 1  3 59  8]
 [ 0  0  0  0]]","[[22 13  4 30]
 [ 1 47  1  9]
 [ 1  3 55 12]
 [ 0  0  0  0]]","[[55 11  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[54 12  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[51 13  4  1]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[40 13  4 12]
 [ 1 56  1  0]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[35 13  4 17]
 [ 1 54  1  2]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[28 13  4 24]
 [ 1 54  1  2]
 [ 1  3 59  8]
 [ 0  0  0  0]]","[[22 13  4 30]
 [ 1 47  1  9]
 [ 1  3 55 12]
 [ 0  0  0  0]]","[[55 11  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[54 12  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[51 13  4  1]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[40 13  4 12]
 [ 1 56  1  0]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[35 13  4 17]
 [ 1 54  1  2]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[28 13  4 24]
 [ 1 54  1  2]
 [ 1  3 59  8]
 [ 0  0  0  0]]","[[22 13  4 30]
 [ 1 47  1  9]
 [ 1  3 55 12]
 [ 0  0  0  0]]","[[55 11  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[54 12  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[51 13  4  1]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[40 13  4 12]
 [ 1 56  1  0]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[35 13  4 17]
 [ 1 54  1  2]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[28 13  4 24]
 [ 1 54  1  2]
 [ 1  3 59  8]
 [ 0  0  0  0]]","[[22 13  4 30]
 [ 1 47  1  9]
 [ 1  3 55 12]
 [ 0  0  0  0]]","[[55 11  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[54 12  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[51 13  4  1]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[40 13  4 12]
 [ 1 56  1  0]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[35 13  4 17]
 [ 1 54  1  2]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[28 13  4 24]
 [ 1 54  1  2]
 [ 1  3 59  8]
 [ 0  0  0  0]]","[[22 13  4 30]
 [ 1 47  1  9]
 [ 1  3 55 12]
 [ 0  0  0  0]]","[[55 11  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[54 12  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[51 13  4  1]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[40 13  4 12]
 [ 1 56  1  0]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[35 13  4 17]
 [ 1 54  1  2]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[28 13  4 24]
 [ 1 54  1  2]
 [ 1  3 59  8]
 [ 0  0  0  0]]","[[22 13  4 30]
 [ 1 47  1  9]
 [ 1  3 55 12]
 [ 0  0  0  0]]","[[55 11  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[54 12  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[51 13  4  1]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[40 13  4 12]
 [ 1 56  1  0]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[35 13  4 17]
 [ 1 54  1  2]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[28 13  4 24]
 [ 1 54  1  2]
 [ 1  3 59  8]
 [ 0  0  0  0]]","[[22 13  4 30]
 [ 1 47  1  9]
 [ 1  3 55 12]
 [ 0  0  0  0]]","[[55 11  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[54 12  3  0]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[51 13  4  1]
 [ 1 56  1  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[40 13  4 12]
 [ 1 56  1  0]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[35 13  4 17]
 [ 1 54  1  2]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[28 13  4 24]
 [ 1 54  1  2]
 [ 1  3 59  8]
 [ 0  0  0  0]]","[[22 13  4 30]
 [ 1 47  1  9]
 [ 1  3 55 12]
 [ 0  0  0  0]]"
