,1/0/30,1/0/40,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/1/30,1/1/40,1/1/50,1/1/70,1/1/80,1/1/90,1/1/95,0.4/0/30,0.4/0/40,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/30,0.2/0/40,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/30,0.1/0/40,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/30,0.05/0/40,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.8484848484848485,0.8232323232323232,0.797979797979798,0.6868686868686869,0.6414141414141414,0.5656565656565656,0.4898989898989899,0.8484848484848485,0.8232323232323232,0.797979797979798,0.6868686868686869,0.6414141414141414,0.5656565656565656,0.4898989898989899,0.8484848484848485,0.8232323232323232,0.797979797979798,0.6868686868686869,0.6414141414141414,0.5656565656565656,0.4898989898989899,0.8484848484848485,0.8232323232323232,0.797979797979798,0.6868686868686869,0.6414141414141414,0.5656565656565656,0.4898989898989899,0.8484848484848485,0.8232323232323232,0.797979797979798,0.6868686868686869,0.6414141414141414,0.5656565656565656,0.4898989898989899,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856
"recall, A chirp",0.6521739130434783,0.5797101449275363,0.5507246376811594,0.3333333333333333,0.2898550724637681,0.2028985507246377,0.15942028985507245,0.6521739130434783,0.5797101449275363,0.5507246376811594,0.3333333333333333,0.2898550724637681,0.2028985507246377,0.15942028985507245,0.6521739130434783,0.5797101449275363,0.5507246376811594,0.3333333333333333,0.2898550724637681,0.2028985507246377,0.15942028985507245,0.6521739130434783,0.5797101449275363,0.5507246376811594,0.3333333333333333,0.2898550724637681,0.2028985507246377,0.15942028985507245,0.6521739130434783,0.5797101449275363,0.5507246376811594,0.3333333333333333,0.2898550724637681,0.2028985507246377,0.15942028985507245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"recall, B chirp",0.9310344827586207,0.9310344827586207,0.9137931034482759,0.8620689655172413,0.7931034482758621,0.6896551724137931,0.5517241379310345,0.9310344827586207,0.9310344827586207,0.9137931034482759,0.8620689655172413,0.7931034482758621,0.6896551724137931,0.5517241379310345,0.9310344827586207,0.9310344827586207,0.9137931034482759,0.8620689655172413,0.7931034482758621,0.6896551724137931,0.5517241379310345,0.9310344827586207,0.9310344827586207,0.9137931034482759,0.8620689655172413,0.7931034482758621,0.6896551724137931,0.5517241379310345,0.9310344827586207,0.9310344827586207,0.9137931034482759,0.8620689655172413,0.7931034482758621,0.6896551724137931,0.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A chirp correct,45,40,38,23,20,14,11,45,40,38,23,20,14,11,45,40,38,23,20,14,11,45,40,38,23,20,14,11,45,40,38,23,20,14,11,0,0,0,0,0,0,0
A chirp incorrect,24,29,31,46,49,55,58,24,29,31,46,49,55,58,24,29,31,46,49,55,58,24,29,31,46,49,55,58,24,29,31,46,49,55,58,69,69,69,69,69,69,69
B chirp correct,54,54,53,50,46,40,32,54,54,53,50,46,40,32,54,54,53,50,46,40,32,54,54,53,50,46,40,32,54,54,53,50,46,40,32,0,0,0,0,0,0,0
B chirp incorrect,4,4,5,8,12,18,26,4,4,5,8,12,18,26,4,4,5,8,12,18,26,4,4,5,8,12,18,26,4,4,5,8,12,18,26,58,58,58,58,58,58,58
confusion_matrix,"[[0.652 0.174 0.174 0.   ]
 [0.    0.931 0.069 0.   ]
 [0.    0.028 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.174 0.246 0.   ]
 [0.    0.931 0.069 0.   ]
 [0.    0.028 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.551 0.174 0.275 0.   ]
 [0.    0.914 0.086 0.   ]
 [0.014 0.028 0.944 0.014]
 [0.    0.    0.    0.   ]]","[[0.333 0.174 0.275 0.217]
 [0.    0.862 0.086 0.052]
 [0.014 0.042 0.887 0.056]
 [0.    0.    0.    0.   ]]","[[0.29  0.174 0.275 0.261]
 [0.    0.793 0.086 0.121]
 [0.014 0.042 0.859 0.085]
 [0.    0.    0.    0.   ]]","[[0.203 0.174 0.275 0.348]
 [0.    0.69  0.086 0.224]
 [0.014 0.042 0.817 0.127]
 [0.    0.    0.    0.   ]]","[[0.159 0.174 0.275 0.391]
 [0.    0.552 0.086 0.362]
 [0.014 0.042 0.761 0.183]
 [0.    0.    0.    0.   ]]","[[0.652 0.174 0.174 0.   ]
 [0.    0.931 0.069 0.   ]
 [0.    0.028 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.174 0.246 0.   ]
 [0.    0.931 0.069 0.   ]
 [0.    0.028 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.551 0.174 0.275 0.   ]
 [0.    0.914 0.086 0.   ]
 [0.014 0.028 0.944 0.014]
 [0.    0.    0.    0.   ]]","[[0.333 0.174 0.275 0.217]
 [0.    0.862 0.086 0.052]
 [0.014 0.042 0.887 0.056]
 [0.    0.    0.    0.   ]]","[[0.29  0.174 0.275 0.261]
 [0.    0.793 0.086 0.121]
 [0.014 0.042 0.859 0.085]
 [0.    0.    0.    0.   ]]","[[0.203 0.174 0.275 0.348]
 [0.    0.69  0.086 0.224]
 [0.014 0.042 0.817 0.127]
 [0.    0.    0.    0.   ]]","[[0.159 0.174 0.275 0.391]
 [0.    0.552 0.086 0.362]
 [0.014 0.042 0.761 0.183]
 [0.    0.    0.    0.   ]]","[[0.652 0.174 0.174 0.   ]
 [0.    0.931 0.069 0.   ]
 [0.    0.028 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.174 0.246 0.   ]
 [0.    0.931 0.069 0.   ]
 [0.    0.028 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.551 0.174 0.275 0.   ]
 [0.    0.914 0.086 0.   ]
 [0.014 0.028 0.944 0.014]
 [0.    0.    0.    0.   ]]","[[0.333 0.174 0.275 0.217]
 [0.    0.862 0.086 0.052]
 [0.014 0.042 0.887 0.056]
 [0.    0.    0.    0.   ]]","[[0.29  0.174 0.275 0.261]
 [0.    0.793 0.086 0.121]
 [0.014 0.042 0.859 0.085]
 [0.    0.    0.    0.   ]]","[[0.203 0.174 0.275 0.348]
 [0.    0.69  0.086 0.224]
 [0.014 0.042 0.817 0.127]
 [0.    0.    0.    0.   ]]","[[0.159 0.174 0.275 0.391]
 [0.    0.552 0.086 0.362]
 [0.014 0.042 0.761 0.183]
 [0.    0.    0.    0.   ]]","[[0.652 0.174 0.174 0.   ]
 [0.    0.931 0.069 0.   ]
 [0.    0.028 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.174 0.246 0.   ]
 [0.    0.931 0.069 0.   ]
 [0.    0.028 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.551 0.174 0.275 0.   ]
 [0.    0.914 0.086 0.   ]
 [0.014 0.028 0.944 0.014]
 [0.    0.    0.    0.   ]]","[[0.333 0.174 0.275 0.217]
 [0.    0.862 0.086 0.052]
 [0.014 0.042 0.887 0.056]
 [0.    0.    0.    0.   ]]","[[0.29  0.174 0.275 0.261]
 [0.    0.793 0.086 0.121]
 [0.014 0.042 0.859 0.085]
 [0.    0.    0.    0.   ]]","[[0.203 0.174 0.275 0.348]
 [0.    0.69  0.086 0.224]
 [0.014 0.042 0.817 0.127]
 [0.    0.    0.    0.   ]]","[[0.159 0.174 0.275 0.391]
 [0.    0.552 0.086 0.362]
 [0.014 0.042 0.761 0.183]
 [0.    0.    0.    0.   ]]","[[0.652 0.174 0.174 0.   ]
 [0.    0.931 0.069 0.   ]
 [0.    0.028 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.174 0.246 0.   ]
 [0.    0.931 0.069 0.   ]
 [0.    0.028 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.551 0.174 0.275 0.   ]
 [0.    0.914 0.086 0.   ]
 [0.014 0.028 0.944 0.014]
 [0.    0.    0.    0.   ]]","[[0.333 0.174 0.275 0.217]
 [0.    0.862 0.086 0.052]
 [0.014 0.042 0.887 0.056]
 [0.    0.    0.    0.   ]]","[[0.29  0.174 0.275 0.261]
 [0.    0.793 0.086 0.121]
 [0.014 0.042 0.859 0.085]
 [0.    0.    0.    0.   ]]","[[0.203 0.174 0.275 0.348]
 [0.    0.69  0.086 0.224]
 [0.014 0.042 0.817 0.127]
 [0.    0.    0.    0.   ]]","[[0.159 0.174 0.275 0.391]
 [0.    0.552 0.086 0.362]
 [0.014 0.042 0.761 0.183]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]"
confusion_matrix_nonnorm,"[[45 12 12  0]
 [ 0 54  4  0]
 [ 0  2 69  0]
 [ 0  0  0  0]]","[[40 12 17  0]
 [ 0 54  4  0]
 [ 0  2 69  0]
 [ 0  0  0  0]]","[[38 12 19  0]
 [ 0 53  5  0]
 [ 1  2 67  1]
 [ 0  0  0  0]]","[[23 12 19 15]
 [ 0 50  5  3]
 [ 1  3 63  4]
 [ 0  0  0  0]]","[[20 12 19 18]
 [ 0 46  5  7]
 [ 1  3 61  6]
 [ 0  0  0  0]]","[[14 12 19 24]
 [ 0 40  5 13]
 [ 1  3 58  9]
 [ 0  0  0  0]]","[[11 12 19 27]
 [ 0 32  5 21]
 [ 1  3 54 13]
 [ 0  0  0  0]]","[[45 12 12  0]
 [ 0 54  4  0]
 [ 0  2 69  0]
 [ 0  0  0  0]]","[[40 12 17  0]
 [ 0 54  4  0]
 [ 0  2 69  0]
 [ 0  0  0  0]]","[[38 12 19  0]
 [ 0 53  5  0]
 [ 1  2 67  1]
 [ 0  0  0  0]]","[[23 12 19 15]
 [ 0 50  5  3]
 [ 1  3 63  4]
 [ 0  0  0  0]]","[[20 12 19 18]
 [ 0 46  5  7]
 [ 1  3 61  6]
 [ 0  0  0  0]]","[[14 12 19 24]
 [ 0 40  5 13]
 [ 1  3 58  9]
 [ 0  0  0  0]]","[[11 12 19 27]
 [ 0 32  5 21]
 [ 1  3 54 13]
 [ 0  0  0  0]]","[[45 12 12  0]
 [ 0 54  4  0]
 [ 0  2 69  0]
 [ 0  0  0  0]]","[[40 12 17  0]
 [ 0 54  4  0]
 [ 0  2 69  0]
 [ 0  0  0  0]]","[[38 12 19  0]
 [ 0 53  5  0]
 [ 1  2 67  1]
 [ 0  0  0  0]]","[[23 12 19 15]
 [ 0 50  5  3]
 [ 1  3 63  4]
 [ 0  0  0  0]]","[[20 12 19 18]
 [ 0 46  5  7]
 [ 1  3 61  6]
 [ 0  0  0  0]]","[[14 12 19 24]
 [ 0 40  5 13]
 [ 1  3 58  9]
 [ 0  0  0  0]]","[[11 12 19 27]
 [ 0 32  5 21]
 [ 1  3 54 13]
 [ 0  0  0  0]]","[[45 12 12  0]
 [ 0 54  4  0]
 [ 0  2 69  0]
 [ 0  0  0  0]]","[[40 12 17  0]
 [ 0 54  4  0]
 [ 0  2 69  0]
 [ 0  0  0  0]]","[[38 12 19  0]
 [ 0 53  5  0]
 [ 1  2 67  1]
 [ 0  0  0  0]]","[[23 12 19 15]
 [ 0 50  5  3]
 [ 1  3 63  4]
 [ 0  0  0  0]]","[[20 12 19 18]
 [ 0 46  5  7]
 [ 1  3 61  6]
 [ 0  0  0  0]]","[[14 12 19 24]
 [ 0 40  5 13]
 [ 1  3 58  9]
 [ 0  0  0  0]]","[[11 12 19 27]
 [ 0 32  5 21]
 [ 1  3 54 13]
 [ 0  0  0  0]]","[[45 12 12  0]
 [ 0 54  4  0]
 [ 0  2 69  0]
 [ 0  0  0  0]]","[[40 12 17  0]
 [ 0 54  4  0]
 [ 0  2 69  0]
 [ 0  0  0  0]]","[[38 12 19  0]
 [ 0 53  5  0]
 [ 1  2 67  1]
 [ 0  0  0  0]]","[[23 12 19 15]
 [ 0 50  5  3]
 [ 1  3 63  4]
 [ 0  0  0  0]]","[[20 12 19 18]
 [ 0 46  5  7]
 [ 1  3 61  6]
 [ 0  0  0  0]]","[[14 12 19 24]
 [ 0 40  5 13]
 [ 1  3 58  9]
 [ 0  0  0  0]]","[[11 12 19 27]
 [ 0 32  5 21]
 [ 1  3 54 13]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]"
