,1/0,1/15,1/20,1/25,1/28,1/29,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.8093998211561727,0.8080847930145705,0.7929882699489769,0.7664773026142759,0.7210036294776708,0.6926779233075587,0.7995897112198201,0.7615853979275157,0.7242122981431802,0.6795276418915365
"recall, A chirp",0.43795043933260935,0.4330141178793563,0.3975713298449995,0.3485042945996643,0.30763155296672917,0.28689900286306647,0.4144535492151249,0.3441603317208017,0.28344357784578933,0.23704215618521077
"recall, B chirp",0.9220863367619665,0.9211954320887665,0.8872600631732405,0.8327528954401879,0.7209038632866284,0.6485786020895764,0.9005426419373127,0.82497772738317,0.7484409168219001,0.6484976107556492
"precision, A chirp",0.9402289105553201,0.9426176660219213,0.9687274476786144,0.9915730337078652,0.9993585631815266,0.999656002751978,0.9556111996357842,0.9894975872835652,0.9996518105849582,1.0
"precision, B chirp",0.8205405405405405,0.8227719907407407,0.8325733394132847,0.8484198366201832,0.8798932384341637,0.893650262247517,0.8259545387015302,0.8446102819237148,0.8581909361069836,0.8699478487614081
"IoU, A chirp",0.42608779175871675,0.4218930357829935,0.39253338532020665,0.34747514519145584,0.30757082222880266,0.28687068114511355,0.4066253390158853,0.3429077316545347,0.28341559723593285,0.23704215618521077
"IoU, B chirp",0.7673384107299319,0.768669324863148,0.7529209621993127,0.7249012972363226,0.6563191269724229,0.6021052631578947,0.7569094622191967,0.7162646789958512,0.6660660227764164,0.5911842882457177
confusion_matrix,"[[0.438 0.21  0.352 0.   ]
 [0.004 0.922 0.074 0.   ]
 [0.015 0.023 0.962 0.   ]
 [0.    0.    0.    0.   ]]","[[0.433 0.206 0.361 0.   ]
 [0.004 0.921 0.075 0.   ]
 [0.014 0.023 0.963 0.   ]
 [0.    0.    0.    0.   ]]","[[0.398 0.193 0.409 0.   ]
 [0.    0.887 0.113 0.   ]
 [0.008 0.016 0.976 0.   ]
 [0.    0.    0.    0.   ]]","[[0.349 0.163 0.488 0.   ]
 [0.    0.833 0.167 0.   ]
 [0.002 0.012 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.308 0.105 0.587 0.   ]
 [0.    0.721 0.279 0.   ]
 [0.    0.009 0.99  0.   ]
 [0.    0.    0.    0.   ]]","[[0.287 0.082 0.631 0.   ]
 [0.    0.649 0.351 0.   ]
 [0.    0.008 0.992 0.   ]
 [0.    0.    0.    0.   ]]","[[0.414 0.205 0.38  0.   ]
 [0.    0.901 0.099 0.   ]
 [0.013 0.017 0.97  0.   ]
 [0.    0.    0.    0.   ]]","[[0.344 0.163 0.493 0.   ]
 [0.    0.825 0.175 0.   ]
 [0.002 0.014 0.983 0.   ]
 [0.    0.    0.    0.   ]]","[[0.283 0.139 0.578 0.   ]
 [0.    0.748 0.252 0.   ]
 [0.    0.008 0.992 0.   ]
 [0.    0.    0.    0.   ]]","[[0.237 0.107 0.656 0.   ]
 [0.    0.648 0.352 0.   ]
 [0.    0.008 0.992 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 4436  2131  3562     0]
 [   49 11385   913     0]
 [  233   359 14954     0]
 [    0     0     0     0]]","[[ 4386  2091  3652     0]
 [   45 11374   928     0]
 [  222   359 14965     0]
 [    0     0     0     0]]","[[ 4027  1956  4146     0]
 [    0 10955  1392     0]
 [  130   247 15169     0]
 [    0     0     0     0]]","[[ 3530  1652  4947     0]
 [    0 10282  2065     0]
 [   30   185 15331     0]
 [    0     0     0     0]]","[[ 3116  1068  5945     0]
 [    0  8901  3446     0]
 [    2   147 15397     0]
 [    0     0     0     0]]","[[ 2906   831  6392     0]
 [    0  8008  4339     0]
 [    1   122 15423     0]
 [    0     0     0     0]]","[[ 4198  2077  3854     0]
 [    0 11119  1228     0]
 [  195   266 15085     0]
 [    0     0     0     0]]","[[ 3486  1650  4993     0]
 [    0 10186  2161     0]
 [   37   224 15285     0]
 [    0     0     0     0]]","[[ 2871  1406  5852     0]
 [    0  9241  3106     0]
 [    1   121 15424     0]
 [    0     0     0     0]]","[[ 2401  1080  6648     0]
 [    0  8007  4340     0]
 [    0   117 15429     0]
 [    0     0     0     0]]"
