,1/0,1/15,1/20,1/25,1/28,1/29,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.7925148598180001,0.790726421545421,0.7614012939876913,0.7251328178423019,0.6859975803482194,0.6638525064436379,0.7737625585187523,0.7174793540581769,0.6466519383514807,0.5949450318236811
"recall, A chirp",0.4489090729588311,0.44387402507651297,0.4038898213051634,0.35590877677954386,0.31256787441998224,0.28837989929904234,0.44041860005923583,0.354427880343568,0.2635995656037121,0.19814394313357686
"recall, B chirp",0.8647444723414595,0.862800680327205,0.795253907831862,0.6996031424637564,0.6063821171134689,0.5575443427553252,0.8115331659512433,0.6816230663319025,0.5244188871790718,0.41661942172187577
"precision, A chirp",0.9425787728026535,0.9441411171776565,0.9592028135990621,0.9825565549195966,0.9993686868686869,1.0,0.9463300806109461,0.977402668118704,1.0,1.0
"precision, B chirp",0.8177222945546451,0.8183284682746965,0.8306403857541663,0.874911374455586,0.9012880703021549,0.9201978345141024,0.8275520317145689,0.8704105905471093,0.9020618556701031,0.9364645912980156
"IoU, A chirp",0.4369594464731885,0.4325156325156325,0.39706881490827917,0.3536740900618071,0.3125061691836936,0.28837989929904234,0.42968599499133114,0.3515471993732863,0.2635995656037121,0.19814394313357686
"IoU, B chirp",0.7249949073130983,0.7241027732463295,0.684298557390759,0.6359888087174201,0.568618515986937,0.5318294190358467,0.6941461724974022,0.6188235294117647,0.49616858237547895,0.40516698172652804
confusion_matrix,"[[0.449 0.193 0.358 0.   ]
 [0.005 0.865 0.13  0.   ]
 [0.014 0.027 0.959 0.   ]
 [0.    0.    0.    0.   ]]","[[0.444 0.192 0.364 0.   ]
 [0.004 0.863 0.133 0.   ]
 [0.014 0.027 0.959 0.   ]
 [0.    0.    0.    0.   ]]","[[0.404 0.162 0.434 0.   ]
 [0.002 0.795 0.203 0.   ]
 [0.01  0.023 0.967 0.   ]
 [0.    0.    0.    0.   ]]","[[0.356 0.105 0.539 0.   ]
 [0.001 0.7   0.299 0.   ]
 [0.003 0.011 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.313 0.07  0.618 0.   ]
 [0.    0.606 0.394 0.   ]
 [0.    0.007 0.993 0.   ]
 [0.    0.    0.    0.   ]]","[[0.288 0.048 0.664 0.   ]
 [0.    0.558 0.442 0.   ]
 [0.    0.007 0.993 0.   ]
 [0.    0.    0.    0.   ]]","[[0.44  0.167 0.393 0.   ]
 [0.003 0.812 0.185 0.   ]
 [0.014 0.025 0.961 0.   ]
 [0.    0.    0.    0.   ]]","[[0.354 0.104 0.542 0.   ]
 [0.001 0.682 0.317 0.   ]
 [0.005 0.013 0.983 0.   ]
 [0.    0.    0.    0.   ]]","[[0.264 0.059 0.677 0.   ]
 [0.    0.524 0.476 0.   ]
 [0.    0.007 0.993 0.   ]
 [0.    0.    0.    0.   ]]","[[0.198 0.027 0.775 0.   ]
 [0.    0.417 0.583 0.   ]
 [0.    0.005 0.995 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 4547  1958  3624     0]
 [   62 10677  1608     0]
 [  215   422 14909     0]
 [    0     0     0     0]]","[[ 4496  1948  3685     0]
 [   53 10653  1641     0]
 [  213   417 14916     0]
 [    0     0     0     0]]","[[ 4091  1644  4394     0]
 [   26  9819  2502     0]
 [  148   358 15040     0]
 [    0     0     0     0]]","[[ 3605  1068  5456     0]
 [   13  8638  3696     0]
 [   51   167 15328     0]
 [    0     0     0     0]]","[[ 3166   706  6257     0]
 [    0  7487  4860     0]
 [    2   114 15430     0]
 [    0     0     0     0]]","[[ 2921   487  6721     0]
 [    0  6884  5463     0]
 [    0   110 15436     0]
 [    0     0     0     0]]","[[ 4461  1692  3976     0]
 [   42 10020  2285     0]
 [  211   396 14939     0]
 [    0     0     0     0]]","[[ 3590  1053  5486     0]
 [   11  8416  3920     0]
 [   72   200 15274     0]
 [    0     0     0     0]]","[[ 2670   599  6860     0]
 [    0  6475  5872     0]
 [    0   104 15442     0]
 [    0     0     0     0]]","[[ 2007   273  7849     0]
 [    0  5144  7203     0]
 [    0    76 15470     0]
 [    0     0     0     0]]"
