,1/0,1/15,1/20,1/25,1/28,1/29,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.7043816737678187,0.7050654884014518,0.6688759139445584,0.63442217663458,0.6092262374414813,0.5957340487086423,0.682183998737573,0.6309505023407501,0.5711167218978486,0.5135447898585029
"recall, A chirp",0.3627209003850331,0.3618323625234475,0.323526508046204,0.2730773027939579,0.2417810247803337,0.22558989041366373,0.3567973146411294,0.26823970776976996,0.18116299733438643,0.12143350775002468
"recall, B chirp",0.6425852433789585,0.6416943387057585,0.5521989147161254,0.48125050619583704,0.42658135579492995,0.39701951891147647,0.5753624362193245,0.47639102616020085,0.35709079128533244,0.22790961367133716
"precision, A chirp",0.9500905094388414,0.9599266631744369,0.9675228816061411,0.9818956336528222,0.9947197400487409,1.0,0.9548216644649934,0.9720930232558139,1.0,1.0
"precision, B chirp",0.8521104070454302,0.8542318059299191,0.8884545217617931,0.9361903261383331,0.9732076866223208,0.9762995419239195,0.8686720469552458,0.9387168847749761,0.9732891832229581,0.9777623349548298
"IoU, A chirp",0.35593877155590004,0.35644816183621864,0.32005078620959077,0.27170923379174855,0.24147111023466772,0.22558989041366373,0.350873786407767,0.2661898696972666,0.18116299733438643,0.12143350775002468
"IoU, B chirp",0.57811133780239,0.5783633841886269,0.5163977883814285,0.4659661229611041,0.42162984309958373,0.39322958446975775,0.5293197228224424,0.4620218364621789,0.35362528071863975,0.22673434856175972
confusion_matrix,"[[0.363 0.112 0.526 0.   ]
 [0.005 0.643 0.352 0.   ]
 [0.008 0.016 0.976 0.   ]
 [0.    0.    0.    0.   ]]","[[0.362 0.11  0.528 0.   ]
 [0.005 0.642 0.353 0.   ]
 [0.006 0.015 0.979 0.   ]
 [0.    0.    0.    0.   ]]","[[0.324 0.07  0.607 0.   ]
 [0.004 0.552 0.444 0.   ]
 [0.004 0.01  0.987 0.   ]
 [0.    0.    0.    0.   ]]","[[0.273 0.031 0.696 0.   ]
 [0.001 0.481 0.518 0.   ]
 [0.002 0.006 0.992 0.   ]
 [0.    0.    0.    0.   ]]","[[0.242 0.006 0.752 0.   ]
 [0.    0.427 0.573 0.   ]
 [0.001 0.005 0.994 0.   ]
 [0.    0.    0.    0.   ]]","[[0.226 0.004 0.771 0.   ]
 [0.    0.397 0.603 0.   ]
 [0.    0.005 0.995 0.   ]
 [0.    0.    0.    0.   ]]","[[0.357 0.084 0.559 0.   ]
 [0.005 0.575 0.419 0.   ]
 [0.007 0.014 0.979 0.   ]
 [0.    0.    0.    0.   ]]","[[0.268 0.028 0.704 0.   ]
 [0.002 0.476 0.522 0.   ]
 [0.003 0.007 0.99  0.   ]
 [0.    0.    0.    0.   ]]","[[0.181 0.005 0.814 0.   ]
 [0.    0.357 0.643 0.   ]
 [0.    0.005 0.995 0.   ]
 [0.    0.    0.    0.   ]]","[[0.121 0.    0.879 0.   ]
 [0.    0.228 0.772 0.   ]
 [0.    0.004 0.996 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 3674  1132  5323     0]
 [   66  7934  4347     0]
 [  127   245 15174     0]
 [    0     0     0     0]]","[[ 3665  1119  5345     0]
 [   60  7923  4364     0]
 [   93   233 15220     0]
 [    0     0     0     0]]","[[ 3277   707  6145     0]
 [   50  6818  5479     0]
 [   60   149 15337     0]
 [    0     0     0     0]]","[[ 2766   310  7053     0]
 [   14  5942  6391     0]
 [   37    95 15414     0]
 [    0     0     0     0]]","[[ 2449    60  7620     0]
 [    0  5267  7080     0]
 [   13    85 15448     0]
 [    0     0     0     0]]","[[ 2285    37  7807     0]
 [    0  4902  7445     0]
 [    0    82 15464     0]
 [    0     0     0     0]]","[[ 3614   853  5662     0]
 [   66  7104  5177     0]
 [  105   221 15220     0]
 [    0     0     0     0]]","[[ 2717   281  7131     0]
 [   26  5882  6439     0]
 [   52   103 15391     0]
 [    0     0     0     0]]","[[ 1835    46  8248     0]
 [    0  4409  7938     0]
 [    0    75 15471     0]
 [    0     0     0     0]]","[[ 1230     0  8899     0]
 [    0  2814  9533     0]
 [    0    64 15482     0]
 [    0     0     0     0]]"
