,1/0/30,1/0/40,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/15/30,1/15/40,1/15/50,1/15/70,1/15/80,1/15/90,1/15/95,1/20/30,1/20/40,1/20/50,1/20/70,1/20/80,1/20/90,1/20/95,1/25/30,1/25/40,1/25/50,1/25/70,1/25/80,1/25/90,1/25/95,1/28/30,1/28/40,1/28/50,1/28/70,1/28/80,1/28/90,1/28/95,1/29/30,1/29/40,1/29/50,1/29/70,1/29/80,1/29/90,1/29/95,0.4/0/30,0.4/0/40,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/30,0.2/0/40,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/30,0.1/0/40,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/30,0.05/0/40,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.7626262626262627,0.7171717171717171,0.6666666666666666,0.5757575757575758,0.5505050505050505,0.494949494949495,0.4494949494949495,0.7626262626262627,0.7171717171717171,0.6666666666666666,0.5757575757575758,0.5505050505050505,0.494949494949495,0.4494949494949495,0.7626262626262627,0.7171717171717171,0.6666666666666666,0.5757575757575758,0.5505050505050505,0.494949494949495,0.4494949494949495,0.7626262626262627,0.7171717171717171,0.6666666666666666,0.5757575757575758,0.5505050505050505,0.494949494949495,0.4494949494949495,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.7626262626262627,0.7171717171717171,0.6666666666666666,0.5757575757575758,0.5505050505050505,0.494949494949495,0.4494949494949495,0.7626262626262627,0.7171717171717171,0.6666666666666666,0.5757575757575758,0.5505050505050505,0.494949494949495,0.4494949494949495,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856
"recall, A chirp",0.5652173913043478,0.4927536231884058,0.4057971014492754,0.2463768115942029,0.2318840579710145,0.18840579710144928,0.10144927536231885,0.5652173913043478,0.4927536231884058,0.4057971014492754,0.2463768115942029,0.2318840579710145,0.18840579710144928,0.10144927536231885,0.5652173913043478,0.4927536231884058,0.4057971014492754,0.2463768115942029,0.2318840579710145,0.18840579710144928,0.10144927536231885,0.5652173913043478,0.4927536231884058,0.4057971014492754,0.2463768115942029,0.2318840579710145,0.18840579710144928,0.10144927536231885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5652173913043478,0.4927536231884058,0.4057971014492754,0.2463768115942029,0.2318840579710145,0.18840579710144928,0.10144927536231885,0.5652173913043478,0.4927536231884058,0.4057971014492754,0.2463768115942029,0.2318840579710145,0.18840579710144928,0.10144927536231885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"recall, B chirp",0.7241379310344828,0.6551724137931034,0.5862068965517241,0.5,0.43103448275862066,0.3275862068965517,0.29310344827586204,0.7241379310344828,0.6551724137931034,0.5862068965517241,0.5,0.43103448275862066,0.3275862068965517,0.29310344827586204,0.7241379310344828,0.6551724137931034,0.5862068965517241,0.5,0.43103448275862066,0.3275862068965517,0.29310344827586204,0.7241379310344828,0.6551724137931034,0.5862068965517241,0.5,0.43103448275862066,0.3275862068965517,0.29310344827586204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7241379310344828,0.6551724137931034,0.5862068965517241,0.5,0.43103448275862066,0.3275862068965517,0.29310344827586204,0.7241379310344828,0.6551724137931034,0.5862068965517241,0.5,0.43103448275862066,0.3275862068965517,0.29310344827586204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A chirp correct,39,34,28,17,16,13,7,39,34,28,17,16,13,7,39,34,28,17,16,13,7,39,34,28,17,16,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,34,28,17,16,13,7,39,34,28,17,16,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A chirp incorrect,30,35,41,52,53,56,62,30,35,41,52,53,56,62,30,35,41,52,53,56,62,30,35,41,52,53,56,62,69,69,69,69,69,69,69,69,69,69,69,69,69,69,30,35,41,52,53,56,62,30,35,41,52,53,56,62,69,69,69,69,69,69,69,69,69,69,69,69,69,69
B chirp correct,42,38,34,29,25,19,17,42,38,34,29,25,19,17,42,38,34,29,25,19,17,42,38,34,29,25,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,38,34,29,25,19,17,42,38,34,29,25,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B chirp incorrect,16,20,24,29,33,39,41,16,20,24,29,33,39,41,16,20,24,29,33,39,41,16,20,24,29,33,39,41,58,58,58,58,58,58,58,58,58,58,58,58,58,58,16,20,24,29,33,39,41,16,20,24,29,33,39,41,58,58,58,58,58,58,58,58,58,58,58,58,58,58
confusion_matrix,"[[0.565 0.029 0.406 0.   ]
 [0.    0.724 0.276 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.493 0.029 0.478 0.   ]
 [0.    0.655 0.345 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.406 0.029 0.565 0.   ]
 [0.    0.586 0.397 0.017]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.246 0.029 0.565 0.159]
 [0.    0.5   0.397 0.103]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.232 0.029 0.565 0.174]
 [0.    0.431 0.397 0.172]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.188 0.029 0.565 0.217]
 [0.    0.328 0.397 0.276]
 [0.    0.014 0.93  0.056]
 [0.    0.    0.    0.   ]]","[[0.101 0.029 0.565 0.304]
 [0.    0.293 0.397 0.31 ]
 [0.    0.014 0.915 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.565 0.029 0.406 0.   ]
 [0.    0.724 0.276 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.493 0.029 0.478 0.   ]
 [0.    0.655 0.345 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.406 0.029 0.565 0.   ]
 [0.    0.586 0.397 0.017]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.246 0.029 0.565 0.159]
 [0.    0.5   0.397 0.103]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.232 0.029 0.565 0.174]
 [0.    0.431 0.397 0.172]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.188 0.029 0.565 0.217]
 [0.    0.328 0.397 0.276]
 [0.    0.014 0.93  0.056]
 [0.    0.    0.    0.   ]]","[[0.101 0.029 0.565 0.304]
 [0.    0.293 0.397 0.31 ]
 [0.    0.014 0.915 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.565 0.029 0.406 0.   ]
 [0.    0.724 0.276 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.493 0.029 0.478 0.   ]
 [0.    0.655 0.345 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.406 0.029 0.565 0.   ]
 [0.    0.586 0.397 0.017]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.246 0.029 0.565 0.159]
 [0.    0.5   0.397 0.103]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.232 0.029 0.565 0.174]
 [0.    0.431 0.397 0.172]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.188 0.029 0.565 0.217]
 [0.    0.328 0.397 0.276]
 [0.    0.014 0.93  0.056]
 [0.    0.    0.    0.   ]]","[[0.101 0.029 0.565 0.304]
 [0.    0.293 0.397 0.31 ]
 [0.    0.014 0.915 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.565 0.029 0.406 0.   ]
 [0.    0.724 0.276 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.493 0.029 0.478 0.   ]
 [0.    0.655 0.345 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.406 0.029 0.565 0.   ]
 [0.    0.586 0.397 0.017]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.246 0.029 0.565 0.159]
 [0.    0.5   0.397 0.103]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.232 0.029 0.565 0.174]
 [0.    0.431 0.397 0.172]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.188 0.029 0.565 0.217]
 [0.    0.328 0.397 0.276]
 [0.    0.014 0.93  0.056]
 [0.    0.    0.    0.   ]]","[[0.101 0.029 0.565 0.304]
 [0.    0.293 0.397 0.31 ]
 [0.    0.014 0.915 0.07 ]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0.565 0.029 0.406 0.   ]
 [0.    0.724 0.276 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.493 0.029 0.478 0.   ]
 [0.    0.655 0.345 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.406 0.029 0.565 0.   ]
 [0.    0.586 0.397 0.017]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.246 0.029 0.565 0.159]
 [0.    0.5   0.397 0.103]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.232 0.029 0.565 0.174]
 [0.    0.431 0.397 0.172]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.188 0.029 0.565 0.217]
 [0.    0.328 0.397 0.276]
 [0.    0.014 0.93  0.056]
 [0.    0.    0.    0.   ]]","[[0.101 0.029 0.565 0.304]
 [0.    0.293 0.397 0.31 ]
 [0.    0.014 0.915 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.565 0.029 0.406 0.   ]
 [0.    0.724 0.276 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.493 0.029 0.478 0.   ]
 [0.    0.655 0.345 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.406 0.029 0.565 0.   ]
 [0.    0.586 0.397 0.017]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.246 0.029 0.565 0.159]
 [0.    0.5   0.397 0.103]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.232 0.029 0.565 0.174]
 [0.    0.431 0.397 0.172]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.188 0.029 0.565 0.217]
 [0.    0.328 0.397 0.276]
 [0.    0.014 0.93  0.056]
 [0.    0.    0.    0.   ]]","[[0.101 0.029 0.565 0.304]
 [0.    0.293 0.397 0.31 ]
 [0.    0.014 0.915 0.07 ]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]"
confusion_matrix_nonnorm,"[[39  2 28  0]
 [ 0 42 16  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[34  2 33  0]
 [ 0 38 20  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[28  2 39  0]
 [ 0 34 23  1]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[17  2 39 11]
 [ 0 29 23  6]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[16  2 39 12]
 [ 0 25 23 10]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[13  2 39 15]
 [ 0 19 23 16]
 [ 0  1 66  4]
 [ 0  0  0  0]]","[[ 7  2 39 21]
 [ 0 17 23 18]
 [ 0  1 65  5]
 [ 0  0  0  0]]","[[39  2 28  0]
 [ 0 42 16  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[34  2 33  0]
 [ 0 38 20  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[28  2 39  0]
 [ 0 34 23  1]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[17  2 39 11]
 [ 0 29 23  6]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[16  2 39 12]
 [ 0 25 23 10]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[13  2 39 15]
 [ 0 19 23 16]
 [ 0  1 66  4]
 [ 0  0  0  0]]","[[ 7  2 39 21]
 [ 0 17 23 18]
 [ 0  1 65  5]
 [ 0  0  0  0]]","[[39  2 28  0]
 [ 0 42 16  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[34  2 33  0]
 [ 0 38 20  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[28  2 39  0]
 [ 0 34 23  1]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[17  2 39 11]
 [ 0 29 23  6]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[16  2 39 12]
 [ 0 25 23 10]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[13  2 39 15]
 [ 0 19 23 16]
 [ 0  1 66  4]
 [ 0  0  0  0]]","[[ 7  2 39 21]
 [ 0 17 23 18]
 [ 0  1 65  5]
 [ 0  0  0  0]]","[[39  2 28  0]
 [ 0 42 16  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[34  2 33  0]
 [ 0 38 20  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[28  2 39  0]
 [ 0 34 23  1]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[17  2 39 11]
 [ 0 29 23  6]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[16  2 39 12]
 [ 0 25 23 10]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[13  2 39 15]
 [ 0 19 23 16]
 [ 0  1 66  4]
 [ 0  0  0  0]]","[[ 7  2 39 21]
 [ 0 17 23 18]
 [ 0  1 65  5]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[39  2 28  0]
 [ 0 42 16  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[34  2 33  0]
 [ 0 38 20  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[28  2 39  0]
 [ 0 34 23  1]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[17  2 39 11]
 [ 0 29 23  6]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[16  2 39 12]
 [ 0 25 23 10]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[13  2 39 15]
 [ 0 19 23 16]
 [ 0  1 66  4]
 [ 0  0  0  0]]","[[ 7  2 39 21]
 [ 0 17 23 18]
 [ 0  1 65  5]
 [ 0  0  0  0]]","[[39  2 28  0]
 [ 0 42 16  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[34  2 33  0]
 [ 0 38 20  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[28  2 39  0]
 [ 0 34 23  1]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[17  2 39 11]
 [ 0 29 23  6]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[16  2 39 12]
 [ 0 25 23 10]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[13  2 39 15]
 [ 0 19 23 16]
 [ 0  1 66  4]
 [ 0  0  0  0]]","[[ 7  2 39 21]
 [ 0 17 23 18]
 [ 0  1 65  5]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]"
