,1/0,1/15,1/20,1/25,1/28,1/29,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.54720951028352,0.5460785860817422,0.5123086634053968,0.46104886644574194,0.43130292988269947,0.42464888748619223,0.5387670296144338,0.4583399084740413,0.41849455578349376,0.4114986060701699
"recall, A chirp",0.18116299733438643,0.1806693651890611,0.15282851219271398,0.12251949846974035,0.082930200414651,0.06190147102379307,0.17602922302300325,0.11699081844209695,0.039194392338829105,0.011945897916872346
"recall, B chirp",0.28508949542398965,0.2819308334008261,0.1986717421235928,0.06519802381145218,0.005750384708836155,0.0017818093463999353,0.26330282659755405,0.061634405118652306,0.0015388353446181258,0.0
"precision, A chirp",0.95822454308094,0.9770421783235451,1.0,1.0,1.0,1.0,0.9570585077831455,1.0,1.0,1.0
"precision, B chirp",0.9625375991249658,0.9626659292035398,0.9730265767552558,0.9284890426758939,0.5503875968992248,0.30985915492957744,0.9748125937031484,0.9213075060532687,0.2753623188405797,0.0
"IoU, A chirp",0.17974336369869723,0.17990562327959103,0.15282851219271398,0.12251949846974035,0.082930200414651,0.06190147102379307,0.1746498187873445,0.11699081844209695,0.039194392338829105,0.011945897916872346
"IoU, B chirp",0.28196090996475487,0.278881589488864,0.19758356826419654,0.06487227012652107,0.005723498589278517,0.0017747660535656663,0.26152361032901617,0.06131163390267483,0.0015326288618214084,0.0
confusion_matrix,"[[0.181 0.006 0.813 0.   ]
 [0.005 0.285 0.71  0.   ]
 [0.001 0.005 0.994 0.   ]
 [0.    0.    0.    0.   ]]","[[0.181 0.006 0.813 0.   ]
 [0.002 0.282 0.716 0.   ]
 [0.001 0.005 0.994 0.   ]
 [0.    0.    0.    0.   ]]","[[0.153 0.    0.847 0.   ]
 [0.    0.199 0.801 0.   ]
 [0.    0.004 0.996 0.   ]
 [0.    0.    0.    0.   ]]","[[0.123 0.    0.877 0.   ]
 [0.    0.065 0.935 0.   ]
 [0.    0.004 0.996 0.   ]
 [0.    0.    0.    0.   ]]","[[0.083 0.    0.917 0.   ]
 [0.    0.006 0.994 0.   ]
 [0.    0.004 0.996 0.   ]
 [0.    0.    0.    0.   ]]","[[0.062 0.    0.938 0.   ]
 [0.    0.002 0.998 0.   ]
 [0.    0.003 0.997 0.   ]
 [0.    0.    0.    0.   ]]","[[0.176 0.001 0.823 0.   ]
 [0.005 0.263 0.732 0.   ]
 [0.001 0.005 0.994 0.   ]
 [0.    0.    0.    0.   ]]","[[0.117 0.    0.883 0.   ]
 [0.    0.062 0.938 0.   ]
 [0.    0.004 0.996 0.   ]
 [0.    0.    0.    0.   ]]","[[0.039 0.    0.961 0.   ]
 [0.    0.002 0.998 0.   ]
 [0.    0.003 0.997 0.   ]
 [0.    0.    0.    0.   ]]","[[0.012 0.    0.988 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.001 0.999 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 1835    64  8230     0]
 [   58  3520  8769     0]
 [   22    73 15451     0]
 [    0     0     0     0]]","[[ 1830    62  8237     0]
 [   22  3481  8844     0]
 [   21    73 15452     0]
 [    0     0     0     0]]","[[ 1548     0  8581     0]
 [    0  2453  9894     0]
 [    0    68 15478     0]
 [    0     0     0     0]]","[[ 1241     0  8888     0]
 [    0   805 11542     0]
 [    0    62 15484     0]
 [    0     0     0     0]]","[[  840     0  9289     0]
 [    0    71 12276     0]
 [    0    58 15488     0]
 [    0     0     0     0]]","[[  627     0  9502     0]
 [    0    22 12325     0]
 [    0    49 15497     0]
 [    0     0     0     0]]","[[ 1783    11  8335     0]
 [   58  3251  9038     0]
 [   22    73 15451     0]
 [    0     0     0     0]]","[[ 1185     0  8944     0]
 [    0   761 11586     0]
 [    0    65 15481     0]
 [    0     0     0     0]]","[[  397     0  9732     0]
 [    0    19 12328     0]
 [    0    50 15496     0]
 [    0     0     0     0]]","[[  121     0 10008     0]
 [    0     0 12347     0]
 [    0    21 15525     0]
 [    0     0     0     0]]"
