,1/0/30,1/0/40,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/15/30,1/15/40,1/15/50,1/15/70,1/15/80,1/15/90,1/15/95,1/20/30,1/20/40,1/20/50,1/20/70,1/20/80,1/20/90,1/20/95,1/25/30,1/25/40,1/25/50,1/25/70,1/25/80,1/25/90,1/25/95,1/28/30,1/28/40,1/28/50,1/28/70,1/28/80,1/28/90,1/28/95,1/29/30,1/29/40,1/29/50,1/29/70,1/29/80,1/29/90,1/29/95,0.4/0/30,0.4/0/40,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/30,0.2/0/40,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/30,0.1/0/40,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/30,0.05/0/40,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.5757575757575758,0.5151515151515151,0.4797979797979798,0.41919191919191917,0.3939393939393939,0.37373737373737376,0.36363636363636365,0.5757575757575758,0.5151515151515151,0.4797979797979798,0.41919191919191917,0.3939393939393939,0.37373737373737376,0.36363636363636365,0.5757575757575758,0.5151515151515151,0.4797979797979798,0.41919191919191917,0.3939393939393939,0.37373737373737376,0.36363636363636365,0.5757575757575758,0.5151515151515151,0.4797979797979798,0.41919191919191917,0.3939393939393939,0.37373737373737376,0.36363636363636365,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.5757575757575758,0.5151515151515151,0.4797979797979798,0.41919191919191917,0.3939393939393939,0.37373737373737376,0.36363636363636365,0.5757575757575758,0.5151515151515151,0.4797979797979798,0.41919191919191917,0.3939393939393939,0.37373737373737376,0.36363636363636365,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856
"recall, A chirp",0.2898550724637681,0.21739130434782608,0.17391304347826086,0.10144927536231885,0.043478260869565216,0.014492753623188406,0.014492753623188406,0.2898550724637681,0.21739130434782608,0.17391304347826086,0.10144927536231885,0.043478260869565216,0.014492753623188406,0.014492753623188406,0.2898550724637681,0.21739130434782608,0.17391304347826086,0.10144927536231885,0.043478260869565216,0.014492753623188406,0.014492753623188406,0.2898550724637681,0.21739130434782608,0.17391304347826086,0.10144927536231885,0.043478260869565216,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2898550724637681,0.21739130434782608,0.17391304347826086,0.10144927536231885,0.043478260869565216,0.014492753623188406,0.014492753623188406,0.2898550724637681,0.21739130434782608,0.17391304347826086,0.10144927536231885,0.043478260869565216,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"recall, B chirp",0.39655172413793105,0.27586206896551724,0.22413793103448276,0.10344827586206896,0.08620689655172414,0.05172413793103448,0.017241379310344827,0.39655172413793105,0.27586206896551724,0.22413793103448276,0.10344827586206896,0.08620689655172414,0.05172413793103448,0.017241379310344827,0.39655172413793105,0.27586206896551724,0.22413793103448276,0.10344827586206896,0.08620689655172414,0.05172413793103448,0.017241379310344827,0.39655172413793105,0.27586206896551724,0.22413793103448276,0.10344827586206896,0.08620689655172414,0.05172413793103448,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39655172413793105,0.27586206896551724,0.22413793103448276,0.10344827586206896,0.08620689655172414,0.05172413793103448,0.017241379310344827,0.39655172413793105,0.27586206896551724,0.22413793103448276,0.10344827586206896,0.08620689655172414,0.05172413793103448,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A chirp correct,20,15,12,7,3,1,1,20,15,12,7,3,1,1,20,15,12,7,3,1,1,20,15,12,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,12,7,3,1,1,20,15,12,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A chirp incorrect,49,54,57,62,66,68,68,49,54,57,62,66,68,68,49,54,57,62,66,68,68,49,54,57,62,66,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,49,54,57,62,66,68,68,49,54,57,62,66,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69
B chirp correct,23,16,13,6,5,3,1,23,16,13,6,5,3,1,23,16,13,6,5,3,1,23,16,13,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,13,6,5,3,1,23,16,13,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B chirp incorrect,35,42,45,52,53,55,57,35,42,45,52,53,55,57,35,42,45,52,53,55,57,35,42,45,52,53,55,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,35,42,45,52,53,55,57,35,42,45,52,53,55,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58
confusion_matrix,"[[0.29  0.    0.71  0.   ]
 [0.    0.397 0.603 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.217 0.    0.783 0.   ]
 [0.    0.276 0.724 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.174 0.    0.826 0.   ]
 [0.    0.224 0.776 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.101 0.    0.826 0.072]
 [0.    0.103 0.776 0.121]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.826 0.13 ]
 [0.    0.086 0.776 0.138]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.014 0.    0.826 0.159]
 [0.    0.052 0.776 0.172]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.014 0.    0.826 0.159]
 [0.    0.017 0.776 0.207]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.29  0.    0.71  0.   ]
 [0.    0.397 0.603 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.217 0.    0.783 0.   ]
 [0.    0.276 0.724 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.174 0.    0.826 0.   ]
 [0.    0.224 0.776 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.101 0.    0.826 0.072]
 [0.    0.103 0.776 0.121]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.826 0.13 ]
 [0.    0.086 0.776 0.138]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.014 0.    0.826 0.159]
 [0.    0.052 0.776 0.172]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.014 0.    0.826 0.159]
 [0.    0.017 0.776 0.207]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.29  0.    0.71  0.   ]
 [0.    0.397 0.603 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.217 0.    0.783 0.   ]
 [0.    0.276 0.724 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.174 0.    0.826 0.   ]
 [0.    0.224 0.776 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.101 0.    0.826 0.072]
 [0.    0.103 0.776 0.121]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.826 0.13 ]
 [0.    0.086 0.776 0.138]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.014 0.    0.826 0.159]
 [0.    0.052 0.776 0.172]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.014 0.    0.826 0.159]
 [0.    0.017 0.776 0.207]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.29  0.    0.71  0.   ]
 [0.    0.397 0.603 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.217 0.    0.783 0.   ]
 [0.    0.276 0.724 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.174 0.    0.826 0.   ]
 [0.    0.224 0.776 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.101 0.    0.826 0.072]
 [0.    0.103 0.776 0.121]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.826 0.13 ]
 [0.    0.086 0.776 0.138]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.014 0.    0.826 0.159]
 [0.    0.052 0.776 0.172]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.014 0.    0.826 0.159]
 [0.    0.017 0.776 0.207]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0.29  0.    0.71  0.   ]
 [0.    0.397 0.603 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.217 0.    0.783 0.   ]
 [0.    0.276 0.724 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.174 0.    0.826 0.   ]
 [0.    0.224 0.776 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.101 0.    0.826 0.072]
 [0.    0.103 0.776 0.121]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.826 0.13 ]
 [0.    0.086 0.776 0.138]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.014 0.    0.826 0.159]
 [0.    0.052 0.776 0.172]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.014 0.    0.826 0.159]
 [0.    0.017 0.776 0.207]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.29  0.    0.71  0.   ]
 [0.    0.397 0.603 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.217 0.    0.783 0.   ]
 [0.    0.276 0.724 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.174 0.    0.826 0.   ]
 [0.    0.224 0.776 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.101 0.    0.826 0.072]
 [0.    0.103 0.776 0.121]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.826 0.13 ]
 [0.    0.086 0.776 0.138]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.014 0.    0.826 0.159]
 [0.    0.052 0.776 0.172]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.014 0.    0.826 0.159]
 [0.    0.017 0.776 0.207]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]"
confusion_matrix_nonnorm,"[[20  0 49  0]
 [ 0 23 35  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[15  0 54  0]
 [ 0 16 42  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[12  0 57  0]
 [ 0 13 45  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 7  0 57  5]
 [ 0  6 45  7]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 3  0 57  9]
 [ 0  5 45  8]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 1  0 57 11]
 [ 0  3 45 10]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 1  0 57 11]
 [ 0  1 45 12]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[20  0 49  0]
 [ 0 23 35  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[15  0 54  0]
 [ 0 16 42  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[12  0 57  0]
 [ 0 13 45  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 7  0 57  5]
 [ 0  6 45  7]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 3  0 57  9]
 [ 0  5 45  8]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 1  0 57 11]
 [ 0  3 45 10]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 1  0 57 11]
 [ 0  1 45 12]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[20  0 49  0]
 [ 0 23 35  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[15  0 54  0]
 [ 0 16 42  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[12  0 57  0]
 [ 0 13 45  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 7  0 57  5]
 [ 0  6 45  7]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 3  0 57  9]
 [ 0  5 45  8]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 1  0 57 11]
 [ 0  3 45 10]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 1  0 57 11]
 [ 0  1 45 12]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[20  0 49  0]
 [ 0 23 35  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[15  0 54  0]
 [ 0 16 42  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[12  0 57  0]
 [ 0 13 45  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 7  0 57  5]
 [ 0  6 45  7]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 3  0 57  9]
 [ 0  5 45  8]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 1  0 57 11]
 [ 0  3 45 10]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 1  0 57 11]
 [ 0  1 45 12]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[20  0 49  0]
 [ 0 23 35  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[15  0 54  0]
 [ 0 16 42  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[12  0 57  0]
 [ 0 13 45  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 7  0 57  5]
 [ 0  6 45  7]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 3  0 57  9]
 [ 0  5 45  8]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 1  0 57 11]
 [ 0  3 45 10]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 1  0 57 11]
 [ 0  1 45 12]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[20  0 49  0]
 [ 0 23 35  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[15  0 54  0]
 [ 0 16 42  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[12  0 57  0]
 [ 0 13 45  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 7  0 57  5]
 [ 0  6 45  7]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 3  0 57  9]
 [ 0  5 45  8]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 1  0 57 11]
 [ 0  3 45 10]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 1  0 57 11]
 [ 0  1 45 12]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]"
