,1/0/30,1/0/40,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/6/30,1/6/40,1/6/50,1/6/70,1/6/80,1/6/90,1/6/95,1/7/30,1/7/40,1/7/50,1/7/70,1/7/80,1/7/90,1/7/95,1/8/30,1/8/40,1/8/50,1/8/70,1/8/80,1/8/90,1/8/95,1/9/30,1/9/40,1/9/50,1/9/70,1/9/80,1/9/90,1/9/95,0.4/0/30,0.4/0/40,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/30,0.2/0/40,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/30,0.1/0/40,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/30,0.05/0/40,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.6515151515151515,0.6212121212121212,0.5858585858585859,0.51010101010101,0.4696969696969697,0.41414141414141414,0.398989898989899,0.6515151515151515,0.6212121212121212,0.5858585858585859,0.51010101010101,0.4696969696969697,0.41414141414141414,0.398989898989899,0.6515151515151515,0.6212121212121212,0.5858585858585859,0.51010101010101,0.4696969696969697,0.41414141414141414,0.398989898989899,0.6515151515151515,0.6212121212121212,0.5858585858585859,0.51010101010101,0.4696969696969697,0.41414141414141414,0.398989898989899,0.6515151515151515,0.6212121212121212,0.5858585858585859,0.51010101010101,0.4696969696969697,0.41414141414141414,0.398989898989899,0.6515151515151515,0.6212121212121212,0.5858585858585859,0.51010101010101,0.4696969696969697,0.41414141414141414,0.398989898989899,0.6515151515151515,0.6212121212121212,0.5858585858585859,0.51010101010101,0.4696969696969697,0.41414141414141414,0.398989898989899,0.6515151515151515,0.6212121212121212,0.5858585858585859,0.51010101010101,0.4696969696969697,0.41414141414141414,0.398989898989899,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856
"recall, A chirp",0.42028985507246375,0.34782608695652173,0.30434782608695654,0.2028985507246377,0.15942028985507245,0.043478260869565216,0.043478260869565216,0.42028985507246375,0.34782608695652173,0.30434782608695654,0.2028985507246377,0.15942028985507245,0.043478260869565216,0.043478260869565216,0.42028985507246375,0.34782608695652173,0.30434782608695654,0.2028985507246377,0.15942028985507245,0.043478260869565216,0.043478260869565216,0.42028985507246375,0.34782608695652173,0.30434782608695654,0.2028985507246377,0.15942028985507245,0.043478260869565216,0.043478260869565216,0.42028985507246375,0.34782608695652173,0.30434782608695654,0.2028985507246377,0.15942028985507245,0.043478260869565216,0.043478260869565216,0.42028985507246375,0.34782608695652173,0.30434782608695654,0.2028985507246377,0.15942028985507245,0.043478260869565216,0.043478260869565216,0.42028985507246375,0.34782608695652173,0.30434782608695654,0.2028985507246377,0.15942028985507245,0.043478260869565216,0.043478260869565216,0.42028985507246375,0.34782608695652173,0.30434782608695654,0.2028985507246377,0.15942028985507245,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"recall, B chirp",0.5172413793103449,0.5,0.43103448275862066,0.29310344827586204,0.22413793103448276,0.1724137931034483,0.15517241379310345,0.5172413793103449,0.5,0.43103448275862066,0.29310344827586204,0.22413793103448276,0.1724137931034483,0.15517241379310345,0.5172413793103449,0.5,0.43103448275862066,0.29310344827586204,0.22413793103448276,0.1724137931034483,0.15517241379310345,0.5172413793103449,0.5,0.43103448275862066,0.29310344827586204,0.22413793103448276,0.1724137931034483,0.15517241379310345,0.5172413793103449,0.5,0.43103448275862066,0.29310344827586204,0.22413793103448276,0.1724137931034483,0.15517241379310345,0.5172413793103449,0.5,0.43103448275862066,0.29310344827586204,0.22413793103448276,0.1724137931034483,0.15517241379310345,0.5172413793103449,0.5,0.43103448275862066,0.29310344827586204,0.22413793103448276,0.1724137931034483,0.15517241379310345,0.5172413793103449,0.5,0.43103448275862066,0.29310344827586204,0.22413793103448276,0.1724137931034483,0.15517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A chirp correct,29,24,21,14,11,3,3,29,24,21,14,11,3,3,29,24,21,14,11,3,3,29,24,21,14,11,3,3,29,24,21,14,11,3,3,29,24,21,14,11,3,3,29,24,21,14,11,3,3,29,24,21,14,11,3,3,0,0,0,0,0,0,0
A chirp incorrect,40,45,48,55,58,66,66,40,45,48,55,58,66,66,40,45,48,55,58,66,66,40,45,48,55,58,66,66,40,45,48,55,58,66,66,40,45,48,55,58,66,66,40,45,48,55,58,66,66,40,45,48,55,58,66,66,69,69,69,69,69,69,69
B chirp correct,30,29,25,17,13,10,9,30,29,25,17,13,10,9,30,29,25,17,13,10,9,30,29,25,17,13,10,9,30,29,25,17,13,10,9,30,29,25,17,13,10,9,30,29,25,17,13,10,9,30,29,25,17,13,10,9,0,0,0,0,0,0,0
B chirp incorrect,28,29,33,41,45,48,49,28,29,33,41,45,48,49,28,29,33,41,45,48,49,28,29,33,41,45,48,49,28,29,33,41,45,48,49,28,29,33,41,45,48,49,28,29,33,41,45,48,49,28,29,33,41,45,48,49,58,58,58,58,58,58,58
confusion_matrix,"[[0.42  0.    0.58  0.   ]
 [0.    0.517 0.483 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.348 0.    0.652 0.   ]
 [0.    0.5   0.5   0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.    0.696 0.   ]
 [0.    0.431 0.569 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.    0.696 0.101]
 [0.    0.293 0.569 0.138]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.159 0.    0.696 0.145]
 [0.    0.224 0.569 0.207]
 [0.    0.014 0.972 0.014]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.696 0.261]
 [0.    0.172 0.569 0.259]
 [0.    0.014 0.972 0.014]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.696 0.261]
 [0.    0.155 0.569 0.276]
 [0.    0.014 0.944 0.042]
 [0.    0.    0.    0.   ]]","[[0.42  0.    0.58  0.   ]
 [0.    0.517 0.483 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.348 0.    0.652 0.   ]
 [0.    0.5   0.5   0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.    0.696 0.   ]
 [0.    0.431 0.569 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.    0.696 0.101]
 [0.    0.293 0.569 0.138]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.159 0.    0.696 0.145]
 [0.    0.224 0.569 0.207]
 [0.    0.014 0.972 0.014]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.696 0.261]
 [0.    0.172 0.569 0.259]
 [0.    0.014 0.972 0.014]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.696 0.261]
 [0.    0.155 0.569 0.276]
 [0.    0.014 0.944 0.042]
 [0.    0.    0.    0.   ]]","[[0.42  0.    0.58  0.   ]
 [0.    0.517 0.483 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.348 0.    0.652 0.   ]
 [0.    0.5   0.5   0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.    0.696 0.   ]
 [0.    0.431 0.569 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.    0.696 0.101]
 [0.    0.293 0.569 0.138]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.159 0.    0.696 0.145]
 [0.    0.224 0.569 0.207]
 [0.    0.014 0.972 0.014]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.696 0.261]
 [0.    0.172 0.569 0.259]
 [0.    0.014 0.972 0.014]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.696 0.261]
 [0.    0.155 0.569 0.276]
 [0.    0.014 0.944 0.042]
 [0.    0.    0.    0.   ]]","[[0.42  0.    0.58  0.   ]
 [0.    0.517 0.483 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.348 0.    0.652 0.   ]
 [0.    0.5   0.5   0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.    0.696 0.   ]
 [0.    0.431 0.569 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.    0.696 0.101]
 [0.    0.293 0.569 0.138]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.159 0.    0.696 0.145]
 [0.    0.224 0.569 0.207]
 [0.    0.014 0.972 0.014]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.696 0.261]
 [0.    0.172 0.569 0.259]
 [0.    0.014 0.972 0.014]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.696 0.261]
 [0.    0.155 0.569 0.276]
 [0.    0.014 0.944 0.042]
 [0.    0.    0.    0.   ]]","[[0.42  0.    0.58  0.   ]
 [0.    0.517 0.483 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.348 0.    0.652 0.   ]
 [0.    0.5   0.5   0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.    0.696 0.   ]
 [0.    0.431 0.569 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.    0.696 0.101]
 [0.    0.293 0.569 0.138]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.159 0.    0.696 0.145]
 [0.    0.224 0.569 0.207]
 [0.    0.014 0.972 0.014]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.696 0.261]
 [0.    0.172 0.569 0.259]
 [0.    0.014 0.972 0.014]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.696 0.261]
 [0.    0.155 0.569 0.276]
 [0.    0.014 0.944 0.042]
 [0.    0.    0.    0.   ]]","[[0.42  0.    0.58  0.   ]
 [0.    0.517 0.483 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.348 0.    0.652 0.   ]
 [0.    0.5   0.5   0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.    0.696 0.   ]
 [0.    0.431 0.569 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.    0.696 0.101]
 [0.    0.293 0.569 0.138]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.159 0.    0.696 0.145]
 [0.    0.224 0.569 0.207]
 [0.    0.014 0.972 0.014]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.696 0.261]
 [0.    0.172 0.569 0.259]
 [0.    0.014 0.972 0.014]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.696 0.261]
 [0.    0.155 0.569 0.276]
 [0.    0.014 0.944 0.042]
 [0.    0.    0.    0.   ]]","[[0.42  0.    0.58  0.   ]
 [0.    0.517 0.483 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.348 0.    0.652 0.   ]
 [0.    0.5   0.5   0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.    0.696 0.   ]
 [0.    0.431 0.569 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.    0.696 0.101]
 [0.    0.293 0.569 0.138]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.159 0.    0.696 0.145]
 [0.    0.224 0.569 0.207]
 [0.    0.014 0.972 0.014]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.696 0.261]
 [0.    0.172 0.569 0.259]
 [0.    0.014 0.972 0.014]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.696 0.261]
 [0.    0.155 0.569 0.276]
 [0.    0.014 0.944 0.042]
 [0.    0.    0.    0.   ]]","[[0.42  0.    0.58  0.   ]
 [0.    0.517 0.483 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.348 0.    0.652 0.   ]
 [0.    0.5   0.5   0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.    0.696 0.   ]
 [0.    0.431 0.569 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.    0.696 0.101]
 [0.    0.293 0.569 0.138]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.159 0.    0.696 0.145]
 [0.    0.224 0.569 0.207]
 [0.    0.014 0.972 0.014]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.696 0.261]
 [0.    0.172 0.569 0.259]
 [0.    0.014 0.972 0.014]
 [0.    0.    0.    0.   ]]","[[0.043 0.    0.696 0.261]
 [0.    0.155 0.569 0.276]
 [0.    0.014 0.944 0.042]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]"
confusion_matrix_nonnorm,"[[29  0 40  0]
 [ 0 30 28  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[24  0 45  0]
 [ 0 29 29  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[21  0 48  0]
 [ 0 25 33  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[14  0 48  7]
 [ 0 17 33  8]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[11  0 48 10]
 [ 0 13 33 12]
 [ 0  1 69  1]
 [ 0  0  0  0]]","[[ 3  0 48 18]
 [ 0 10 33 15]
 [ 0  1 69  1]
 [ 0  0  0  0]]","[[ 3  0 48 18]
 [ 0  9 33 16]
 [ 0  1 67  3]
 [ 0  0  0  0]]","[[29  0 40  0]
 [ 0 30 28  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[24  0 45  0]
 [ 0 29 29  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[21  0 48  0]
 [ 0 25 33  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[14  0 48  7]
 [ 0 17 33  8]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[11  0 48 10]
 [ 0 13 33 12]
 [ 0  1 69  1]
 [ 0  0  0  0]]","[[ 3  0 48 18]
 [ 0 10 33 15]
 [ 0  1 69  1]
 [ 0  0  0  0]]","[[ 3  0 48 18]
 [ 0  9 33 16]
 [ 0  1 67  3]
 [ 0  0  0  0]]","[[29  0 40  0]
 [ 0 30 28  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[24  0 45  0]
 [ 0 29 29  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[21  0 48  0]
 [ 0 25 33  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[14  0 48  7]
 [ 0 17 33  8]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[11  0 48 10]
 [ 0 13 33 12]
 [ 0  1 69  1]
 [ 0  0  0  0]]","[[ 3  0 48 18]
 [ 0 10 33 15]
 [ 0  1 69  1]
 [ 0  0  0  0]]","[[ 3  0 48 18]
 [ 0  9 33 16]
 [ 0  1 67  3]
 [ 0  0  0  0]]","[[29  0 40  0]
 [ 0 30 28  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[24  0 45  0]
 [ 0 29 29  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[21  0 48  0]
 [ 0 25 33  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[14  0 48  7]
 [ 0 17 33  8]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[11  0 48 10]
 [ 0 13 33 12]
 [ 0  1 69  1]
 [ 0  0  0  0]]","[[ 3  0 48 18]
 [ 0 10 33 15]
 [ 0  1 69  1]
 [ 0  0  0  0]]","[[ 3  0 48 18]
 [ 0  9 33 16]
 [ 0  1 67  3]
 [ 0  0  0  0]]","[[29  0 40  0]
 [ 0 30 28  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[24  0 45  0]
 [ 0 29 29  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[21  0 48  0]
 [ 0 25 33  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[14  0 48  7]
 [ 0 17 33  8]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[11  0 48 10]
 [ 0 13 33 12]
 [ 0  1 69  1]
 [ 0  0  0  0]]","[[ 3  0 48 18]
 [ 0 10 33 15]
 [ 0  1 69  1]
 [ 0  0  0  0]]","[[ 3  0 48 18]
 [ 0  9 33 16]
 [ 0  1 67  3]
 [ 0  0  0  0]]","[[29  0 40  0]
 [ 0 30 28  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[24  0 45  0]
 [ 0 29 29  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[21  0 48  0]
 [ 0 25 33  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[14  0 48  7]
 [ 0 17 33  8]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[11  0 48 10]
 [ 0 13 33 12]
 [ 0  1 69  1]
 [ 0  0  0  0]]","[[ 3  0 48 18]
 [ 0 10 33 15]
 [ 0  1 69  1]
 [ 0  0  0  0]]","[[ 3  0 48 18]
 [ 0  9 33 16]
 [ 0  1 67  3]
 [ 0  0  0  0]]","[[29  0 40  0]
 [ 0 30 28  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[24  0 45  0]
 [ 0 29 29  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[21  0 48  0]
 [ 0 25 33  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[14  0 48  7]
 [ 0 17 33  8]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[11  0 48 10]
 [ 0 13 33 12]
 [ 0  1 69  1]
 [ 0  0  0  0]]","[[ 3  0 48 18]
 [ 0 10 33 15]
 [ 0  1 69  1]
 [ 0  0  0  0]]","[[ 3  0 48 18]
 [ 0  9 33 16]
 [ 0  1 67  3]
 [ 0  0  0  0]]","[[29  0 40  0]
 [ 0 30 28  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[24  0 45  0]
 [ 0 29 29  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[21  0 48  0]
 [ 0 25 33  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[14  0 48  7]
 [ 0 17 33  8]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[11  0 48 10]
 [ 0 13 33 12]
 [ 0  1 69  1]
 [ 0  0  0  0]]","[[ 3  0 48 18]
 [ 0 10 33 15]
 [ 0  1 69  1]
 [ 0  0  0  0]]","[[ 3  0 48 18]
 [ 0  9 33 16]
 [ 0  1 67  3]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]"
