,1/0/30,1/0/40,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/15/30,1/15/40,1/15/50,1/15/70,1/15/80,1/15/90,1/15/95,1/20/30,1/20/40,1/20/50,1/20/70,1/20/80,1/20/90,1/20/95,1/25/30,1/25/40,1/25/50,1/25/70,1/25/80,1/25/90,1/25/95,1/28/30,1/28/40,1/28/50,1/28/70,1/28/80,1/28/90,1/28/95,1/29/30,1/29/40,1/29/50,1/29/70,1/29/80,1/29/90,1/29/95,0.4/0/30,0.4/0/40,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/30,0.2/0/40,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/30,0.1/0/40,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/30,0.05/0/40,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.8080808080808081,0.7676767676767676,0.7373737373737373,0.6414141414141414,0.5959595959595959,0.5353535353535354,0.4595959595959596,0.8080808080808081,0.7676767676767676,0.7373737373737373,0.6414141414141414,0.5959595959595959,0.5353535353535354,0.4595959595959596,0.8080808080808081,0.7676767676767676,0.7373737373737373,0.6414141414141414,0.5959595959595959,0.5353535353535354,0.4595959595959596,0.8080808080808081,0.7676767676767676,0.7373737373737373,0.6414141414141414,0.5959595959595959,0.5353535353535354,0.4595959595959596,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.8080808080808081,0.7676767676767676,0.7373737373737373,0.6414141414141414,0.5959595959595959,0.5353535353535354,0.4595959595959596,0.8080808080808081,0.7676767676767676,0.7373737373737373,0.6414141414141414,0.5959595959595959,0.5353535353535354,0.4595959595959596,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856
"recall, A chirp",0.5652173913043478,0.4927536231884058,0.43478260869565216,0.2753623188405797,0.2318840579710145,0.15942028985507245,0.07246376811594203,0.5652173913043478,0.4927536231884058,0.43478260869565216,0.2753623188405797,0.2318840579710145,0.15942028985507245,0.07246376811594203,0.5652173913043478,0.4927536231884058,0.43478260869565216,0.2753623188405797,0.2318840579710145,0.15942028985507245,0.07246376811594203,0.5652173913043478,0.4927536231884058,0.43478260869565216,0.2753623188405797,0.2318840579710145,0.15942028985507245,0.07246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5652173913043478,0.4927536231884058,0.43478260869565216,0.2753623188405797,0.2318840579710145,0.15942028985507245,0.07246376811594203,0.5652173913043478,0.4927536231884058,0.43478260869565216,0.2753623188405797,0.2318840579710145,0.15942028985507245,0.07246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"recall, B chirp",0.8793103448275862,0.8448275862068966,0.8103448275862069,0.6896551724137931,0.603448275862069,0.5172413793103449,0.39655172413793105,0.8793103448275862,0.8448275862068966,0.8103448275862069,0.6896551724137931,0.603448275862069,0.5172413793103449,0.39655172413793105,0.8793103448275862,0.8448275862068966,0.8103448275862069,0.6896551724137931,0.603448275862069,0.5172413793103449,0.39655172413793105,0.8793103448275862,0.8448275862068966,0.8103448275862069,0.6896551724137931,0.603448275862069,0.5172413793103449,0.39655172413793105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8793103448275862,0.8448275862068966,0.8103448275862069,0.6896551724137931,0.603448275862069,0.5172413793103449,0.39655172413793105,0.8793103448275862,0.8448275862068966,0.8103448275862069,0.6896551724137931,0.603448275862069,0.5172413793103449,0.39655172413793105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A chirp correct,39,34,30,19,16,11,5,39,34,30,19,16,11,5,39,34,30,19,16,11,5,39,34,30,19,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,34,30,19,16,11,5,39,34,30,19,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A chirp incorrect,30,35,39,50,53,58,64,30,35,39,50,53,58,64,30,35,39,50,53,58,64,30,35,39,50,53,58,64,69,69,69,69,69,69,69,69,69,69,69,69,69,69,30,35,39,50,53,58,64,30,35,39,50,53,58,64,69,69,69,69,69,69,69,69,69,69,69,69,69,69
B chirp correct,51,49,47,40,35,30,23,51,49,47,40,35,30,23,51,49,47,40,35,30,23,51,49,47,40,35,30,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,49,47,40,35,30,23,51,49,47,40,35,30,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B chirp incorrect,7,9,11,18,23,28,35,7,9,11,18,23,28,35,7,9,11,18,23,28,35,7,9,11,18,23,28,35,58,58,58,58,58,58,58,58,58,58,58,58,58,58,7,9,11,18,23,28,35,7,9,11,18,23,28,35,58,58,58,58,58,58,58,58,58,58,58,58,58,58
confusion_matrix,"[[0.565 0.072 0.362 0.   ]
 [0.    0.879 0.121 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.493 0.072 0.435 0.   ]
 [0.    0.845 0.155 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.435 0.072 0.478 0.014]
 [0.    0.81  0.19  0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.275 0.072 0.478 0.174]
 [0.    0.69  0.19  0.121]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.232 0.072 0.478 0.217]
 [0.    0.603 0.19  0.207]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.159 0.072 0.478 0.29 ]
 [0.    0.517 0.19  0.293]
 [0.014 0.014 0.915 0.056]
 [0.    0.    0.    0.   ]]","[[0.072 0.072 0.478 0.377]
 [0.    0.397 0.19  0.414]
 [0.014 0.014 0.887 0.085]
 [0.    0.    0.    0.   ]]","[[0.565 0.072 0.362 0.   ]
 [0.    0.879 0.121 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.493 0.072 0.435 0.   ]
 [0.    0.845 0.155 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.435 0.072 0.478 0.014]
 [0.    0.81  0.19  0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.275 0.072 0.478 0.174]
 [0.    0.69  0.19  0.121]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.232 0.072 0.478 0.217]
 [0.    0.603 0.19  0.207]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.159 0.072 0.478 0.29 ]
 [0.    0.517 0.19  0.293]
 [0.014 0.014 0.915 0.056]
 [0.    0.    0.    0.   ]]","[[0.072 0.072 0.478 0.377]
 [0.    0.397 0.19  0.414]
 [0.014 0.014 0.887 0.085]
 [0.    0.    0.    0.   ]]","[[0.565 0.072 0.362 0.   ]
 [0.    0.879 0.121 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.493 0.072 0.435 0.   ]
 [0.    0.845 0.155 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.435 0.072 0.478 0.014]
 [0.    0.81  0.19  0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.275 0.072 0.478 0.174]
 [0.    0.69  0.19  0.121]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.232 0.072 0.478 0.217]
 [0.    0.603 0.19  0.207]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.159 0.072 0.478 0.29 ]
 [0.    0.517 0.19  0.293]
 [0.014 0.014 0.915 0.056]
 [0.    0.    0.    0.   ]]","[[0.072 0.072 0.478 0.377]
 [0.    0.397 0.19  0.414]
 [0.014 0.014 0.887 0.085]
 [0.    0.    0.    0.   ]]","[[0.565 0.072 0.362 0.   ]
 [0.    0.879 0.121 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.493 0.072 0.435 0.   ]
 [0.    0.845 0.155 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.435 0.072 0.478 0.014]
 [0.    0.81  0.19  0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.275 0.072 0.478 0.174]
 [0.    0.69  0.19  0.121]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.232 0.072 0.478 0.217]
 [0.    0.603 0.19  0.207]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.159 0.072 0.478 0.29 ]
 [0.    0.517 0.19  0.293]
 [0.014 0.014 0.915 0.056]
 [0.    0.    0.    0.   ]]","[[0.072 0.072 0.478 0.377]
 [0.    0.397 0.19  0.414]
 [0.014 0.014 0.887 0.085]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0.565 0.072 0.362 0.   ]
 [0.    0.879 0.121 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.493 0.072 0.435 0.   ]
 [0.    0.845 0.155 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.435 0.072 0.478 0.014]
 [0.    0.81  0.19  0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.275 0.072 0.478 0.174]
 [0.    0.69  0.19  0.121]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.232 0.072 0.478 0.217]
 [0.    0.603 0.19  0.207]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.159 0.072 0.478 0.29 ]
 [0.    0.517 0.19  0.293]
 [0.014 0.014 0.915 0.056]
 [0.    0.    0.    0.   ]]","[[0.072 0.072 0.478 0.377]
 [0.    0.397 0.19  0.414]
 [0.014 0.014 0.887 0.085]
 [0.    0.    0.    0.   ]]","[[0.565 0.072 0.362 0.   ]
 [0.    0.879 0.121 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.493 0.072 0.435 0.   ]
 [0.    0.845 0.155 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.435 0.072 0.478 0.014]
 [0.    0.81  0.19  0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.275 0.072 0.478 0.174]
 [0.    0.69  0.19  0.121]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.232 0.072 0.478 0.217]
 [0.    0.603 0.19  0.207]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.159 0.072 0.478 0.29 ]
 [0.    0.517 0.19  0.293]
 [0.014 0.014 0.915 0.056]
 [0.    0.    0.    0.   ]]","[[0.072 0.072 0.478 0.377]
 [0.    0.397 0.19  0.414]
 [0.014 0.014 0.887 0.085]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]"
confusion_matrix_nonnorm,"[[39  5 25  0]
 [ 0 51  7  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[34  5 30  0]
 [ 0 49  9  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[30  5 33  1]
 [ 0 47 11  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[19  5 33 12]
 [ 0 40 11  7]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[16  5 33 15]
 [ 0 35 11 12]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[11  5 33 20]
 [ 0 30 11 17]
 [ 1  1 65  4]
 [ 0  0  0  0]]","[[ 5  5 33 26]
 [ 0 23 11 24]
 [ 1  1 63  6]
 [ 0  0  0  0]]","[[39  5 25  0]
 [ 0 51  7  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[34  5 30  0]
 [ 0 49  9  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[30  5 33  1]
 [ 0 47 11  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[19  5 33 12]
 [ 0 40 11  7]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[16  5 33 15]
 [ 0 35 11 12]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[11  5 33 20]
 [ 0 30 11 17]
 [ 1  1 65  4]
 [ 0  0  0  0]]","[[ 5  5 33 26]
 [ 0 23 11 24]
 [ 1  1 63  6]
 [ 0  0  0  0]]","[[39  5 25  0]
 [ 0 51  7  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[34  5 30  0]
 [ 0 49  9  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[30  5 33  1]
 [ 0 47 11  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[19  5 33 12]
 [ 0 40 11  7]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[16  5 33 15]
 [ 0 35 11 12]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[11  5 33 20]
 [ 0 30 11 17]
 [ 1  1 65  4]
 [ 0  0  0  0]]","[[ 5  5 33 26]
 [ 0 23 11 24]
 [ 1  1 63  6]
 [ 0  0  0  0]]","[[39  5 25  0]
 [ 0 51  7  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[34  5 30  0]
 [ 0 49  9  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[30  5 33  1]
 [ 0 47 11  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[19  5 33 12]
 [ 0 40 11  7]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[16  5 33 15]
 [ 0 35 11 12]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[11  5 33 20]
 [ 0 30 11 17]
 [ 1  1 65  4]
 [ 0  0  0  0]]","[[ 5  5 33 26]
 [ 0 23 11 24]
 [ 1  1 63  6]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[39  5 25  0]
 [ 0 51  7  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[34  5 30  0]
 [ 0 49  9  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[30  5 33  1]
 [ 0 47 11  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[19  5 33 12]
 [ 0 40 11  7]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[16  5 33 15]
 [ 0 35 11 12]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[11  5 33 20]
 [ 0 30 11 17]
 [ 1  1 65  4]
 [ 0  0  0  0]]","[[ 5  5 33 26]
 [ 0 23 11 24]
 [ 1  1 63  6]
 [ 0  0  0  0]]","[[39  5 25  0]
 [ 0 51  7  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[34  5 30  0]
 [ 0 49  9  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[30  5 33  1]
 [ 0 47 11  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[19  5 33 12]
 [ 0 40 11  7]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[16  5 33 15]
 [ 0 35 11 12]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[11  5 33 20]
 [ 0 30 11 17]
 [ 1  1 65  4]
 [ 0  0  0  0]]","[[ 5  5 33 26]
 [ 0 23 11 24]
 [ 1  1 63  6]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]"
