,1/0,1/6,1/7,1/8,1/9,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.41086739256220084,0.4107358897480406,0.40989427173741516,0.4095260638577666,0.40910525485245386,0.41078849087370467,0.4092893587922782,0.40886854978696546,0.40886854978696546
"recall, A chirp",0.007305755750814493,0.0070095764636193105,0.003850330733537368,0.002468160726626518,0.0008885378615855464,0.0070095764636193105,0.0015796228650409715,0.0,0.0
"recall, B chirp",0.00016198266785453957,0.0,0.0,0.0,0.0,0.00016198266785453957,0.0,0.0,0.0
"precision, A chirp",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
"precision, B chirp",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"IoU, A chirp",0.007305755750814493,0.0070095764636193105,0.003850330733537368,0.002468160726626518,0.0008885378615855464,0.0070095764636193105,0.0015796228650409715,0.0,0.0
"IoU, B chirp",0.00016198266785453957,0.0,0.0,0.0,0.0,0.00016198266785453957,0.0,0.0,0.0
confusion_matrix,"[[0.007 0.    0.993 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.007 0.    0.993 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.004 0.    0.996 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.002 0.    0.998 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.001 0.    0.999 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.007 0.    0.993 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0.002 0.    0.998 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]"
confusion_matrix_nonnorm,"[[   74     0 10055     0]
 [    0     2 12345     0]
 [    0     0 15546     0]
 [    0     0     0     0]]","[[   71     0 10058     0]
 [    0     0 12347     0]
 [    0     0 15546     0]
 [    0     0     0     0]]","[[   39     0 10090     0]
 [    0     0 12347     0]
 [    0     0 15546     0]
 [    0     0     0     0]]","[[   25     0 10104     0]
 [    0     0 12347     0]
 [    0     0 15546     0]
 [    0     0     0     0]]","[[    9     0 10120     0]
 [    0     0 12347     0]
 [    0     0 15546     0]
 [    0     0     0     0]]","[[   71     0 10058     0]
 [    0     2 12345     0]
 [    0     0 15546     0]
 [    0     0     0     0]]","[[   16     0 10113     0]
 [    0     0 12347     0]
 [    0     0 15546     0]
 [    0     0     0     0]]","[[    0     0 10129     0]
 [    0     0 12347     0]
 [    0     0 15546     0]
 [    0     0     0     0]]","[[    0     0 10129     0]
 [    0     0 12347     0]
 [    0     0 15546     0]
 [    0     0     0     0]]"
