,1/0,1/1,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.9284167096441465,0.9283909231562661,0.9284167096441465,0.9092573491490459,0.8843991748323878,0.8556988138215575
"recall, A chirp",0.8371236183458265,0.8369965696861899,0.8371236183458265,0.816414686825054,0.7607673739042053,0.6952102655316986
"recall, B chirp",0.9432027734749576,0.9432027734749576,0.9432027734749576,0.8937818101349856,0.8421479678394925,0.7889651102751346
"precision, A chirp",0.9466954022988506,0.9468237999425122,0.9466954022988506,0.9538370194448568,0.965183752417795,0.9808209356515505
"precision, B chirp",0.9536843675417661,0.9536843675417661,0.9536843675417661,0.9596863614763187,0.9722387805501149,0.9753784424585081
"IoU, A chirp",0.7994418830380976,0.7994175464142701,0.7994418830380976,0.7853825470545099,0.7404476320019785,0.6858861870142893
"IoU, B chirp",0.9018902525038792,0.9018902525038792,0.9018902525038792,0.8614389307550121,0.822372686018872,0.7735589788095755
confusion_matrix,"[[0.837 0.021 0.142 0.   ]
 [0.007 0.943 0.049 0.   ]
 [0.016 0.026 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.837 0.021 0.142 0.   ]
 [0.007 0.943 0.049 0.   ]
 [0.016 0.026 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.837 0.021 0.142 0.   ]
 [0.007 0.943 0.049 0.   ]
 [0.016 0.026 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.816 0.014 0.169 0.   ]
 [0.005 0.894 0.101 0.   ]
 [0.014 0.023 0.963 0.   ]
 [0.    0.    0.    0.   ]]","[[0.761 0.004 0.235 0.   ]
 [0.004 0.842 0.154 0.   ]
 [0.009 0.017 0.973 0.   ]
 [0.    0.    0.    0.   ]]","[[0.695 0.001 0.303 0.   ]
 [0.002 0.789 0.209 0.   ]
 [0.004 0.015 0.981 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 6589   168  1114     0]
 [  100 12787   670     0]
 [  271   453 16628     0]
 [    0     0     0     0]]","[[ 6588   168  1115     0]
 [   99 12787   671     0]
 [  271   453 16628     0]
 [    0     0     0     0]]","[[ 6589   168  1114     0]
 [  100 12787   670     0]
 [  271   453 16628     0]
 [    0     0     0     0]]","[[ 6426   112  1333     0]
 [   74 12117  1366     0]
 [  237   397 16718     0]
 [    0     0     0     0]]","[[ 5988    30  1853     0]
 [   52 11417  2088     0]
 [  164   296 16892     0]
 [    0     0     0     0]]","[[ 5472    11  2388     0]
 [   30 10696  2831     0]
 [   77   259 17016     0]
 [    0     0     0     0]]"
