,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/15/50,1/15/70,1/15/80,1/15/90,1/15/95,1/20/50,1/20/70,1/20/80,1/20/90,1/20/95,1/25/50,1/25/70,1/25/80,1/25/90,1/25/95,1/28/50,1/28/70,1/28/80,1/28/90,1/28/95,1/29/50,1/29/70,1/29/80,1/29/90,1/29/95,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.9565217391304348,0.9184782608695652,0.8858695652173914,0.782608695652174,0.7010869565217391,0.9565217391304348,0.9184782608695652,0.8858695652173914,0.782608695652174,0.7010869565217391,0.9565217391304348,0.9184782608695652,0.8858695652173914,0.782608695652174,0.7010869565217391,0.9565217391304348,0.9184782608695652,0.8858695652173914,0.782608695652174,0.7010869565217391,0.9565217391304348,0.9184782608695652,0.8858695652173914,0.782608695652174,0.7010869565217391,0.3532608695652174,0.3532608695652174,0.3532608695652174,0.3532608695652174,0.3532608695652174,0.9565217391304348,0.9184782608695652,0.8858695652173914,0.782608695652174,0.7010869565217391,0.9565217391304348,0.9184782608695652,0.8858695652173914,0.782608695652174,0.7010869565217391,0.9565217391304348,0.9184782608695652,0.8858695652173914,0.782608695652174,0.7010869565217391,0.9565217391304348,0.9184782608695652,0.8858695652173914,0.782608695652174,0.7010869565217391
"recall, A chirp",0.9523809523809523,0.8412698412698413,0.7619047619047619,0.5555555555555556,0.4444444444444444,0.9523809523809523,0.8412698412698413,0.7619047619047619,0.5555555555555556,0.4444444444444444,0.9523809523809523,0.8412698412698413,0.7619047619047619,0.5555555555555556,0.4444444444444444,0.9523809523809523,0.8412698412698413,0.7619047619047619,0.5555555555555556,0.4444444444444444,0.9523809523809523,0.8412698412698413,0.7619047619047619,0.5555555555555556,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.8412698412698413,0.7619047619047619,0.5555555555555556,0.4444444444444444,0.9523809523809523,0.8412698412698413,0.7619047619047619,0.5555555555555556,0.4444444444444444,0.9523809523809523,0.8412698412698413,0.7619047619047619,0.5555555555555556,0.4444444444444444,0.9523809523809523,0.8412698412698413,0.7619047619047619,0.5555555555555556,0.4444444444444444
"recall, B chirp",0.9821428571428571,0.9821428571428571,0.9642857142857143,0.9285714285714286,0.875,0.9821428571428571,0.9821428571428571,0.9642857142857143,0.9285714285714286,0.875,0.9821428571428571,0.9821428571428571,0.9642857142857143,0.9285714285714286,0.875,0.9821428571428571,0.9821428571428571,0.9642857142857143,0.9285714285714286,0.875,0.9821428571428571,0.9821428571428571,0.9642857142857143,0.9285714285714286,0.875,0.0,0.0,0.0,0.0,0.0,0.9821428571428571,0.9821428571428571,0.9642857142857143,0.9285714285714286,0.875,0.9821428571428571,0.9821428571428571,0.9642857142857143,0.9285714285714286,0.875,0.9821428571428571,0.9821428571428571,0.9642857142857143,0.9285714285714286,0.875,0.9821428571428571,0.9821428571428571,0.9642857142857143,0.9285714285714286,0.875
A chirp correct,60,53,48,35,28,60,53,48,35,28,60,53,48,35,28,60,53,48,35,28,60,53,48,35,28,0,0,0,0,0,60,53,48,35,28,60,53,48,35,28,60,53,48,35,28,60,53,48,35,28
A chirp incorrect,3,10,15,28,35,3,10,15,28,35,3,10,15,28,35,3,10,15,28,35,3,10,15,28,35,63,63,63,63,63,3,10,15,28,35,3,10,15,28,35,3,10,15,28,35,3,10,15,28,35
B chirp correct,55,55,54,52,49,55,55,54,52,49,55,55,54,52,49,55,55,54,52,49,55,55,54,52,49,0,0,0,0,0,55,55,54,52,49,55,55,54,52,49,55,55,54,52,49,55,55,54,52,49
B chirp incorrect,1,1,2,4,7,1,1,2,4,7,1,1,2,4,7,1,1,2,4,7,1,1,2,4,7,56,56,56,56,56,1,1,2,4,7,1,1,2,4,7,1,1,2,4,7,1,1,2,4,7
confusion_matrix,"[[0.952 0.    0.048 0.   ]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.841 0.    0.048 0.111]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.762 0.    0.048 0.19 ]
 [0.018 0.964 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.018 0.929 0.    0.054]
 [0.031 0.031 0.877 0.062]
 [0.    0.    0.    0.   ]]","[[0.444 0.    0.048 0.508]
 [0.018 0.875 0.    0.107]
 [0.031 0.031 0.8   0.138]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.841 0.    0.048 0.111]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.762 0.    0.048 0.19 ]
 [0.018 0.964 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.018 0.929 0.    0.054]
 [0.031 0.031 0.877 0.062]
 [0.    0.    0.    0.   ]]","[[0.444 0.    0.048 0.508]
 [0.018 0.875 0.    0.107]
 [0.031 0.031 0.8   0.138]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.841 0.    0.048 0.111]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.762 0.    0.048 0.19 ]
 [0.018 0.964 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.018 0.929 0.    0.054]
 [0.031 0.031 0.877 0.062]
 [0.    0.    0.    0.   ]]","[[0.444 0.    0.048 0.508]
 [0.018 0.875 0.    0.107]
 [0.031 0.031 0.8   0.138]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.841 0.    0.048 0.111]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.762 0.    0.048 0.19 ]
 [0.018 0.964 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.018 0.929 0.    0.054]
 [0.031 0.031 0.877 0.062]
 [0.    0.    0.    0.   ]]","[[0.444 0.    0.048 0.508]
 [0.018 0.875 0.    0.107]
 [0.031 0.031 0.8   0.138]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.841 0.    0.048 0.111]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.762 0.    0.048 0.19 ]
 [0.018 0.964 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.018 0.929 0.    0.054]
 [0.031 0.031 0.877 0.062]
 [0.    0.    0.    0.   ]]","[[0.444 0.    0.048 0.508]
 [0.018 0.875 0.    0.107]
 [0.031 0.031 0.8   0.138]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0.952 0.    0.048 0.   ]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.841 0.    0.048 0.111]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.762 0.    0.048 0.19 ]
 [0.018 0.964 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.018 0.929 0.    0.054]
 [0.031 0.031 0.877 0.062]
 [0.    0.    0.    0.   ]]","[[0.444 0.    0.048 0.508]
 [0.018 0.875 0.    0.107]
 [0.031 0.031 0.8   0.138]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.841 0.    0.048 0.111]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.762 0.    0.048 0.19 ]
 [0.018 0.964 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.018 0.929 0.    0.054]
 [0.031 0.031 0.877 0.062]
 [0.    0.    0.    0.   ]]","[[0.444 0.    0.048 0.508]
 [0.018 0.875 0.    0.107]
 [0.031 0.031 0.8   0.138]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.841 0.    0.048 0.111]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.762 0.    0.048 0.19 ]
 [0.018 0.964 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.018 0.929 0.    0.054]
 [0.031 0.031 0.877 0.062]
 [0.    0.    0.    0.   ]]","[[0.444 0.    0.048 0.508]
 [0.018 0.875 0.    0.107]
 [0.031 0.031 0.8   0.138]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.841 0.    0.048 0.111]
 [0.018 0.982 0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.762 0.    0.048 0.19 ]
 [0.018 0.964 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.018 0.929 0.    0.054]
 [0.031 0.031 0.877 0.062]
 [0.    0.    0.    0.   ]]","[[0.444 0.    0.048 0.508]
 [0.018 0.875 0.    0.107]
 [0.031 0.031 0.8   0.138]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[60  0  3  0]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[53  0  3  7]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[48  0  3 12]
 [ 1 54  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 1 52  0  3]
 [ 2  2 57  4]
 [ 0  0  0  0]]","[[28  0  3 32]
 [ 1 49  0  6]
 [ 2  2 52  9]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[53  0  3  7]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[48  0  3 12]
 [ 1 54  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 1 52  0  3]
 [ 2  2 57  4]
 [ 0  0  0  0]]","[[28  0  3 32]
 [ 1 49  0  6]
 [ 2  2 52  9]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[53  0  3  7]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[48  0  3 12]
 [ 1 54  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 1 52  0  3]
 [ 2  2 57  4]
 [ 0  0  0  0]]","[[28  0  3 32]
 [ 1 49  0  6]
 [ 2  2 52  9]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[53  0  3  7]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[48  0  3 12]
 [ 1 54  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 1 52  0  3]
 [ 2  2 57  4]
 [ 0  0  0  0]]","[[28  0  3 32]
 [ 1 49  0  6]
 [ 2  2 52  9]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[53  0  3  7]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[48  0  3 12]
 [ 1 54  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 1 52  0  3]
 [ 2  2 57  4]
 [ 0  0  0  0]]","[[28  0  3 32]
 [ 1 49  0  6]
 [ 2  2 52  9]
 [ 0  0  0  0]]","[[ 0  0 63  0]
 [ 0  0 56  0]
 [ 0  0 65  0]
 [ 0  0  0  0]]","[[ 0  0 63  0]
 [ 0  0 56  0]
 [ 0  0 65  0]
 [ 0  0  0  0]]","[[ 0  0 63  0]
 [ 0  0 56  0]
 [ 0  0 65  0]
 [ 0  0  0  0]]","[[ 0  0 63  0]
 [ 0  0 56  0]
 [ 0  0 65  0]
 [ 0  0  0  0]]","[[ 0  0 63  0]
 [ 0  0 56  0]
 [ 0  0 65  0]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[53  0  3  7]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[48  0  3 12]
 [ 1 54  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 1 52  0  3]
 [ 2  2 57  4]
 [ 0  0  0  0]]","[[28  0  3 32]
 [ 1 49  0  6]
 [ 2  2 52  9]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[53  0  3  7]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[48  0  3 12]
 [ 1 54  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 1 52  0  3]
 [ 2  2 57  4]
 [ 0  0  0  0]]","[[28  0  3 32]
 [ 1 49  0  6]
 [ 2  2 52  9]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[53  0  3  7]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[48  0  3 12]
 [ 1 54  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 1 52  0  3]
 [ 2  2 57  4]
 [ 0  0  0  0]]","[[28  0  3 32]
 [ 1 49  0  6]
 [ 2  2 52  9]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[53  0  3  7]
 [ 1 55  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[48  0  3 12]
 [ 1 54  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 1 52  0  3]
 [ 2  2 57  4]
 [ 0  0  0  0]]","[[28  0  3 32]
 [ 1 49  0  6]
 [ 2  2 52  9]
 [ 0  0  0  0]]"
