,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/15/50,1/15/70,1/15/80,1/15/90,1/15/95,1/20/50,1/20/70,1/20/80,1/20/90,1/20/95,1/25/50,1/25/70,1/25/80,1/25/90,1/25/95,1/28/50,1/28/70,1/28/80,1/28/90,1/28/95,1/29/50,1/29/70,1/29/80,1/29/90,1/29/95,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.9619565217391305,0.907608695652174,0.8804347826086957,0.7445652173913043,0.6902173913043478,0.9619565217391305,0.907608695652174,0.8804347826086957,0.7445652173913043,0.6902173913043478,0.9619565217391305,0.907608695652174,0.8804347826086957,0.7445652173913043,0.6902173913043478,0.9619565217391305,0.907608695652174,0.8804347826086957,0.7445652173913043,0.6902173913043478,0.9619565217391305,0.907608695652174,0.8804347826086957,0.7445652173913043,0.6902173913043478,0.3532608695652174,0.3532608695652174,0.3532608695652174,0.3532608695652174,0.3532608695652174,0.9619565217391305,0.907608695652174,0.8804347826086957,0.7445652173913043,0.6902173913043478,0.9619565217391305,0.907608695652174,0.8804347826086957,0.7445652173913043,0.6902173913043478,0.9619565217391305,0.907608695652174,0.8804347826086957,0.7445652173913043,0.6902173913043478,0.3532608695652174,0.3532608695652174,0.3532608695652174,0.3532608695652174,0.3532608695652174
"recall, A chirp",0.9523809523809523,0.8095238095238095,0.746031746031746,0.5396825396825397,0.47619047619047616,0.9523809523809523,0.8095238095238095,0.746031746031746,0.5396825396825397,0.47619047619047616,0.9523809523809523,0.8095238095238095,0.746031746031746,0.5396825396825397,0.47619047619047616,0.9523809523809523,0.8095238095238095,0.746031746031746,0.5396825396825397,0.47619047619047616,0.9523809523809523,0.8095238095238095,0.746031746031746,0.5396825396825397,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.8095238095238095,0.746031746031746,0.5396825396825397,0.47619047619047616,0.9523809523809523,0.8095238095238095,0.746031746031746,0.5396825396825397,0.47619047619047616,0.9523809523809523,0.8095238095238095,0.746031746031746,0.5396825396825397,0.47619047619047616,0.0,0.0,0.0,0.0,0.0
"recall, B chirp",1.0,0.9821428571428571,0.9642857142857143,0.875,0.8392857142857143,1.0,0.9821428571428571,0.9642857142857143,0.875,0.8392857142857143,1.0,0.9821428571428571,0.9642857142857143,0.875,0.8392857142857143,1.0,0.9821428571428571,0.9642857142857143,0.875,0.8392857142857143,1.0,0.9821428571428571,0.9642857142857143,0.875,0.8392857142857143,0.0,0.0,0.0,0.0,0.0,1.0,0.9821428571428571,0.9642857142857143,0.875,0.8392857142857143,1.0,0.9821428571428571,0.9642857142857143,0.875,0.8392857142857143,1.0,0.9821428571428571,0.9642857142857143,0.875,0.8392857142857143,0.0,0.0,0.0,0.0,0.0
A chirp correct,60,51,47,34,30,60,51,47,34,30,60,51,47,34,30,60,51,47,34,30,60,51,47,34,30,0,0,0,0,0,60,51,47,34,30,60,51,47,34,30,60,51,47,34,30,0,0,0,0,0
A chirp incorrect,3,12,16,29,33,3,12,16,29,33,3,12,16,29,33,3,12,16,29,33,3,12,16,29,33,63,63,63,63,63,3,12,16,29,33,3,12,16,29,33,3,12,16,29,33,63,63,63,63,63
B chirp correct,56,55,54,49,47,56,55,54,49,47,56,55,54,49,47,56,55,54,49,47,56,55,54,49,47,0,0,0,0,0,56,55,54,49,47,56,55,54,49,47,56,55,54,49,47,0,0,0,0,0
B chirp incorrect,0,1,2,7,9,0,1,2,7,9,0,1,2,7,9,0,1,2,7,9,0,1,2,7,9,56,56,56,56,56,0,1,2,7,9,0,1,2,7,9,0,1,2,7,9,56,56,56,56,56
confusion_matrix,"[[0.952 0.    0.048 0.   ]
 [0.    1.    0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.81  0.    0.048 0.143]
 [0.    0.982 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.746 0.    0.048 0.206]
 [0.    0.964 0.    0.036]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.54  0.    0.048 0.413]
 [0.    0.875 0.    0.125]
 [0.031 0.031 0.831 0.108]
 [0.    0.    0.    0.   ]]","[[0.476 0.    0.048 0.476]
 [0.    0.839 0.    0.161]
 [0.031 0.031 0.769 0.169]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.    1.    0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.81  0.    0.048 0.143]
 [0.    0.982 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.746 0.    0.048 0.206]
 [0.    0.964 0.    0.036]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.54  0.    0.048 0.413]
 [0.    0.875 0.    0.125]
 [0.031 0.031 0.831 0.108]
 [0.    0.    0.    0.   ]]","[[0.476 0.    0.048 0.476]
 [0.    0.839 0.    0.161]
 [0.031 0.031 0.769 0.169]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.    1.    0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.81  0.    0.048 0.143]
 [0.    0.982 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.746 0.    0.048 0.206]
 [0.    0.964 0.    0.036]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.54  0.    0.048 0.413]
 [0.    0.875 0.    0.125]
 [0.031 0.031 0.831 0.108]
 [0.    0.    0.    0.   ]]","[[0.476 0.    0.048 0.476]
 [0.    0.839 0.    0.161]
 [0.031 0.031 0.769 0.169]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.    1.    0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.81  0.    0.048 0.143]
 [0.    0.982 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.746 0.    0.048 0.206]
 [0.    0.964 0.    0.036]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.54  0.    0.048 0.413]
 [0.    0.875 0.    0.125]
 [0.031 0.031 0.831 0.108]
 [0.    0.    0.    0.   ]]","[[0.476 0.    0.048 0.476]
 [0.    0.839 0.    0.161]
 [0.031 0.031 0.769 0.169]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.    1.    0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.81  0.    0.048 0.143]
 [0.    0.982 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.746 0.    0.048 0.206]
 [0.    0.964 0.    0.036]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.54  0.    0.048 0.413]
 [0.    0.875 0.    0.125]
 [0.031 0.031 0.831 0.108]
 [0.    0.    0.    0.   ]]","[[0.476 0.    0.048 0.476]
 [0.    0.839 0.    0.161]
 [0.031 0.031 0.769 0.169]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0.952 0.    0.048 0.   ]
 [0.    1.    0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.81  0.    0.048 0.143]
 [0.    0.982 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.746 0.    0.048 0.206]
 [0.    0.964 0.    0.036]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.54  0.    0.048 0.413]
 [0.    0.875 0.    0.125]
 [0.031 0.031 0.831 0.108]
 [0.    0.    0.    0.   ]]","[[0.476 0.    0.048 0.476]
 [0.    0.839 0.    0.161]
 [0.031 0.031 0.769 0.169]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.    1.    0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.81  0.    0.048 0.143]
 [0.    0.982 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.746 0.    0.048 0.206]
 [0.    0.964 0.    0.036]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.54  0.    0.048 0.413]
 [0.    0.875 0.    0.125]
 [0.031 0.031 0.831 0.108]
 [0.    0.    0.    0.   ]]","[[0.476 0.    0.048 0.476]
 [0.    0.839 0.    0.161]
 [0.031 0.031 0.769 0.169]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.    1.    0.    0.   ]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.81  0.    0.048 0.143]
 [0.    0.982 0.    0.018]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.746 0.    0.048 0.206]
 [0.    0.964 0.    0.036]
 [0.031 0.031 0.938 0.   ]
 [0.    0.    0.    0.   ]]","[[0.54  0.    0.048 0.413]
 [0.    0.875 0.    0.125]
 [0.031 0.031 0.831 0.108]
 [0.    0.    0.    0.   ]]","[[0.476 0.    0.048 0.476]
 [0.    0.839 0.    0.161]
 [0.031 0.031 0.769 0.169]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]"
confusion_matrix_nonnorm,"[[60  0  3  0]
 [ 0 56  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[51  0  3  9]
 [ 0 55  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[47  0  3 13]
 [ 0 54  0  2]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[34  0  3 26]
 [ 0 49  0  7]
 [ 2  2 54  7]
 [ 0  0  0  0]]","[[30  0  3 30]
 [ 0 47  0  9]
 [ 2  2 50 11]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 0 56  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[51  0  3  9]
 [ 0 55  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[47  0  3 13]
 [ 0 54  0  2]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[34  0  3 26]
 [ 0 49  0  7]
 [ 2  2 54  7]
 [ 0  0  0  0]]","[[30  0  3 30]
 [ 0 47  0  9]
 [ 2  2 50 11]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 0 56  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[51  0  3  9]
 [ 0 55  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[47  0  3 13]
 [ 0 54  0  2]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[34  0  3 26]
 [ 0 49  0  7]
 [ 2  2 54  7]
 [ 0  0  0  0]]","[[30  0  3 30]
 [ 0 47  0  9]
 [ 2  2 50 11]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 0 56  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[51  0  3  9]
 [ 0 55  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[47  0  3 13]
 [ 0 54  0  2]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[34  0  3 26]
 [ 0 49  0  7]
 [ 2  2 54  7]
 [ 0  0  0  0]]","[[30  0  3 30]
 [ 0 47  0  9]
 [ 2  2 50 11]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 0 56  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[51  0  3  9]
 [ 0 55  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[47  0  3 13]
 [ 0 54  0  2]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[34  0  3 26]
 [ 0 49  0  7]
 [ 2  2 54  7]
 [ 0  0  0  0]]","[[30  0  3 30]
 [ 0 47  0  9]
 [ 2  2 50 11]
 [ 0  0  0  0]]","[[ 0  0 63  0]
 [ 0  0 56  0]
 [ 0  0 65  0]
 [ 0  0  0  0]]","[[ 0  0 63  0]
 [ 0  0 56  0]
 [ 0  0 65  0]
 [ 0  0  0  0]]","[[ 0  0 63  0]
 [ 0  0 56  0]
 [ 0  0 65  0]
 [ 0  0  0  0]]","[[ 0  0 63  0]
 [ 0  0 56  0]
 [ 0  0 65  0]
 [ 0  0  0  0]]","[[ 0  0 63  0]
 [ 0  0 56  0]
 [ 0  0 65  0]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 0 56  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[51  0  3  9]
 [ 0 55  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[47  0  3 13]
 [ 0 54  0  2]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[34  0  3 26]
 [ 0 49  0  7]
 [ 2  2 54  7]
 [ 0  0  0  0]]","[[30  0  3 30]
 [ 0 47  0  9]
 [ 2  2 50 11]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 0 56  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[51  0  3  9]
 [ 0 55  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[47  0  3 13]
 [ 0 54  0  2]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[34  0  3 26]
 [ 0 49  0  7]
 [ 2  2 54  7]
 [ 0  0  0  0]]","[[30  0  3 30]
 [ 0 47  0  9]
 [ 2  2 50 11]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 0 56  0  0]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[51  0  3  9]
 [ 0 55  0  1]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[47  0  3 13]
 [ 0 54  0  2]
 [ 2  2 61  0]
 [ 0  0  0  0]]","[[34  0  3 26]
 [ 0 49  0  7]
 [ 2  2 54  7]
 [ 0  0  0  0]]","[[30  0  3 30]
 [ 0 47  0  9]
 [ 2  2 50 11]
 [ 0  0  0  0]]","[[ 0  0 63  0]
 [ 0  0 56  0]
 [ 0  0 65  0]
 [ 0  0  0  0]]","[[ 0  0 63  0]
 [ 0  0 56  0]
 [ 0  0 65  0]
 [ 0  0  0  0]]","[[ 0  0 63  0]
 [ 0  0 56  0]
 [ 0  0 65  0]
 [ 0  0  0  0]]","[[ 0  0 63  0]
 [ 0  0 56  0]
 [ 0  0 65  0]
 [ 0  0  0  0]]","[[ 0  0 63  0]
 [ 0  0 56  0]
 [ 0  0 65  0]
 [ 0  0  0  0]]"
