,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/1/50,1/1/70,1/1/80,1/1/90,1/1/95,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.9565217391304348,0.9130434782608695,0.8858695652173914,0.8152173913043478,0.7010869565217391,0.9565217391304348,0.9130434782608695,0.8858695652173914,0.8152173913043478,0.7010869565217391,0.9565217391304348,0.9130434782608695,0.8858695652173914,0.8152173913043478,0.7010869565217391,0.9565217391304348,0.9130434782608695,0.8858695652173914,0.8152173913043478,0.7010869565217391,0.9565217391304348,0.9130434782608695,0.8858695652173914,0.8152173913043478,0.7010869565217391,0.9565217391304348,0.9130434782608695,0.8858695652173914,0.8152173913043478,0.7010869565217391
"recall, A chirp",0.9365079365079365,0.8253968253968254,0.746031746031746,0.6507936507936508,0.4603174603174603,0.9365079365079365,0.8253968253968254,0.746031746031746,0.6507936507936508,0.4603174603174603,0.9365079365079365,0.8253968253968254,0.746031746031746,0.6507936507936508,0.4603174603174603,0.9365079365079365,0.8253968253968254,0.746031746031746,0.6507936507936508,0.4603174603174603,0.9365079365079365,0.8253968253968254,0.746031746031746,0.6507936507936508,0.4603174603174603,0.9365079365079365,0.8253968253968254,0.746031746031746,0.6507936507936508,0.4603174603174603
"recall, B chirp",0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9464285714285714,0.8928571428571429,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9464285714285714,0.8928571428571429,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9464285714285714,0.8928571428571429,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9464285714285714,0.8928571428571429,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9464285714285714,0.8928571428571429,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9464285714285714,0.8928571428571429
A chirp correct,59,52,47,41,29,59,52,47,41,29,59,52,47,41,29,59,52,47,41,29,59,52,47,41,29,59,52,47,41,29
A chirp incorrect,4,11,16,22,34,4,11,16,22,34,4,11,16,22,34,4,11,16,22,34,4,11,16,22,34,4,11,16,22,34
B chirp correct,55,55,55,53,50,55,55,55,53,50,55,55,55,53,50,55,55,55,53,50,55,55,55,53,50,55,55,55,53,50
B chirp incorrect,1,1,1,3,6,1,1,1,3,6,1,1,1,3,6,1,1,1,3,6,1,1,1,3,6,1,1,1,3,6
confusion_matrix,"[[0.937 0.    0.063 0.   ]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.825 0.    0.063 0.111]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.938 0.015]
 [0.    0.    0.    0.   ]]","[[0.746 0.    0.063 0.19 ]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.938 0.015]
 [0.    0.    0.    0.   ]]","[[0.651 0.    0.063 0.286]
 [0.018 0.946 0.    0.036]
 [0.015 0.031 0.862 0.092]
 [0.    0.    0.    0.   ]]","[[0.46  0.    0.063 0.476]
 [0.018 0.893 0.    0.089]
 [0.015 0.031 0.769 0.185]
 [0.    0.    0.    0.   ]]","[[0.937 0.    0.063 0.   ]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.825 0.    0.063 0.111]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.938 0.015]
 [0.    0.    0.    0.   ]]","[[0.746 0.    0.063 0.19 ]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.938 0.015]
 [0.    0.    0.    0.   ]]","[[0.651 0.    0.063 0.286]
 [0.018 0.946 0.    0.036]
 [0.015 0.031 0.862 0.092]
 [0.    0.    0.    0.   ]]","[[0.46  0.    0.063 0.476]
 [0.018 0.893 0.    0.089]
 [0.015 0.031 0.769 0.185]
 [0.    0.    0.    0.   ]]","[[0.937 0.    0.063 0.   ]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.825 0.    0.063 0.111]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.938 0.015]
 [0.    0.    0.    0.   ]]","[[0.746 0.    0.063 0.19 ]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.938 0.015]
 [0.    0.    0.    0.   ]]","[[0.651 0.    0.063 0.286]
 [0.018 0.946 0.    0.036]
 [0.015 0.031 0.862 0.092]
 [0.    0.    0.    0.   ]]","[[0.46  0.    0.063 0.476]
 [0.018 0.893 0.    0.089]
 [0.015 0.031 0.769 0.185]
 [0.    0.    0.    0.   ]]","[[0.937 0.    0.063 0.   ]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.825 0.    0.063 0.111]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.938 0.015]
 [0.    0.    0.    0.   ]]","[[0.746 0.    0.063 0.19 ]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.938 0.015]
 [0.    0.    0.    0.   ]]","[[0.651 0.    0.063 0.286]
 [0.018 0.946 0.    0.036]
 [0.015 0.031 0.862 0.092]
 [0.    0.    0.    0.   ]]","[[0.46  0.    0.063 0.476]
 [0.018 0.893 0.    0.089]
 [0.015 0.031 0.769 0.185]
 [0.    0.    0.    0.   ]]","[[0.937 0.    0.063 0.   ]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.825 0.    0.063 0.111]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.938 0.015]
 [0.    0.    0.    0.   ]]","[[0.746 0.    0.063 0.19 ]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.938 0.015]
 [0.    0.    0.    0.   ]]","[[0.651 0.    0.063 0.286]
 [0.018 0.946 0.    0.036]
 [0.015 0.031 0.862 0.092]
 [0.    0.    0.    0.   ]]","[[0.46  0.    0.063 0.476]
 [0.018 0.893 0.    0.089]
 [0.015 0.031 0.769 0.185]
 [0.    0.    0.    0.   ]]","[[0.937 0.    0.063 0.   ]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.825 0.    0.063 0.111]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.938 0.015]
 [0.    0.    0.    0.   ]]","[[0.746 0.    0.063 0.19 ]
 [0.018 0.982 0.    0.   ]
 [0.015 0.031 0.938 0.015]
 [0.    0.    0.    0.   ]]","[[0.651 0.    0.063 0.286]
 [0.018 0.946 0.    0.036]
 [0.015 0.031 0.862 0.092]
 [0.    0.    0.    0.   ]]","[[0.46  0.    0.063 0.476]
 [0.018 0.893 0.    0.089]
 [0.015 0.031 0.769 0.185]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[59  0  4  0]
 [ 1 55  0  0]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[52  0  4  7]
 [ 1 55  0  0]
 [ 1  2 61  1]
 [ 0  0  0  0]]","[[47  0  4 12]
 [ 1 55  0  0]
 [ 1  2 61  1]
 [ 0  0  0  0]]","[[41  0  4 18]
 [ 1 53  0  2]
 [ 1  2 56  6]
 [ 0  0  0  0]]","[[29  0  4 30]
 [ 1 50  0  5]
 [ 1  2 50 12]
 [ 0  0  0  0]]","[[59  0  4  0]
 [ 1 55  0  0]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[52  0  4  7]
 [ 1 55  0  0]
 [ 1  2 61  1]
 [ 0  0  0  0]]","[[47  0  4 12]
 [ 1 55  0  0]
 [ 1  2 61  1]
 [ 0  0  0  0]]","[[41  0  4 18]
 [ 1 53  0  2]
 [ 1  2 56  6]
 [ 0  0  0  0]]","[[29  0  4 30]
 [ 1 50  0  5]
 [ 1  2 50 12]
 [ 0  0  0  0]]","[[59  0  4  0]
 [ 1 55  0  0]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[52  0  4  7]
 [ 1 55  0  0]
 [ 1  2 61  1]
 [ 0  0  0  0]]","[[47  0  4 12]
 [ 1 55  0  0]
 [ 1  2 61  1]
 [ 0  0  0  0]]","[[41  0  4 18]
 [ 1 53  0  2]
 [ 1  2 56  6]
 [ 0  0  0  0]]","[[29  0  4 30]
 [ 1 50  0  5]
 [ 1  2 50 12]
 [ 0  0  0  0]]","[[59  0  4  0]
 [ 1 55  0  0]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[52  0  4  7]
 [ 1 55  0  0]
 [ 1  2 61  1]
 [ 0  0  0  0]]","[[47  0  4 12]
 [ 1 55  0  0]
 [ 1  2 61  1]
 [ 0  0  0  0]]","[[41  0  4 18]
 [ 1 53  0  2]
 [ 1  2 56  6]
 [ 0  0  0  0]]","[[29  0  4 30]
 [ 1 50  0  5]
 [ 1  2 50 12]
 [ 0  0  0  0]]","[[59  0  4  0]
 [ 1 55  0  0]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[52  0  4  7]
 [ 1 55  0  0]
 [ 1  2 61  1]
 [ 0  0  0  0]]","[[47  0  4 12]
 [ 1 55  0  0]
 [ 1  2 61  1]
 [ 0  0  0  0]]","[[41  0  4 18]
 [ 1 53  0  2]
 [ 1  2 56  6]
 [ 0  0  0  0]]","[[29  0  4 30]
 [ 1 50  0  5]
 [ 1  2 50 12]
 [ 0  0  0  0]]","[[59  0  4  0]
 [ 1 55  0  0]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[52  0  4  7]
 [ 1 55  0  0]
 [ 1  2 61  1]
 [ 0  0  0  0]]","[[47  0  4 12]
 [ 1 55  0  0]
 [ 1  2 61  1]
 [ 0  0  0  0]]","[[41  0  4 18]
 [ 1 53  0  2]
 [ 1  2 56  6]
 [ 0  0  0  0]]","[[29  0  4 30]
 [ 1 50  0  5]
 [ 1  2 50 12]
 [ 0  0  0  0]]"
