,1/0/30,1/0/40,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/15/30,1/15/40,1/15/50,1/15/70,1/15/80,1/15/90,1/15/95,1/20/30,1/20/40,1/20/50,1/20/70,1/20/80,1/20/90,1/20/95,1/25/30,1/25/40,1/25/50,1/25/70,1/25/80,1/25/90,1/25/95,1/28/30,1/28/40,1/28/50,1/28/70,1/28/80,1/28/90,1/28/95,1/29/30,1/29/40,1/29/50,1/29/70,1/29/80,1/29/90,1/29/95,0.4/0/30,0.4/0/40,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/30,0.2/0/40,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/30,0.1/0/40,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/30,0.05/0/40,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.8939393939393939,0.8838383838383839,0.8737373737373737,0.8333333333333334,0.8131313131313131,0.7474747474747475,0.6363636363636364,0.8939393939393939,0.8838383838383839,0.8737373737373737,0.8333333333333334,0.8131313131313131,0.7474747474747475,0.6363636363636364,0.8939393939393939,0.8838383838383839,0.8737373737373737,0.8333333333333334,0.8131313131313131,0.7474747474747475,0.6363636363636364,0.8939393939393939,0.8838383838383839,0.8737373737373737,0.8333333333333334,0.8131313131313131,0.7474747474747475,0.6363636363636364,0.8939393939393939,0.8838383838383839,0.8737373737373737,0.8333333333333334,0.8131313131313131,0.7474747474747475,0.6363636363636364,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.8939393939393939,0.8838383838383839,0.8737373737373737,0.8333333333333334,0.8131313131313131,0.7474747474747475,0.6363636363636364,0.8939393939393939,0.8838383838383839,0.8737373737373737,0.8333333333333334,0.8131313131313131,0.7474747474747475,0.6363636363636364,0.8939393939393939,0.8838383838383839,0.8737373737373737,0.8333333333333334,0.8131313131313131,0.7474747474747475,0.6363636363636364,0.8939393939393939,0.8838383838383839,0.8737373737373737,0.8333333333333334,0.8131313131313131,0.7474747474747475,0.6363636363636364
"recall, A chirp",0.7681159420289855,0.7536231884057971,0.7246376811594203,0.6086956521739131,0.5652173913043478,0.463768115942029,0.3188405797101449,0.7681159420289855,0.7536231884057971,0.7246376811594203,0.6086956521739131,0.5652173913043478,0.463768115942029,0.3188405797101449,0.7681159420289855,0.7536231884057971,0.7246376811594203,0.6086956521739131,0.5652173913043478,0.463768115942029,0.3188405797101449,0.7681159420289855,0.7536231884057971,0.7246376811594203,0.6086956521739131,0.5652173913043478,0.463768115942029,0.3188405797101449,0.7681159420289855,0.7536231884057971,0.7246376811594203,0.6086956521739131,0.5652173913043478,0.463768115942029,0.3188405797101449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7681159420289855,0.7536231884057971,0.7246376811594203,0.6086956521739131,0.5652173913043478,0.463768115942029,0.3188405797101449,0.7681159420289855,0.7536231884057971,0.7246376811594203,0.6086956521739131,0.5652173913043478,0.463768115942029,0.3188405797101449,0.7681159420289855,0.7536231884057971,0.7246376811594203,0.6086956521739131,0.5652173913043478,0.463768115942029,0.3188405797101449,0.7681159420289855,0.7536231884057971,0.7246376811594203,0.6086956521739131,0.5652173913043478,0.463768115942029,0.3188405797101449
"recall, B chirp",0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.8275862068965517,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.8275862068965517,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.8275862068965517,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.8275862068965517,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.8275862068965517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.8275862068965517,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.8275862068965517,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.8275862068965517,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.8275862068965517
A chirp correct,53,52,50,42,39,32,22,53,52,50,42,39,32,22,53,52,50,42,39,32,22,53,52,50,42,39,32,22,53,52,50,42,39,32,22,0,0,0,0,0,0,0,53,52,50,42,39,32,22,53,52,50,42,39,32,22,53,52,50,42,39,32,22,53,52,50,42,39,32,22
A chirp incorrect,16,17,19,27,30,37,47,16,17,19,27,30,37,47,16,17,19,27,30,37,47,16,17,19,27,30,37,47,16,17,19,27,30,37,47,69,69,69,69,69,69,69,16,17,19,27,30,37,47,16,17,19,27,30,37,47,16,17,19,27,30,37,47,16,17,19,27,30,37,47
B chirp correct,56,56,56,56,55,54,48,56,56,56,56,55,54,48,56,56,56,56,55,54,48,56,56,56,56,55,54,48,56,56,56,56,55,54,48,0,0,0,0,0,0,0,56,56,56,56,55,54,48,56,56,56,56,55,54,48,56,56,56,56,55,54,48,56,56,56,56,55,54,48
B chirp incorrect,2,2,2,2,3,4,10,2,2,2,2,3,4,10,2,2,2,2,3,4,10,2,2,2,2,3,4,10,2,2,2,2,3,4,10,58,58,58,58,58,58,58,2,2,2,2,3,4,10,2,2,2,2,3,4,10,2,2,2,2,3,4,10,2,2,2,2,3,4,10
confusion_matrix,"[[0.768 0.159 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.725 0.188 0.072 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.188 0.072 0.13 ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.188 0.072 0.174]
 [0.017 0.948 0.017 0.017]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.188 0.072 0.275]
 [0.017 0.931 0.017 0.034]
 [0.028 0.028 0.873 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.072 0.42 ]
 [0.017 0.828 0.017 0.138]
 [0.028 0.028 0.789 0.155]
 [0.    0.    0.    0.   ]]","[[0.768 0.159 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.725 0.188 0.072 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.188 0.072 0.13 ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.188 0.072 0.174]
 [0.017 0.948 0.017 0.017]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.188 0.072 0.275]
 [0.017 0.931 0.017 0.034]
 [0.028 0.028 0.873 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.072 0.42 ]
 [0.017 0.828 0.017 0.138]
 [0.028 0.028 0.789 0.155]
 [0.    0.    0.    0.   ]]","[[0.768 0.159 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.725 0.188 0.072 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.188 0.072 0.13 ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.188 0.072 0.174]
 [0.017 0.948 0.017 0.017]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.188 0.072 0.275]
 [0.017 0.931 0.017 0.034]
 [0.028 0.028 0.873 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.072 0.42 ]
 [0.017 0.828 0.017 0.138]
 [0.028 0.028 0.789 0.155]
 [0.    0.    0.    0.   ]]","[[0.768 0.159 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.725 0.188 0.072 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.188 0.072 0.13 ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.188 0.072 0.174]
 [0.017 0.948 0.017 0.017]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.188 0.072 0.275]
 [0.017 0.931 0.017 0.034]
 [0.028 0.028 0.873 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.072 0.42 ]
 [0.017 0.828 0.017 0.138]
 [0.028 0.028 0.789 0.155]
 [0.    0.    0.    0.   ]]","[[0.768 0.159 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.725 0.188 0.072 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.188 0.072 0.13 ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.188 0.072 0.174]
 [0.017 0.948 0.017 0.017]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.188 0.072 0.275]
 [0.017 0.931 0.017 0.034]
 [0.028 0.028 0.873 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.072 0.42 ]
 [0.017 0.828 0.017 0.138]
 [0.028 0.028 0.789 0.155]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0.768 0.159 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.725 0.188 0.072 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.188 0.072 0.13 ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.188 0.072 0.174]
 [0.017 0.948 0.017 0.017]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.188 0.072 0.275]
 [0.017 0.931 0.017 0.034]
 [0.028 0.028 0.873 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.072 0.42 ]
 [0.017 0.828 0.017 0.138]
 [0.028 0.028 0.789 0.155]
 [0.    0.    0.    0.   ]]","[[0.768 0.159 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.725 0.188 0.072 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.188 0.072 0.13 ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.188 0.072 0.174]
 [0.017 0.948 0.017 0.017]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.188 0.072 0.275]
 [0.017 0.931 0.017 0.034]
 [0.028 0.028 0.873 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.072 0.42 ]
 [0.017 0.828 0.017 0.138]
 [0.028 0.028 0.789 0.155]
 [0.    0.    0.    0.   ]]","[[0.768 0.159 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.725 0.188 0.072 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.188 0.072 0.13 ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.188 0.072 0.174]
 [0.017 0.948 0.017 0.017]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.188 0.072 0.275]
 [0.017 0.931 0.017 0.034]
 [0.028 0.028 0.873 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.072 0.42 ]
 [0.017 0.828 0.017 0.138]
 [0.028 0.028 0.789 0.155]
 [0.    0.    0.    0.   ]]","[[0.768 0.159 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.725 0.188 0.072 0.014]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.188 0.072 0.13 ]
 [0.017 0.966 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.188 0.072 0.174]
 [0.017 0.948 0.017 0.017]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.188 0.072 0.275]
 [0.017 0.931 0.017 0.034]
 [0.028 0.028 0.873 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.319 0.188 0.072 0.42 ]
 [0.017 0.828 0.017 0.138]
 [0.028 0.028 0.789 0.155]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[53 11  5  0]
 [ 1 56  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[50 13  5  1]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[42 13  5  9]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[39 13  5 12]
 [ 1 55  1  1]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[32 13  5 19]
 [ 1 54  1  2]
 [ 2  2 62  5]
 [ 0  0  0  0]]","[[22 13  5 29]
 [ 1 48  1  8]
 [ 2  2 56 11]
 [ 0  0  0  0]]","[[53 11  5  0]
 [ 1 56  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[50 13  5  1]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[42 13  5  9]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[39 13  5 12]
 [ 1 55  1  1]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[32 13  5 19]
 [ 1 54  1  2]
 [ 2  2 62  5]
 [ 0  0  0  0]]","[[22 13  5 29]
 [ 1 48  1  8]
 [ 2  2 56 11]
 [ 0  0  0  0]]","[[53 11  5  0]
 [ 1 56  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[50 13  5  1]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[42 13  5  9]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[39 13  5 12]
 [ 1 55  1  1]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[32 13  5 19]
 [ 1 54  1  2]
 [ 2  2 62  5]
 [ 0  0  0  0]]","[[22 13  5 29]
 [ 1 48  1  8]
 [ 2  2 56 11]
 [ 0  0  0  0]]","[[53 11  5  0]
 [ 1 56  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[50 13  5  1]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[42 13  5  9]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[39 13  5 12]
 [ 1 55  1  1]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[32 13  5 19]
 [ 1 54  1  2]
 [ 2  2 62  5]
 [ 0  0  0  0]]","[[22 13  5 29]
 [ 1 48  1  8]
 [ 2  2 56 11]
 [ 0  0  0  0]]","[[53 11  5  0]
 [ 1 56  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[50 13  5  1]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[42 13  5  9]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[39 13  5 12]
 [ 1 55  1  1]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[32 13  5 19]
 [ 1 54  1  2]
 [ 2  2 62  5]
 [ 0  0  0  0]]","[[22 13  5 29]
 [ 1 48  1  8]
 [ 2  2 56 11]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[53 11  5  0]
 [ 1 56  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[50 13  5  1]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[42 13  5  9]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[39 13  5 12]
 [ 1 55  1  1]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[32 13  5 19]
 [ 1 54  1  2]
 [ 2  2 62  5]
 [ 0  0  0  0]]","[[22 13  5 29]
 [ 1 48  1  8]
 [ 2  2 56 11]
 [ 0  0  0  0]]","[[53 11  5  0]
 [ 1 56  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[50 13  5  1]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[42 13  5  9]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[39 13  5 12]
 [ 1 55  1  1]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[32 13  5 19]
 [ 1 54  1  2]
 [ 2  2 62  5]
 [ 0  0  0  0]]","[[22 13  5 29]
 [ 1 48  1  8]
 [ 2  2 56 11]
 [ 0  0  0  0]]","[[53 11  5  0]
 [ 1 56  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[50 13  5  1]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[42 13  5  9]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[39 13  5 12]
 [ 1 55  1  1]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[32 13  5 19]
 [ 1 54  1  2]
 [ 2  2 62  5]
 [ 0  0  0  0]]","[[22 13  5 29]
 [ 1 48  1  8]
 [ 2  2 56 11]
 [ 0  0  0  0]]","[[53 11  5  0]
 [ 1 56  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[50 13  5  1]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[42 13  5  9]
 [ 1 56  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[39 13  5 12]
 [ 1 55  1  1]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[32 13  5 19]
 [ 1 54  1  2]
 [ 2  2 62  5]
 [ 0  0  0  0]]","[[22 13  5 29]
 [ 1 48  1  8]
 [ 2  2 56 11]
 [ 0  0  0  0]]"
