,1/0,1/1,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.8558466151175635,0.8558466151175635,0.8558466151175635,0.850244595234338,0.8395665667245279,0.8247856504129188
"recall, A chirp",0.5682693256984895,0.5682693256984895,0.5682693256984895,0.5410208312765328,0.4986671932076217,0.4575969987165564
"recall, B chirp",0.9680084230987285,0.9680084230987285,0.9680084230987285,0.9594233417024378,0.9436300315866202,0.9215193974244755
"precision, A chirp",0.9338092147955873,0.9338092147955873,0.9338092147955873,0.9507286606523248,0.9661438408569243,0.9815756035578145
"precision, B chirp",0.8023630504833512,0.8023630504833512,0.8023630504833512,0.8079388896467058,0.8199732563867971,0.8326381266008049
"IoU, A chirp",0.5462655404764164,0.5462655404764164,0.5462655404764164,0.526265245366369,0.49010285270716086,0.45370007830853565
"IoU, B chirp",0.7816362566215421,0.7816362566215421,0.7816362566215421,0.7812438171865725,0.7816839986581684,0.7775044417110838
confusion_matrix,"[[0.568 0.251 0.181 0.   ]
 [0.008 0.968 0.024 0.   ]
 [0.02  0.026 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.568 0.251 0.181 0.   ]
 [0.008 0.968 0.024 0.   ]
 [0.02  0.026 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.568 0.251 0.181 0.   ]
 [0.008 0.968 0.024 0.   ]
 [0.02  0.026 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.541 0.245 0.214 0.   ]
 [0.006 0.959 0.035 0.   ]
 [0.014 0.021 0.965 0.   ]
 [0.    0.    0.    0.   ]]","[[0.499 0.233 0.268 0.   ]
 [0.004 0.944 0.052 0.   ]
 [0.008 0.013 0.979 0.   ]
 [0.    0.    0.    0.   ]]","[[0.458 0.212 0.33  0.   ]
 [0.002 0.922 0.077 0.   ]
 [0.004 0.009 0.987 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 5756  2542  1831     0]
 [   97 11952   298     0]
 [  311   402 14833     0]
 [    0     0     0     0]]","[[ 5756  2542  1831     0]
 [   97 11952   298     0]
 [  311   402 14833     0]
 [    0     0     0     0]]","[[ 5756  2542  1831     0]
 [   97 11952   298     0]
 [  311   402 14833     0]
 [    0     0     0     0]]","[[ 5480  2483  2166     0]
 [   73 11846   428     0]
 [  211   333 15002     0]
 [    0     0     0     0]]","[[ 5051  2360  2718     0]
 [   49 11651   647     0]
 [  128   198 15220     0]
 [    0     0     0     0]]","[[ 4635  2151  3343     0]
 [   24 11378   945     0]
 [   63   136 15347     0]
 [    0     0     0     0]]"
