,1/0,1/1,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.8032454894534743,0.8032454894534743,0.8032454894534743,0.7839408763347535,0.7593761506496239,0.7296302140865815
"recall, A chirp",0.44091223220456116,0.44091223220456116,0.44091223220456116,0.41652680422549115,0.3720999111462138,0.33517622667588115
"recall, B chirp",0.902729407953349,0.902729407953349,0.902729407953349,0.8571312869522961,0.8042439458977889,0.7235765773062283
"precision, A chirp",0.9273255813953488,0.9273255813953488,0.9273255813953488,0.9444817550929036,0.9726451612903226,0.9950175849941383
"precision, B chirp",0.8293154761904762,0.8295006325816775,0.8293154761904762,0.8275080147001329,0.8350151362260343,0.8484330484330485
"IoU, A chirp",0.42618570474281897,0.42618570474281897,0.42618570474281897,0.4065722270405705,0.36824621397166585,0.3346146264537749
"IoU, B chirp",0.7612867973499078,0.7614428200573848,0.7612867973499078,0.7272040129182986,0.6939688308057865,0.6407516316431184
confusion_matrix,"[[0.441 0.191 0.368 0.   ]
 [0.007 0.903 0.09  0.   ]
 [0.017 0.023 0.96  0.   ]
 [0.    0.    0.    0.   ]]","[[0.441 0.191 0.368 0.   ]
 [0.007 0.903 0.09  0.   ]
 [0.017 0.023 0.96  0.   ]
 [0.    0.    0.    0.   ]]","[[0.441 0.191 0.368 0.   ]
 [0.007 0.903 0.09  0.   ]
 [0.017 0.023 0.96  0.   ]
 [0.    0.    0.    0.   ]]","[[0.417 0.184 0.399 0.   ]
 [0.004 0.857 0.139 0.   ]
 [0.013 0.022 0.965 0.   ]
 [0.    0.    0.    0.   ]]","[[0.372 0.167 0.46  0.   ]
 [0.    0.804 0.196 0.   ]
 [0.007 0.017 0.976 0.   ]
 [0.    0.    0.    0.   ]]","[[0.335 0.146 0.519 0.   ]
 [0.    0.724 0.276 0.   ]
 [0.001 0.007 0.991 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 4466  1935  3728     0]
 [   92 11146  1109     0]
 [  258   359 14929     0]
 [    0     0     0     0]]","[[ 4466  1932  3731     0]
 [   92 11146  1109     0]
 [  258   359 14929     0]
 [    0     0     0     0]]","[[ 4466  1935  3728     0]
 [   92 11146  1109     0]
 [  258   359 14929     0]
 [    0     0     0     0]]","[[ 4219  1867  4043     0]
 [   46 10583  1718     0]
 [  202   339 15005     0]
 [    0     0     0     0]]","[[ 3769  1696  4664     0]
 [    0  9930  2417     0]
 [  106   266 15174     0]
 [    0     0     0     0]]","[[ 3395  1480  5254     0]
 [    0  8934  3413     0]
 [   17   116 15413     0]
 [    0     0     0     0]]"
