,1/0,1/6,1/7,1/8,1/9,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.798327284203882,0.7926726631949924,0.7818894324338541,0.7672926200620693,0.7489348272053022,0.7945926042817316,0.7602440692230814,0.7288674977644521,0.6870759034243333
"recall, A chirp",0.43893770362325996,0.42560963569947674,0.39599170697995856,0.36824958041267647,0.334978773817751,0.42679435284825745,0.3518609931878764,0.2936124000394906,0.24790206338236745
"recall, B chirp",0.8896898031910585,0.8773791204341136,0.8596420183040415,0.8325099214384061,0.7972786911800437,0.8839394184822223,0.822547987365352,0.7563780675467725,0.6625091115250669
"precision, A chirp",0.937381404174573,0.9533392304290137,0.9679054054054054,0.979002624671916,0.9869109947643979,0.9501098901098901,0.9751025991792066,0.9976517946997652,1.0
"precision, B chirp",0.8189205307887282,0.8209305850257654,0.829607628575895,0.8351478713032174,0.8480358373535493,0.8240090600226501,0.8440122995096817,0.8638423827583017,0.8771177353634999
"IoU, A chirp",0.42643391521197005,0.4169245647969052,0.3908594815825375,0.36536389460280144,0.333497149597012,0.4174391657010429,0.3487279843444227,0.2934096290449882,0.24790206338236745
"IoU, B chirp",0.7434353004872767,0.7364377974167233,0.7306394988641839,0.7150111296605454,0.6976117922188364,0.7435617931598311,0.7140044994375703,0.6758086692235328,0.6062402727340103
confusion_matrix,"[[0.439 0.202 0.359 0.   ]
 [0.005 0.89  0.106 0.   ]
 [0.016 0.025 0.96  0.   ]
 [0.    0.    0.    0.   ]]","[[0.426 0.197 0.378 0.   ]
 [0.002 0.877 0.12  0.   ]
 [0.012 0.024 0.965 0.   ]
 [0.    0.    0.    0.   ]]","[[0.396 0.185 0.419 0.   ]
 [0.    0.86  0.14  0.   ]
 [0.009 0.02  0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.368 0.171 0.461 0.   ]
 [0.    0.833 0.167 0.   ]
 [0.005 0.019 0.975 0.   ]
 [0.    0.    0.    0.   ]]","[[0.335 0.148 0.517 0.   ]
 [0.    0.797 0.203 0.   ]
 [0.003 0.017 0.98  0.   ]
 [0.    0.    0.    0.   ]]","[[0.427 0.195 0.378 0.   ]
 [0.001 0.884 0.115 0.   ]
 [0.014 0.023 0.963 0.   ]
 [0.    0.    0.    0.   ]]","[[0.352 0.159 0.489 0.   ]
 [0.    0.823 0.177 0.   ]
 [0.006 0.017 0.977 0.   ]
 [0.    0.    0.    0.   ]]","[[0.294 0.132 0.575 0.   ]
 [0.    0.756 0.244 0.   ]
 [0.    0.009 0.991 0.   ]
 [0.    0.    0.    0.   ]]","[[0.248 0.102 0.65  0.   ]
 [0.    0.663 0.337 0.   ]
 [0.    0.007 0.993 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 4446  2047  3636     0]
 [   56 10985  1306     0]
 [  241   382 14923     0]
 [    0     0     0     0]]","[[ 4311  1994  3824     0]
 [   29 10833  1485     0]
 [  182   369 14995     0]
 [    0     0     0     0]]","[[ 4011  1871  4247     0]
 [    0 10614  1733     0]
 [  133   309 15104     0]
 [    0     0     0     0]]","[[ 3730  1728  4671     0]
 [    0 10279  2068     0]
 [   80   301 15165     0]
 [    0     0     0     0]]","[[ 3393  1502  5234     0]
 [    0  9844  2503     0]
 [   45   262 15239     0]
 [    0     0     0     0]]","[[ 4323  1973  3833     0]
 [   14 10914  1419     0]
 [  213   358 14975     0]
 [    0     0     0     0]]","[[ 3564  1608  4957     0]
 [    0 10156  2191     0]
 [   91   269 15186     0]
 [    0     0     0     0]]","[[ 2974  1333  5822     0]
 [    0  9339  3008     0]
 [    7   139 15400     0]
 [    0     0     0     0]]","[[ 2511  1033  6585     0]
 [    0  8180  4167     0]
 [    0   113 15433     0]
 [    0     0     0     0]]"
