,1/0/30,1/0/40,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/6/30,1/6/40,1/6/50,1/6/70,1/6/80,1/6/90,1/6/95,1/7/30,1/7/40,1/7/50,1/7/70,1/7/80,1/7/90,1/7/95,1/8/30,1/8/40,1/8/50,1/8/70,1/8/80,1/8/90,1/8/95,1/9/30,1/9/40,1/9/50,1/9/70,1/9/80,1/9/90,1/9/95,0.4/0/30,0.4/0/40,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/30,0.2/0/40,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/30,0.1/0/40,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/30,0.05/0/40,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.8282828282828283,0.7929292929292929,0.7676767676767676,0.6666666666666666,0.6262626262626263,0.5858585858585859,0.5050505050505051,0.8282828282828283,0.7929292929292929,0.7676767676767676,0.6666666666666666,0.6262626262626263,0.5858585858585859,0.5050505050505051,0.8282828282828283,0.7929292929292929,0.7676767676767676,0.6666666666666666,0.6262626262626263,0.5858585858585859,0.5050505050505051,0.8282828282828283,0.7929292929292929,0.7676767676767676,0.6666666666666666,0.6262626262626263,0.5858585858585859,0.5050505050505051,0.8282828282828283,0.7929292929292929,0.7676767676767676,0.6666666666666666,0.6262626262626263,0.5858585858585859,0.5050505050505051,0.8282828282828283,0.7929292929292929,0.7676767676767676,0.6666666666666666,0.6262626262626263,0.5858585858585859,0.5050505050505051,0.8282828282828283,0.7929292929292929,0.7676767676767676,0.6666666666666666,0.6262626262626263,0.5858585858585859,0.5050505050505051,0.8282828282828283,0.7929292929292929,0.7676767676767676,0.6666666666666666,0.6262626262626263,0.5858585858585859,0.5050505050505051,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856
"recall, A chirp",0.6086956521739131,0.5362318840579711,0.463768115942029,0.30434782608695654,0.2463768115942029,0.21739130434782608,0.11594202898550725,0.6086956521739131,0.5362318840579711,0.463768115942029,0.30434782608695654,0.2463768115942029,0.21739130434782608,0.11594202898550725,0.6086956521739131,0.5362318840579711,0.463768115942029,0.30434782608695654,0.2463768115942029,0.21739130434782608,0.11594202898550725,0.6086956521739131,0.5362318840579711,0.463768115942029,0.30434782608695654,0.2463768115942029,0.21739130434782608,0.11594202898550725,0.6086956521739131,0.5362318840579711,0.463768115942029,0.30434782608695654,0.2463768115942029,0.21739130434782608,0.11594202898550725,0.6086956521739131,0.5362318840579711,0.463768115942029,0.30434782608695654,0.2463768115942029,0.21739130434782608,0.11594202898550725,0.6086956521739131,0.5362318840579711,0.463768115942029,0.30434782608695654,0.2463768115942029,0.21739130434782608,0.11594202898550725,0.6086956521739131,0.5362318840579711,0.463768115942029,0.30434782608695654,0.2463768115942029,0.21739130434782608,0.11594202898550725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"recall, B chirp",0.896551724137931,0.8793103448275862,0.8793103448275862,0.7586206896551724,0.7068965517241379,0.6379310344827587,0.5172413793103449,0.896551724137931,0.8793103448275862,0.8793103448275862,0.7586206896551724,0.7068965517241379,0.6379310344827587,0.5172413793103449,0.896551724137931,0.8793103448275862,0.8793103448275862,0.7586206896551724,0.7068965517241379,0.6379310344827587,0.5172413793103449,0.896551724137931,0.8793103448275862,0.8793103448275862,0.7586206896551724,0.7068965517241379,0.6379310344827587,0.5172413793103449,0.896551724137931,0.8793103448275862,0.8793103448275862,0.7586206896551724,0.7068965517241379,0.6379310344827587,0.5172413793103449,0.896551724137931,0.8793103448275862,0.8793103448275862,0.7586206896551724,0.7068965517241379,0.6379310344827587,0.5172413793103449,0.896551724137931,0.8793103448275862,0.8793103448275862,0.7586206896551724,0.7068965517241379,0.6379310344827587,0.5172413793103449,0.896551724137931,0.8793103448275862,0.8793103448275862,0.7586206896551724,0.7068965517241379,0.6379310344827587,0.5172413793103449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A chirp correct,42,37,32,21,17,15,8,42,37,32,21,17,15,8,42,37,32,21,17,15,8,42,37,32,21,17,15,8,42,37,32,21,17,15,8,42,37,32,21,17,15,8,42,37,32,21,17,15,8,42,37,32,21,17,15,8,0,0,0,0,0,0,0
A chirp incorrect,27,32,37,48,52,54,61,27,32,37,48,52,54,61,27,32,37,48,52,54,61,27,32,37,48,52,54,61,27,32,37,48,52,54,61,27,32,37,48,52,54,61,27,32,37,48,52,54,61,27,32,37,48,52,54,61,69,69,69,69,69,69,69
B chirp correct,52,51,51,44,41,37,30,52,51,51,44,41,37,30,52,51,51,44,41,37,30,52,51,51,44,41,37,30,52,51,51,44,41,37,30,52,51,51,44,41,37,30,52,51,51,44,41,37,30,52,51,51,44,41,37,30,0,0,0,0,0,0,0
B chirp incorrect,6,7,7,14,17,21,28,6,7,7,14,17,21,28,6,7,7,14,17,21,28,6,7,7,14,17,21,28,6,7,7,14,17,21,28,6,7,7,14,17,21,28,6,7,7,14,17,21,28,6,7,7,14,17,21,28,58,58,58,58,58,58,58
confusion_matrix,"[[0.609 0.087 0.304 0.   ]
 [0.    0.897 0.103 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.536 0.087 0.377 0.   ]
 [0.    0.879 0.121 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.087 0.435 0.014]
 [0.    0.879 0.121 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.087 0.435 0.174]
 [0.    0.759 0.121 0.121]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.246 0.087 0.435 0.232]
 [0.    0.707 0.121 0.172]
 [0.014 0.014 0.93  0.042]
 [0.    0.    0.    0.   ]]","[[0.217 0.087 0.435 0.261]
 [0.    0.638 0.121 0.241]
 [0.014 0.014 0.901 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.116 0.087 0.435 0.362]
 [0.    0.517 0.121 0.362]
 [0.014 0.014 0.873 0.099]
 [0.    0.    0.    0.   ]]","[[0.609 0.087 0.304 0.   ]
 [0.    0.897 0.103 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.536 0.087 0.377 0.   ]
 [0.    0.879 0.121 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.087 0.435 0.014]
 [0.    0.879 0.121 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.087 0.435 0.174]
 [0.    0.759 0.121 0.121]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.246 0.087 0.435 0.232]
 [0.    0.707 0.121 0.172]
 [0.014 0.014 0.93  0.042]
 [0.    0.    0.    0.   ]]","[[0.217 0.087 0.435 0.261]
 [0.    0.638 0.121 0.241]
 [0.014 0.014 0.901 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.116 0.087 0.435 0.362]
 [0.    0.517 0.121 0.362]
 [0.014 0.014 0.873 0.099]
 [0.    0.    0.    0.   ]]","[[0.609 0.087 0.304 0.   ]
 [0.    0.897 0.103 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.536 0.087 0.377 0.   ]
 [0.    0.879 0.121 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.087 0.435 0.014]
 [0.    0.879 0.121 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.087 0.435 0.174]
 [0.    0.759 0.121 0.121]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.246 0.087 0.435 0.232]
 [0.    0.707 0.121 0.172]
 [0.014 0.014 0.93  0.042]
 [0.    0.    0.    0.   ]]","[[0.217 0.087 0.435 0.261]
 [0.    0.638 0.121 0.241]
 [0.014 0.014 0.901 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.116 0.087 0.435 0.362]
 [0.    0.517 0.121 0.362]
 [0.014 0.014 0.873 0.099]
 [0.    0.    0.    0.   ]]","[[0.609 0.087 0.304 0.   ]
 [0.    0.897 0.103 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.536 0.087 0.377 0.   ]
 [0.    0.879 0.121 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.087 0.435 0.014]
 [0.    0.879 0.121 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.087 0.435 0.174]
 [0.    0.759 0.121 0.121]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.246 0.087 0.435 0.232]
 [0.    0.707 0.121 0.172]
 [0.014 0.014 0.93  0.042]
 [0.    0.    0.    0.   ]]","[[0.217 0.087 0.435 0.261]
 [0.    0.638 0.121 0.241]
 [0.014 0.014 0.901 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.116 0.087 0.435 0.362]
 [0.    0.517 0.121 0.362]
 [0.014 0.014 0.873 0.099]
 [0.    0.    0.    0.   ]]","[[0.609 0.087 0.304 0.   ]
 [0.    0.897 0.103 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.536 0.087 0.377 0.   ]
 [0.    0.879 0.121 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.087 0.435 0.014]
 [0.    0.879 0.121 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.087 0.435 0.174]
 [0.    0.759 0.121 0.121]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.246 0.087 0.435 0.232]
 [0.    0.707 0.121 0.172]
 [0.014 0.014 0.93  0.042]
 [0.    0.    0.    0.   ]]","[[0.217 0.087 0.435 0.261]
 [0.    0.638 0.121 0.241]
 [0.014 0.014 0.901 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.116 0.087 0.435 0.362]
 [0.    0.517 0.121 0.362]
 [0.014 0.014 0.873 0.099]
 [0.    0.    0.    0.   ]]","[[0.609 0.087 0.304 0.   ]
 [0.    0.897 0.103 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.536 0.087 0.377 0.   ]
 [0.    0.879 0.121 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.087 0.435 0.014]
 [0.    0.879 0.121 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.087 0.435 0.174]
 [0.    0.759 0.121 0.121]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.246 0.087 0.435 0.232]
 [0.    0.707 0.121 0.172]
 [0.014 0.014 0.93  0.042]
 [0.    0.    0.    0.   ]]","[[0.217 0.087 0.435 0.261]
 [0.    0.638 0.121 0.241]
 [0.014 0.014 0.901 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.116 0.087 0.435 0.362]
 [0.    0.517 0.121 0.362]
 [0.014 0.014 0.873 0.099]
 [0.    0.    0.    0.   ]]","[[0.609 0.087 0.304 0.   ]
 [0.    0.897 0.103 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.536 0.087 0.377 0.   ]
 [0.    0.879 0.121 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.087 0.435 0.014]
 [0.    0.879 0.121 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.087 0.435 0.174]
 [0.    0.759 0.121 0.121]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.246 0.087 0.435 0.232]
 [0.    0.707 0.121 0.172]
 [0.014 0.014 0.93  0.042]
 [0.    0.    0.    0.   ]]","[[0.217 0.087 0.435 0.261]
 [0.    0.638 0.121 0.241]
 [0.014 0.014 0.901 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.116 0.087 0.435 0.362]
 [0.    0.517 0.121 0.362]
 [0.014 0.014 0.873 0.099]
 [0.    0.    0.    0.   ]]","[[0.609 0.087 0.304 0.   ]
 [0.    0.897 0.103 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.536 0.087 0.377 0.   ]
 [0.    0.879 0.121 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.087 0.435 0.014]
 [0.    0.879 0.121 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.087 0.435 0.174]
 [0.    0.759 0.121 0.121]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.246 0.087 0.435 0.232]
 [0.    0.707 0.121 0.172]
 [0.014 0.014 0.93  0.042]
 [0.    0.    0.    0.   ]]","[[0.217 0.087 0.435 0.261]
 [0.    0.638 0.121 0.241]
 [0.014 0.014 0.901 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.116 0.087 0.435 0.362]
 [0.    0.517 0.121 0.362]
 [0.014 0.014 0.873 0.099]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]"
confusion_matrix_nonnorm,"[[42  6 21  0]
 [ 0 52  6  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[37  6 26  0]
 [ 0 51  7  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[32  6 30  1]
 [ 0 51  7  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[21  6 30 12]
 [ 0 44  7  7]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[17  6 30 16]
 [ 0 41  7 10]
 [ 1  1 66  3]
 [ 0  0  0  0]]","[[15  6 30 18]
 [ 0 37  7 14]
 [ 1  1 64  5]
 [ 0  0  0  0]]","[[ 8  6 30 25]
 [ 0 30  7 21]
 [ 1  1 62  7]
 [ 0  0  0  0]]","[[42  6 21  0]
 [ 0 52  6  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[37  6 26  0]
 [ 0 51  7  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[32  6 30  1]
 [ 0 51  7  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[21  6 30 12]
 [ 0 44  7  7]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[17  6 30 16]
 [ 0 41  7 10]
 [ 1  1 66  3]
 [ 0  0  0  0]]","[[15  6 30 18]
 [ 0 37  7 14]
 [ 1  1 64  5]
 [ 0  0  0  0]]","[[ 8  6 30 25]
 [ 0 30  7 21]
 [ 1  1 62  7]
 [ 0  0  0  0]]","[[42  6 21  0]
 [ 0 52  6  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[37  6 26  0]
 [ 0 51  7  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[32  6 30  1]
 [ 0 51  7  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[21  6 30 12]
 [ 0 44  7  7]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[17  6 30 16]
 [ 0 41  7 10]
 [ 1  1 66  3]
 [ 0  0  0  0]]","[[15  6 30 18]
 [ 0 37  7 14]
 [ 1  1 64  5]
 [ 0  0  0  0]]","[[ 8  6 30 25]
 [ 0 30  7 21]
 [ 1  1 62  7]
 [ 0  0  0  0]]","[[42  6 21  0]
 [ 0 52  6  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[37  6 26  0]
 [ 0 51  7  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[32  6 30  1]
 [ 0 51  7  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[21  6 30 12]
 [ 0 44  7  7]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[17  6 30 16]
 [ 0 41  7 10]
 [ 1  1 66  3]
 [ 0  0  0  0]]","[[15  6 30 18]
 [ 0 37  7 14]
 [ 1  1 64  5]
 [ 0  0  0  0]]","[[ 8  6 30 25]
 [ 0 30  7 21]
 [ 1  1 62  7]
 [ 0  0  0  0]]","[[42  6 21  0]
 [ 0 52  6  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[37  6 26  0]
 [ 0 51  7  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[32  6 30  1]
 [ 0 51  7  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[21  6 30 12]
 [ 0 44  7  7]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[17  6 30 16]
 [ 0 41  7 10]
 [ 1  1 66  3]
 [ 0  0  0  0]]","[[15  6 30 18]
 [ 0 37  7 14]
 [ 1  1 64  5]
 [ 0  0  0  0]]","[[ 8  6 30 25]
 [ 0 30  7 21]
 [ 1  1 62  7]
 [ 0  0  0  0]]","[[42  6 21  0]
 [ 0 52  6  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[37  6 26  0]
 [ 0 51  7  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[32  6 30  1]
 [ 0 51  7  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[21  6 30 12]
 [ 0 44  7  7]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[17  6 30 16]
 [ 0 41  7 10]
 [ 1  1 66  3]
 [ 0  0  0  0]]","[[15  6 30 18]
 [ 0 37  7 14]
 [ 1  1 64  5]
 [ 0  0  0  0]]","[[ 8  6 30 25]
 [ 0 30  7 21]
 [ 1  1 62  7]
 [ 0  0  0  0]]","[[42  6 21  0]
 [ 0 52  6  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[37  6 26  0]
 [ 0 51  7  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[32  6 30  1]
 [ 0 51  7  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[21  6 30 12]
 [ 0 44  7  7]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[17  6 30 16]
 [ 0 41  7 10]
 [ 1  1 66  3]
 [ 0  0  0  0]]","[[15  6 30 18]
 [ 0 37  7 14]
 [ 1  1 64  5]
 [ 0  0  0  0]]","[[ 8  6 30 25]
 [ 0 30  7 21]
 [ 1  1 62  7]
 [ 0  0  0  0]]","[[42  6 21  0]
 [ 0 52  6  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[37  6 26  0]
 [ 0 51  7  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[32  6 30  1]
 [ 0 51  7  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[21  6 30 12]
 [ 0 44  7  7]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[17  6 30 16]
 [ 0 41  7 10]
 [ 1  1 66  3]
 [ 0  0  0  0]]","[[15  6 30 18]
 [ 0 37  7 14]
 [ 1  1 64  5]
 [ 0  0  0  0]]","[[ 8  6 30 25]
 [ 0 30  7 21]
 [ 1  1 62  7]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]"
