,1/0,1/6,1/7,1/8,1/9,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.7793382778391458,0.7731313450107832,0.7593761506496239,0.7401504392193993,0.7039345641996738,0.7725001315028142,0.7286307926989638,0.6824996054915575,0.6405239072116143
"recall, A chirp",0.3882910455128838,0.3774311383157271,0.3570934939283246,0.3347813209596209,0.3043735808075822,0.3782209497482476,0.32056471517425217,0.2718925856451772,0.22687333399150952
"recall, B chirp",0.8517048675791691,0.8359925487972787,0.8064307119138252,0.7613995302502632,0.670689236251721,0.8361545314651332,0.7373451040738641,0.6303555519559407,0.5360816392645987
"precision, A chirp",0.9353151010701546,0.9564673505128847,0.9658210947930574,0.9789260969976905,0.9916371823737536,0.9510923535253227,0.9788965933072054,0.9945828819068255,1.0
"precision, B chirp",0.8362624254473161,0.840964640703927,0.8474763809685931,0.8568954516452466,0.8692138133725202,0.838940354298716,0.8667999619156431,0.9009144576918625,0.9216095795043163
"IoU, A chirp",0.3781367176233055,0.3710569736969815,0.3526372233596568,0.33238580670456774,0.30359428852781883,0.37100522951772225,0.31836454554368077,0.2714905362776025,0.22687333399150952
"IoU, B chirp",0.729973622101902,0.7218686621442059,0.7042223636749416,0.6755047783286627,0.6092106231148385,0.7204968944099379,0.662301760512149,0.5894872377489965,0.5127033307513555
confusion_matrix,"[[0.388 0.188 0.424 0.   ]
 [0.005 0.852 0.143 0.   ]
 [0.013 0.01  0.977 0.   ]
 [0.    0.    0.    0.   ]]","[[0.377 0.179 0.443 0.   ]
 [0.001 0.836 0.163 0.   ]
 [0.01  0.009 0.981 0.   ]
 [0.    0.    0.    0.   ]]","[[0.357 0.164 0.479 0.   ]
 [0.001 0.806 0.193 0.   ]
 [0.008 0.008 0.984 0.   ]
 [0.    0.    0.    0.   ]]","[[0.335 0.143 0.522 0.   ]
 [0.    0.761 0.239 0.   ]
 [0.005 0.008 0.987 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.111 0.584 0.   ]
 [0.    0.671 0.329 0.   ]
 [0.002 0.008 0.991 0.   ]
 [0.    0.    0.    0.   ]]","[[0.378 0.181 0.441 0.   ]
 [0.001 0.836 0.163 0.   ]
 [0.012 0.01  0.979 0.   ]
 [0.    0.    0.    0.   ]]","[[0.321 0.126 0.553 0.   ]
 [0.    0.737 0.263 0.   ]
 [0.005 0.008 0.988 0.   ]
 [0.    0.    0.    0.   ]]","[[0.272 0.073 0.655 0.   ]
 [0.    0.63  0.37  0.   ]
 [0.001 0.008 0.991 0.   ]
 [0.    0.    0.    0.   ]]","[[0.227 0.045 0.728 0.   ]
 [0.    0.536 0.464 0.   ]
 [0.    0.007 0.993 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 3933  1904  4292     0]
 [   64 10516  1767     0]
 [  208   155 15183     0]
 [    0     0     0     0]]","[[ 3823  1815  4491     0]
 [   16 10322  2009     0]
 [  158   137 15251     0]
 [    0     0     0     0]]","[[ 3617  1665  4847     0]
 [    8  9957  2382     0]
 [  120   127 15299     0]
 [    0     0     0     0]]","[[ 3391  1447  5291     0]
 [    0  9401  2946     0]
 [   73   123 15350     0]
 [    0     0     0     0]]","[[ 3083  1127  5919     0]
 [    0  8281  4066     0]
 [   26   119 15401     0]
 [    0     0     0     0]]","[[ 3831  1834  4464     0]
 [   16 10324  2007     0]
 [  181   148 15217     0]
 [    0     0     0     0]]","[[ 3247  1276  5606     0]
 [    0  9104  3243     0]
 [   70   123 15353     0]
 [    0     0     0     0]]","[[ 2754   738  6637     0]
 [    0  7783  4564     0]
 [   15   118 15413     0]
 [    0     0     0     0]]","[[ 2298   454  7377     0]
 [    0  6619  5728     0]
 [    0   109 15437     0]
 [    0     0     0     0]]"
