,1/0/30,1/0/40,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/6/30,1/6/40,1/6/50,1/6/70,1/6/80,1/6/90,1/6/95,1/7/30,1/7/40,1/7/50,1/7/70,1/7/80,1/7/90,1/7/95,1/8/30,1/8/40,1/8/50,1/8/70,1/8/80,1/8/90,1/8/95,1/9/30,1/9/40,1/9/50,1/9/70,1/9/80,1/9/90,1/9/95,0.4/0/30,0.4/0/40,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/30,0.2/0/40,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/30,0.1/0/40,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/30,0.05/0/40,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.8838383838383839,0.8535353535353535,0.8282828282828283,0.7474747474747475,0.6818181818181818,0.6464646464646465,0.5656565656565656,0.8838383838383839,0.8535353535353535,0.8282828282828283,0.7474747474747475,0.6818181818181818,0.6464646464646465,0.5656565656565656,0.8838383838383839,0.8535353535353535,0.8282828282828283,0.7474747474747475,0.6818181818181818,0.6464646464646465,0.5656565656565656,0.8838383838383839,0.8535353535353535,0.8282828282828283,0.7474747474747475,0.6818181818181818,0.6464646464646465,0.5656565656565656,0.8838383838383839,0.8535353535353535,0.8282828282828283,0.7474747474747475,0.6818181818181818,0.6464646464646465,0.5656565656565656,0.8838383838383839,0.8535353535353535,0.8282828282828283,0.7474747474747475,0.6818181818181818,0.6464646464646465,0.5656565656565656,0.8838383838383839,0.8535353535353535,0.8282828282828283,0.7474747474747475,0.6818181818181818,0.6464646464646465,0.5656565656565656,0.8838383838383839,0.8535353535353535,0.8282828282828283,0.7474747474747475,0.6818181818181818,0.6464646464646465,0.5656565656565656,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856
"recall, A chirp",0.7246376811594203,0.6376811594202898,0.6086956521739131,0.42028985507246375,0.3333333333333333,0.2898550724637681,0.18840579710144928,0.7246376811594203,0.6376811594202898,0.6086956521739131,0.42028985507246375,0.3333333333333333,0.2898550724637681,0.18840579710144928,0.7246376811594203,0.6376811594202898,0.6086956521739131,0.42028985507246375,0.3333333333333333,0.2898550724637681,0.18840579710144928,0.7246376811594203,0.6376811594202898,0.6086956521739131,0.42028985507246375,0.3333333333333333,0.2898550724637681,0.18840579710144928,0.7246376811594203,0.6376811594202898,0.6086956521739131,0.42028985507246375,0.3333333333333333,0.2898550724637681,0.18840579710144928,0.7246376811594203,0.6376811594202898,0.6086956521739131,0.42028985507246375,0.3333333333333333,0.2898550724637681,0.18840579710144928,0.7246376811594203,0.6376811594202898,0.6086956521739131,0.42028985507246375,0.3333333333333333,0.2898550724637681,0.18840579710144928,0.7246376811594203,0.6376811594202898,0.6086956521739131,0.42028985507246375,0.3333333333333333,0.2898550724637681,0.18840579710144928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"recall, B chirp",0.9827586206896551,0.9827586206896551,0.9482758620689655,0.9137931034482759,0.8275862068965517,0.8103448275862069,0.6896551724137931,0.9827586206896551,0.9827586206896551,0.9482758620689655,0.9137931034482759,0.8275862068965517,0.8103448275862069,0.6896551724137931,0.9827586206896551,0.9827586206896551,0.9482758620689655,0.9137931034482759,0.8275862068965517,0.8103448275862069,0.6896551724137931,0.9827586206896551,0.9827586206896551,0.9482758620689655,0.9137931034482759,0.8275862068965517,0.8103448275862069,0.6896551724137931,0.9827586206896551,0.9827586206896551,0.9482758620689655,0.9137931034482759,0.8275862068965517,0.8103448275862069,0.6896551724137931,0.9827586206896551,0.9827586206896551,0.9482758620689655,0.9137931034482759,0.8275862068965517,0.8103448275862069,0.6896551724137931,0.9827586206896551,0.9827586206896551,0.9482758620689655,0.9137931034482759,0.8275862068965517,0.8103448275862069,0.6896551724137931,0.9827586206896551,0.9827586206896551,0.9482758620689655,0.9137931034482759,0.8275862068965517,0.8103448275862069,0.6896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A chirp correct,50,44,42,29,23,20,13,50,44,42,29,23,20,13,50,44,42,29,23,20,13,50,44,42,29,23,20,13,50,44,42,29,23,20,13,50,44,42,29,23,20,13,50,44,42,29,23,20,13,50,44,42,29,23,20,13,0,0,0,0,0,0,0
A chirp incorrect,19,25,27,40,46,49,56,19,25,27,40,46,49,56,19,25,27,40,46,49,56,19,25,27,40,46,49,56,19,25,27,40,46,49,56,19,25,27,40,46,49,56,19,25,27,40,46,49,56,19,25,27,40,46,49,56,69,69,69,69,69,69,69
B chirp correct,57,57,55,53,48,47,40,57,57,55,53,48,47,40,57,57,55,53,48,47,40,57,57,55,53,48,47,40,57,57,55,53,48,47,40,57,57,55,53,48,47,40,57,57,55,53,48,47,40,57,57,55,53,48,47,40,0,0,0,0,0,0,0
B chirp incorrect,1,1,3,5,10,11,18,1,1,3,5,10,11,18,1,1,3,5,10,11,18,1,1,3,5,10,11,18,1,1,3,5,10,11,18,1,1,3,5,10,11,18,1,1,3,5,10,11,18,1,1,3,5,10,11,18,58,58,58,58,58,58,58
confusion_matrix,"[[0.725 0.101 0.174 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.014 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.638 0.116 0.232 0.014]
 [0.    0.983 0.017 0.   ]
 [0.028 0.014 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.116 0.261 0.014]
 [0.    0.948 0.052 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.42  0.116 0.261 0.203]
 [0.    0.914 0.052 0.034]
 [0.028 0.028 0.93  0.014]
 [0.    0.    0.    0.   ]]","[[0.333 0.116 0.261 0.29 ]
 [0.    0.828 0.052 0.121]
 [0.028 0.028 0.901 0.042]
 [0.    0.    0.    0.   ]]","[[0.29  0.116 0.261 0.333]
 [0.    0.81  0.052 0.138]
 [0.028 0.028 0.859 0.085]
 [0.    0.    0.    0.   ]]","[[0.188 0.116 0.261 0.435]
 [0.    0.69  0.052 0.259]
 [0.028 0.028 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.725 0.101 0.174 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.014 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.638 0.116 0.232 0.014]
 [0.    0.983 0.017 0.   ]
 [0.028 0.014 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.116 0.261 0.014]
 [0.    0.948 0.052 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.42  0.116 0.261 0.203]
 [0.    0.914 0.052 0.034]
 [0.028 0.028 0.93  0.014]
 [0.    0.    0.    0.   ]]","[[0.333 0.116 0.261 0.29 ]
 [0.    0.828 0.052 0.121]
 [0.028 0.028 0.901 0.042]
 [0.    0.    0.    0.   ]]","[[0.29  0.116 0.261 0.333]
 [0.    0.81  0.052 0.138]
 [0.028 0.028 0.859 0.085]
 [0.    0.    0.    0.   ]]","[[0.188 0.116 0.261 0.435]
 [0.    0.69  0.052 0.259]
 [0.028 0.028 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.725 0.101 0.174 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.014 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.638 0.116 0.232 0.014]
 [0.    0.983 0.017 0.   ]
 [0.028 0.014 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.116 0.261 0.014]
 [0.    0.948 0.052 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.42  0.116 0.261 0.203]
 [0.    0.914 0.052 0.034]
 [0.028 0.028 0.93  0.014]
 [0.    0.    0.    0.   ]]","[[0.333 0.116 0.261 0.29 ]
 [0.    0.828 0.052 0.121]
 [0.028 0.028 0.901 0.042]
 [0.    0.    0.    0.   ]]","[[0.29  0.116 0.261 0.333]
 [0.    0.81  0.052 0.138]
 [0.028 0.028 0.859 0.085]
 [0.    0.    0.    0.   ]]","[[0.188 0.116 0.261 0.435]
 [0.    0.69  0.052 0.259]
 [0.028 0.028 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.725 0.101 0.174 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.014 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.638 0.116 0.232 0.014]
 [0.    0.983 0.017 0.   ]
 [0.028 0.014 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.116 0.261 0.014]
 [0.    0.948 0.052 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.42  0.116 0.261 0.203]
 [0.    0.914 0.052 0.034]
 [0.028 0.028 0.93  0.014]
 [0.    0.    0.    0.   ]]","[[0.333 0.116 0.261 0.29 ]
 [0.    0.828 0.052 0.121]
 [0.028 0.028 0.901 0.042]
 [0.    0.    0.    0.   ]]","[[0.29  0.116 0.261 0.333]
 [0.    0.81  0.052 0.138]
 [0.028 0.028 0.859 0.085]
 [0.    0.    0.    0.   ]]","[[0.188 0.116 0.261 0.435]
 [0.    0.69  0.052 0.259]
 [0.028 0.028 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.725 0.101 0.174 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.014 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.638 0.116 0.232 0.014]
 [0.    0.983 0.017 0.   ]
 [0.028 0.014 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.116 0.261 0.014]
 [0.    0.948 0.052 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.42  0.116 0.261 0.203]
 [0.    0.914 0.052 0.034]
 [0.028 0.028 0.93  0.014]
 [0.    0.    0.    0.   ]]","[[0.333 0.116 0.261 0.29 ]
 [0.    0.828 0.052 0.121]
 [0.028 0.028 0.901 0.042]
 [0.    0.    0.    0.   ]]","[[0.29  0.116 0.261 0.333]
 [0.    0.81  0.052 0.138]
 [0.028 0.028 0.859 0.085]
 [0.    0.    0.    0.   ]]","[[0.188 0.116 0.261 0.435]
 [0.    0.69  0.052 0.259]
 [0.028 0.028 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.725 0.101 0.174 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.014 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.638 0.116 0.232 0.014]
 [0.    0.983 0.017 0.   ]
 [0.028 0.014 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.116 0.261 0.014]
 [0.    0.948 0.052 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.42  0.116 0.261 0.203]
 [0.    0.914 0.052 0.034]
 [0.028 0.028 0.93  0.014]
 [0.    0.    0.    0.   ]]","[[0.333 0.116 0.261 0.29 ]
 [0.    0.828 0.052 0.121]
 [0.028 0.028 0.901 0.042]
 [0.    0.    0.    0.   ]]","[[0.29  0.116 0.261 0.333]
 [0.    0.81  0.052 0.138]
 [0.028 0.028 0.859 0.085]
 [0.    0.    0.    0.   ]]","[[0.188 0.116 0.261 0.435]
 [0.    0.69  0.052 0.259]
 [0.028 0.028 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.725 0.101 0.174 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.014 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.638 0.116 0.232 0.014]
 [0.    0.983 0.017 0.   ]
 [0.028 0.014 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.116 0.261 0.014]
 [0.    0.948 0.052 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.42  0.116 0.261 0.203]
 [0.    0.914 0.052 0.034]
 [0.028 0.028 0.93  0.014]
 [0.    0.    0.    0.   ]]","[[0.333 0.116 0.261 0.29 ]
 [0.    0.828 0.052 0.121]
 [0.028 0.028 0.901 0.042]
 [0.    0.    0.    0.   ]]","[[0.29  0.116 0.261 0.333]
 [0.    0.81  0.052 0.138]
 [0.028 0.028 0.859 0.085]
 [0.    0.    0.    0.   ]]","[[0.188 0.116 0.261 0.435]
 [0.    0.69  0.052 0.259]
 [0.028 0.028 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.725 0.101 0.174 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.014 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.638 0.116 0.232 0.014]
 [0.    0.983 0.017 0.   ]
 [0.028 0.014 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.609 0.116 0.261 0.014]
 [0.    0.948 0.052 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.42  0.116 0.261 0.203]
 [0.    0.914 0.052 0.034]
 [0.028 0.028 0.93  0.014]
 [0.    0.    0.    0.   ]]","[[0.333 0.116 0.261 0.29 ]
 [0.    0.828 0.052 0.121]
 [0.028 0.028 0.901 0.042]
 [0.    0.    0.    0.   ]]","[[0.29  0.116 0.261 0.333]
 [0.    0.81  0.052 0.138]
 [0.028 0.028 0.859 0.085]
 [0.    0.    0.    0.   ]]","[[0.188 0.116 0.261 0.435]
 [0.    0.69  0.052 0.259]
 [0.028 0.028 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]"
confusion_matrix_nonnorm,"[[50  7 12  0]
 [ 0 57  1  0]
 [ 2  1 68  0]
 [ 0  0  0  0]]","[[44  8 16  1]
 [ 0 57  1  0]
 [ 2  1 68  0]
 [ 0  0  0  0]]","[[42  8 18  1]
 [ 0 55  3  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[29  8 18 14]
 [ 0 53  3  2]
 [ 2  2 66  1]
 [ 0  0  0  0]]","[[23  8 18 20]
 [ 0 48  3  7]
 [ 2  2 64  3]
 [ 0  0  0  0]]","[[20  8 18 23]
 [ 0 47  3  8]
 [ 2  2 61  6]
 [ 0  0  0  0]]","[[13  8 18 30]
 [ 0 40  3 15]
 [ 2  2 59  8]
 [ 0  0  0  0]]","[[50  7 12  0]
 [ 0 57  1  0]
 [ 2  1 68  0]
 [ 0  0  0  0]]","[[44  8 16  1]
 [ 0 57  1  0]
 [ 2  1 68  0]
 [ 0  0  0  0]]","[[42  8 18  1]
 [ 0 55  3  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[29  8 18 14]
 [ 0 53  3  2]
 [ 2  2 66  1]
 [ 0  0  0  0]]","[[23  8 18 20]
 [ 0 48  3  7]
 [ 2  2 64  3]
 [ 0  0  0  0]]","[[20  8 18 23]
 [ 0 47  3  8]
 [ 2  2 61  6]
 [ 0  0  0  0]]","[[13  8 18 30]
 [ 0 40  3 15]
 [ 2  2 59  8]
 [ 0  0  0  0]]","[[50  7 12  0]
 [ 0 57  1  0]
 [ 2  1 68  0]
 [ 0  0  0  0]]","[[44  8 16  1]
 [ 0 57  1  0]
 [ 2  1 68  0]
 [ 0  0  0  0]]","[[42  8 18  1]
 [ 0 55  3  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[29  8 18 14]
 [ 0 53  3  2]
 [ 2  2 66  1]
 [ 0  0  0  0]]","[[23  8 18 20]
 [ 0 48  3  7]
 [ 2  2 64  3]
 [ 0  0  0  0]]","[[20  8 18 23]
 [ 0 47  3  8]
 [ 2  2 61  6]
 [ 0  0  0  0]]","[[13  8 18 30]
 [ 0 40  3 15]
 [ 2  2 59  8]
 [ 0  0  0  0]]","[[50  7 12  0]
 [ 0 57  1  0]
 [ 2  1 68  0]
 [ 0  0  0  0]]","[[44  8 16  1]
 [ 0 57  1  0]
 [ 2  1 68  0]
 [ 0  0  0  0]]","[[42  8 18  1]
 [ 0 55  3  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[29  8 18 14]
 [ 0 53  3  2]
 [ 2  2 66  1]
 [ 0  0  0  0]]","[[23  8 18 20]
 [ 0 48  3  7]
 [ 2  2 64  3]
 [ 0  0  0  0]]","[[20  8 18 23]
 [ 0 47  3  8]
 [ 2  2 61  6]
 [ 0  0  0  0]]","[[13  8 18 30]
 [ 0 40  3 15]
 [ 2  2 59  8]
 [ 0  0  0  0]]","[[50  7 12  0]
 [ 0 57  1  0]
 [ 2  1 68  0]
 [ 0  0  0  0]]","[[44  8 16  1]
 [ 0 57  1  0]
 [ 2  1 68  0]
 [ 0  0  0  0]]","[[42  8 18  1]
 [ 0 55  3  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[29  8 18 14]
 [ 0 53  3  2]
 [ 2  2 66  1]
 [ 0  0  0  0]]","[[23  8 18 20]
 [ 0 48  3  7]
 [ 2  2 64  3]
 [ 0  0  0  0]]","[[20  8 18 23]
 [ 0 47  3  8]
 [ 2  2 61  6]
 [ 0  0  0  0]]","[[13  8 18 30]
 [ 0 40  3 15]
 [ 2  2 59  8]
 [ 0  0  0  0]]","[[50  7 12  0]
 [ 0 57  1  0]
 [ 2  1 68  0]
 [ 0  0  0  0]]","[[44  8 16  1]
 [ 0 57  1  0]
 [ 2  1 68  0]
 [ 0  0  0  0]]","[[42  8 18  1]
 [ 0 55  3  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[29  8 18 14]
 [ 0 53  3  2]
 [ 2  2 66  1]
 [ 0  0  0  0]]","[[23  8 18 20]
 [ 0 48  3  7]
 [ 2  2 64  3]
 [ 0  0  0  0]]","[[20  8 18 23]
 [ 0 47  3  8]
 [ 2  2 61  6]
 [ 0  0  0  0]]","[[13  8 18 30]
 [ 0 40  3 15]
 [ 2  2 59  8]
 [ 0  0  0  0]]","[[50  7 12  0]
 [ 0 57  1  0]
 [ 2  1 68  0]
 [ 0  0  0  0]]","[[44  8 16  1]
 [ 0 57  1  0]
 [ 2  1 68  0]
 [ 0  0  0  0]]","[[42  8 18  1]
 [ 0 55  3  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[29  8 18 14]
 [ 0 53  3  2]
 [ 2  2 66  1]
 [ 0  0  0  0]]","[[23  8 18 20]
 [ 0 48  3  7]
 [ 2  2 64  3]
 [ 0  0  0  0]]","[[20  8 18 23]
 [ 0 47  3  8]
 [ 2  2 61  6]
 [ 0  0  0  0]]","[[13  8 18 30]
 [ 0 40  3 15]
 [ 2  2 59  8]
 [ 0  0  0  0]]","[[50  7 12  0]
 [ 0 57  1  0]
 [ 2  1 68  0]
 [ 0  0  0  0]]","[[44  8 16  1]
 [ 0 57  1  0]
 [ 2  1 68  0]
 [ 0  0  0  0]]","[[42  8 18  1]
 [ 0 55  3  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[29  8 18 14]
 [ 0 53  3  2]
 [ 2  2 66  1]
 [ 0  0  0  0]]","[[23  8 18 20]
 [ 0 48  3  7]
 [ 2  2 64  3]
 [ 0  0  0  0]]","[[20  8 18 23]
 [ 0 47  3  8]
 [ 2  2 61  6]
 [ 0  0  0  0]]","[[13  8 18 30]
 [ 0 40  3 15]
 [ 2  2 59  8]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]"
