,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/1/50,1/1/70,1/1/80,1/1/90,1/1/95,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.9456521739130435,0.875,0.8206521739130435,0.717391304347826,0.6467391304347826,0.9456521739130435,0.875,0.8206521739130435,0.717391304347826,0.6467391304347826,0.9456521739130435,0.875,0.8206521739130435,0.717391304347826,0.6467391304347826,0.9456521739130435,0.875,0.8206521739130435,0.717391304347826,0.6467391304347826,0.9456521739130435,0.875,0.8206521739130435,0.717391304347826,0.6467391304347826,0.9456521739130435,0.875,0.8206521739130435,0.717391304347826,0.6467391304347826
"recall, A chirp",0.9047619047619048,0.7619047619047619,0.6825396825396826,0.5079365079365079,0.4603174603174603,0.9047619047619048,0.7619047619047619,0.6825396825396826,0.5079365079365079,0.4603174603174603,0.9047619047619048,0.7619047619047619,0.6825396825396826,0.5079365079365079,0.4603174603174603,0.9047619047619048,0.7619047619047619,0.6825396825396826,0.5079365079365079,0.4603174603174603,0.9047619047619048,0.7619047619047619,0.6825396825396826,0.5079365079365079,0.4603174603174603,0.9047619047619048,0.7619047619047619,0.6825396825396826,0.5079365079365079,0.4603174603174603
"recall, B chirp",0.9642857142857143,0.9285714285714286,0.8928571428571429,0.8214285714285714,0.75,0.9642857142857143,0.9285714285714286,0.8928571428571429,0.8214285714285714,0.75,0.9642857142857143,0.9285714285714286,0.8928571428571429,0.8214285714285714,0.75,0.9642857142857143,0.9285714285714286,0.8928571428571429,0.8214285714285714,0.75,0.9642857142857143,0.9285714285714286,0.8928571428571429,0.8214285714285714,0.75,0.9642857142857143,0.9285714285714286,0.8928571428571429,0.8214285714285714,0.75
A chirp correct,57,48,43,32,29,57,48,43,32,29,57,48,43,32,29,57,48,43,32,29,57,48,43,32,29,57,48,43,32,29
A chirp incorrect,6,15,20,31,34,6,15,20,31,34,6,15,20,31,34,6,15,20,31,34,6,15,20,31,34,6,15,20,31,34
B chirp correct,54,52,50,46,42,54,52,50,46,42,54,52,50,46,42,54,52,50,46,42,54,52,50,46,42,54,52,50,46,42
B chirp incorrect,2,4,6,10,14,2,4,6,10,14,2,4,6,10,14,2,4,6,10,14,2,4,6,10,14,2,4,6,10,14
confusion_matrix,"[[0.905 0.    0.095 0.   ]
 [0.018 0.964 0.018 0.   ]
 [0.    0.031 0.969 0.   ]
 [0.    0.    0.    0.   ]]","[[0.762 0.    0.095 0.143]
 [0.018 0.929 0.018 0.036]
 [0.    0.031 0.938 0.031]
 [0.    0.    0.    0.   ]]","[[0.683 0.    0.095 0.222]
 [0.018 0.893 0.018 0.071]
 [0.    0.031 0.892 0.077]
 [0.    0.    0.    0.   ]]","[[0.508 0.    0.095 0.397]
 [0.018 0.821 0.018 0.143]
 [0.    0.031 0.831 0.138]
 [0.    0.    0.    0.   ]]","[[0.46  0.    0.095 0.444]
 [0.018 0.75  0.018 0.214]
 [0.    0.031 0.738 0.231]
 [0.    0.    0.    0.   ]]","[[0.905 0.    0.095 0.   ]
 [0.018 0.964 0.018 0.   ]
 [0.    0.031 0.969 0.   ]
 [0.    0.    0.    0.   ]]","[[0.762 0.    0.095 0.143]
 [0.018 0.929 0.018 0.036]
 [0.    0.031 0.938 0.031]
 [0.    0.    0.    0.   ]]","[[0.683 0.    0.095 0.222]
 [0.018 0.893 0.018 0.071]
 [0.    0.031 0.892 0.077]
 [0.    0.    0.    0.   ]]","[[0.508 0.    0.095 0.397]
 [0.018 0.821 0.018 0.143]
 [0.    0.031 0.831 0.138]
 [0.    0.    0.    0.   ]]","[[0.46  0.    0.095 0.444]
 [0.018 0.75  0.018 0.214]
 [0.    0.031 0.738 0.231]
 [0.    0.    0.    0.   ]]","[[0.905 0.    0.095 0.   ]
 [0.018 0.964 0.018 0.   ]
 [0.    0.031 0.969 0.   ]
 [0.    0.    0.    0.   ]]","[[0.762 0.    0.095 0.143]
 [0.018 0.929 0.018 0.036]
 [0.    0.031 0.938 0.031]
 [0.    0.    0.    0.   ]]","[[0.683 0.    0.095 0.222]
 [0.018 0.893 0.018 0.071]
 [0.    0.031 0.892 0.077]
 [0.    0.    0.    0.   ]]","[[0.508 0.    0.095 0.397]
 [0.018 0.821 0.018 0.143]
 [0.    0.031 0.831 0.138]
 [0.    0.    0.    0.   ]]","[[0.46  0.    0.095 0.444]
 [0.018 0.75  0.018 0.214]
 [0.    0.031 0.738 0.231]
 [0.    0.    0.    0.   ]]","[[0.905 0.    0.095 0.   ]
 [0.018 0.964 0.018 0.   ]
 [0.    0.031 0.969 0.   ]
 [0.    0.    0.    0.   ]]","[[0.762 0.    0.095 0.143]
 [0.018 0.929 0.018 0.036]
 [0.    0.031 0.938 0.031]
 [0.    0.    0.    0.   ]]","[[0.683 0.    0.095 0.222]
 [0.018 0.893 0.018 0.071]
 [0.    0.031 0.892 0.077]
 [0.    0.    0.    0.   ]]","[[0.508 0.    0.095 0.397]
 [0.018 0.821 0.018 0.143]
 [0.    0.031 0.831 0.138]
 [0.    0.    0.    0.   ]]","[[0.46  0.    0.095 0.444]
 [0.018 0.75  0.018 0.214]
 [0.    0.031 0.738 0.231]
 [0.    0.    0.    0.   ]]","[[0.905 0.    0.095 0.   ]
 [0.018 0.964 0.018 0.   ]
 [0.    0.031 0.969 0.   ]
 [0.    0.    0.    0.   ]]","[[0.762 0.    0.095 0.143]
 [0.018 0.929 0.018 0.036]
 [0.    0.031 0.938 0.031]
 [0.    0.    0.    0.   ]]","[[0.683 0.    0.095 0.222]
 [0.018 0.893 0.018 0.071]
 [0.    0.031 0.892 0.077]
 [0.    0.    0.    0.   ]]","[[0.508 0.    0.095 0.397]
 [0.018 0.821 0.018 0.143]
 [0.    0.031 0.831 0.138]
 [0.    0.    0.    0.   ]]","[[0.46  0.    0.095 0.444]
 [0.018 0.75  0.018 0.214]
 [0.    0.031 0.738 0.231]
 [0.    0.    0.    0.   ]]","[[0.905 0.    0.095 0.   ]
 [0.018 0.964 0.018 0.   ]
 [0.    0.031 0.969 0.   ]
 [0.    0.    0.    0.   ]]","[[0.762 0.    0.095 0.143]
 [0.018 0.929 0.018 0.036]
 [0.    0.031 0.938 0.031]
 [0.    0.    0.    0.   ]]","[[0.683 0.    0.095 0.222]
 [0.018 0.893 0.018 0.071]
 [0.    0.031 0.892 0.077]
 [0.    0.    0.    0.   ]]","[[0.508 0.    0.095 0.397]
 [0.018 0.821 0.018 0.143]
 [0.    0.031 0.831 0.138]
 [0.    0.    0.    0.   ]]","[[0.46  0.    0.095 0.444]
 [0.018 0.75  0.018 0.214]
 [0.    0.031 0.738 0.231]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[57  0  6  0]
 [ 1 54  1  0]
 [ 0  2 63  0]
 [ 0  0  0  0]]","[[48  0  6  9]
 [ 1 52  1  2]
 [ 0  2 61  2]
 [ 0  0  0  0]]","[[43  0  6 14]
 [ 1 50  1  4]
 [ 0  2 58  5]
 [ 0  0  0  0]]","[[32  0  6 25]
 [ 1 46  1  8]
 [ 0  2 54  9]
 [ 0  0  0  0]]","[[29  0  6 28]
 [ 1 42  1 12]
 [ 0  2 48 15]
 [ 0  0  0  0]]","[[57  0  6  0]
 [ 1 54  1  0]
 [ 0  2 63  0]
 [ 0  0  0  0]]","[[48  0  6  9]
 [ 1 52  1  2]
 [ 0  2 61  2]
 [ 0  0  0  0]]","[[43  0  6 14]
 [ 1 50  1  4]
 [ 0  2 58  5]
 [ 0  0  0  0]]","[[32  0  6 25]
 [ 1 46  1  8]
 [ 0  2 54  9]
 [ 0  0  0  0]]","[[29  0  6 28]
 [ 1 42  1 12]
 [ 0  2 48 15]
 [ 0  0  0  0]]","[[57  0  6  0]
 [ 1 54  1  0]
 [ 0  2 63  0]
 [ 0  0  0  0]]","[[48  0  6  9]
 [ 1 52  1  2]
 [ 0  2 61  2]
 [ 0  0  0  0]]","[[43  0  6 14]
 [ 1 50  1  4]
 [ 0  2 58  5]
 [ 0  0  0  0]]","[[32  0  6 25]
 [ 1 46  1  8]
 [ 0  2 54  9]
 [ 0  0  0  0]]","[[29  0  6 28]
 [ 1 42  1 12]
 [ 0  2 48 15]
 [ 0  0  0  0]]","[[57  0  6  0]
 [ 1 54  1  0]
 [ 0  2 63  0]
 [ 0  0  0  0]]","[[48  0  6  9]
 [ 1 52  1  2]
 [ 0  2 61  2]
 [ 0  0  0  0]]","[[43  0  6 14]
 [ 1 50  1  4]
 [ 0  2 58  5]
 [ 0  0  0  0]]","[[32  0  6 25]
 [ 1 46  1  8]
 [ 0  2 54  9]
 [ 0  0  0  0]]","[[29  0  6 28]
 [ 1 42  1 12]
 [ 0  2 48 15]
 [ 0  0  0  0]]","[[57  0  6  0]
 [ 1 54  1  0]
 [ 0  2 63  0]
 [ 0  0  0  0]]","[[48  0  6  9]
 [ 1 52  1  2]
 [ 0  2 61  2]
 [ 0  0  0  0]]","[[43  0  6 14]
 [ 1 50  1  4]
 [ 0  2 58  5]
 [ 0  0  0  0]]","[[32  0  6 25]
 [ 1 46  1  8]
 [ 0  2 54  9]
 [ 0  0  0  0]]","[[29  0  6 28]
 [ 1 42  1 12]
 [ 0  2 48 15]
 [ 0  0  0  0]]","[[57  0  6  0]
 [ 1 54  1  0]
 [ 0  2 63  0]
 [ 0  0  0  0]]","[[48  0  6  9]
 [ 1 52  1  2]
 [ 0  2 61  2]
 [ 0  0  0  0]]","[[43  0  6 14]
 [ 1 50  1  4]
 [ 0  2 58  5]
 [ 0  0  0  0]]","[[32  0  6 25]
 [ 1 46  1  8]
 [ 0  2 54  9]
 [ 0  0  0  0]]","[[29  0  6 28]
 [ 1 42  1 12]
 [ 0  2 48 15]
 [ 0  0  0  0]]"
