,1/0/30,1/0/40,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/6/30,1/6/40,1/6/50,1/6/70,1/6/80,1/6/90,1/6/95,1/7/30,1/7/40,1/7/50,1/7/70,1/7/80,1/7/90,1/7/95,1/8/30,1/8/40,1/8/50,1/8/70,1/8/80,1/8/90,1/8/95,1/9/30,1/9/40,1/9/50,1/9/70,1/9/80,1/9/90,1/9/95,0.4/0/30,0.4/0/40,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/30,0.2/0/40,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/30,0.1/0/40,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/30,0.05/0/40,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.9836956521739131,0.9728260869565217,0.9619565217391305,0.8967391304347826,0.842391304347826,0.7663043478260869,0.6793478260869565,0.9836956521739131,0.9728260869565217,0.9619565217391305,0.8967391304347826,0.842391304347826,0.7663043478260869,0.6793478260869565,0.9836956521739131,0.9728260869565217,0.9619565217391305,0.8967391304347826,0.842391304347826,0.7663043478260869,0.6793478260869565,0.9836956521739131,0.9728260869565217,0.9619565217391305,0.8967391304347826,0.842391304347826,0.7663043478260869,0.6793478260869565,0.9836956521739131,0.9728260869565217,0.9619565217391305,0.8967391304347826,0.842391304347826,0.7663043478260869,0.6793478260869565,0.9836956521739131,0.9728260869565217,0.9619565217391305,0.8967391304347826,0.842391304347826,0.7663043478260869,0.6793478260869565,0.9836956521739131,0.9728260869565217,0.9619565217391305,0.8967391304347826,0.842391304347826,0.7663043478260869,0.6793478260869565,0.9836956521739131,0.9728260869565217,0.9619565217391305,0.8967391304347826,0.842391304347826,0.7663043478260869,0.6793478260869565,0.9836956521739131,0.9728260869565217,0.9619565217391305,0.8967391304347826,0.842391304347826,0.7663043478260869,0.6793478260869565
"recall, A chirp",0.9841269841269841,0.9682539682539683,0.9523809523809523,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.4126984126984127,0.9841269841269841,0.9682539682539683,0.9523809523809523,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.4126984126984127,0.9841269841269841,0.9682539682539683,0.9523809523809523,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.4126984126984127,0.9841269841269841,0.9682539682539683,0.9523809523809523,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.4126984126984127,0.9841269841269841,0.9682539682539683,0.9523809523809523,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.4126984126984127,0.9841269841269841,0.9682539682539683,0.9523809523809523,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.4126984126984127,0.9841269841269841,0.9682539682539683,0.9523809523809523,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.4126984126984127,0.9841269841269841,0.9682539682539683,0.9523809523809523,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.4126984126984127,0.9841269841269841,0.9682539682539683,0.9523809523809523,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.4126984126984127
"recall, B chirp",1.0,1.0,0.9821428571428571,0.9642857142857143,0.9464285714285714,0.9285714285714286,0.875,1.0,1.0,0.9821428571428571,0.9642857142857143,0.9464285714285714,0.9285714285714286,0.875,1.0,1.0,0.9821428571428571,0.9642857142857143,0.9464285714285714,0.9285714285714286,0.875,1.0,1.0,0.9821428571428571,0.9642857142857143,0.9464285714285714,0.9285714285714286,0.875,1.0,1.0,0.9821428571428571,0.9642857142857143,0.9464285714285714,0.9285714285714286,0.875,1.0,1.0,0.9821428571428571,0.9642857142857143,0.9464285714285714,0.9285714285714286,0.875,1.0,1.0,0.9821428571428571,0.9642857142857143,0.9464285714285714,0.9285714285714286,0.875,1.0,1.0,0.9821428571428571,0.9642857142857143,0.9464285714285714,0.9285714285714286,0.875,1.0,1.0,0.9821428571428571,0.9642857142857143,0.9464285714285714,0.9285714285714286,0.875
A chirp correct,62,61,60,49,42,35,26,62,61,60,49,42,35,26,62,61,60,49,42,35,26,62,61,60,49,42,35,26,62,61,60,49,42,35,26,62,61,60,49,42,35,26,62,61,60,49,42,35,26,62,61,60,49,42,35,26,62,61,60,49,42,35,26
A chirp incorrect,1,2,3,14,21,28,37,1,2,3,14,21,28,37,1,2,3,14,21,28,37,1,2,3,14,21,28,37,1,2,3,14,21,28,37,1,2,3,14,21,28,37,1,2,3,14,21,28,37,1,2,3,14,21,28,37,1,2,3,14,21,28,37
B chirp correct,56,56,55,54,53,52,49,56,56,55,54,53,52,49,56,56,55,54,53,52,49,56,56,55,54,53,52,49,56,56,55,54,53,52,49,56,56,55,54,53,52,49,56,56,55,54,53,52,49,56,56,55,54,53,52,49,56,56,55,54,53,52,49
B chirp incorrect,0,0,1,2,3,4,7,0,0,1,2,3,4,7,0,0,1,2,3,4,7,0,0,1,2,3,4,7,0,0,1,2,3,4,7,0,0,1,2,3,4,7,0,0,1,2,3,4,7,0,0,1,2,3,4,7,0,0,1,2,3,4,7
confusion_matrix,"[[0.984 0.    0.016 0.   ]
 [0.    1.    0.    0.   ]
 [0.    0.031 0.969 0.   ]
 [0.    0.    0.    0.   ]]","[[0.968 0.    0.032 0.   ]
 [0.    1.    0.    0.   ]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.    0.982 0.    0.018]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.778 0.    0.048 0.175]
 [0.    0.964 0.    0.036]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.667 0.    0.048 0.286]
 [0.    0.946 0.    0.054]
 [0.015 0.031 0.923 0.031]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.    0.929 0.    0.071]
 [0.015 0.031 0.831 0.123]
 [0.    0.    0.    0.   ]]","[[0.413 0.    0.048 0.54 ]
 [0.    0.875 0.    0.125]
 [0.015 0.031 0.769 0.185]
 [0.    0.    0.    0.   ]]","[[0.984 0.    0.016 0.   ]
 [0.    1.    0.    0.   ]
 [0.    0.031 0.969 0.   ]
 [0.    0.    0.    0.   ]]","[[0.968 0.    0.032 0.   ]
 [0.    1.    0.    0.   ]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.    0.982 0.    0.018]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.778 0.    0.048 0.175]
 [0.    0.964 0.    0.036]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.667 0.    0.048 0.286]
 [0.    0.946 0.    0.054]
 [0.015 0.031 0.923 0.031]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.    0.929 0.    0.071]
 [0.015 0.031 0.831 0.123]
 [0.    0.    0.    0.   ]]","[[0.413 0.    0.048 0.54 ]
 [0.    0.875 0.    0.125]
 [0.015 0.031 0.769 0.185]
 [0.    0.    0.    0.   ]]","[[0.984 0.    0.016 0.   ]
 [0.    1.    0.    0.   ]
 [0.    0.031 0.969 0.   ]
 [0.    0.    0.    0.   ]]","[[0.968 0.    0.032 0.   ]
 [0.    1.    0.    0.   ]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.    0.982 0.    0.018]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.778 0.    0.048 0.175]
 [0.    0.964 0.    0.036]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.667 0.    0.048 0.286]
 [0.    0.946 0.    0.054]
 [0.015 0.031 0.923 0.031]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.    0.929 0.    0.071]
 [0.015 0.031 0.831 0.123]
 [0.    0.    0.    0.   ]]","[[0.413 0.    0.048 0.54 ]
 [0.    0.875 0.    0.125]
 [0.015 0.031 0.769 0.185]
 [0.    0.    0.    0.   ]]","[[0.984 0.    0.016 0.   ]
 [0.    1.    0.    0.   ]
 [0.    0.031 0.969 0.   ]
 [0.    0.    0.    0.   ]]","[[0.968 0.    0.032 0.   ]
 [0.    1.    0.    0.   ]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.    0.982 0.    0.018]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.778 0.    0.048 0.175]
 [0.    0.964 0.    0.036]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.667 0.    0.048 0.286]
 [0.    0.946 0.    0.054]
 [0.015 0.031 0.923 0.031]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.    0.929 0.    0.071]
 [0.015 0.031 0.831 0.123]
 [0.    0.    0.    0.   ]]","[[0.413 0.    0.048 0.54 ]
 [0.    0.875 0.    0.125]
 [0.015 0.031 0.769 0.185]
 [0.    0.    0.    0.   ]]","[[0.984 0.    0.016 0.   ]
 [0.    1.    0.    0.   ]
 [0.    0.031 0.969 0.   ]
 [0.    0.    0.    0.   ]]","[[0.968 0.    0.032 0.   ]
 [0.    1.    0.    0.   ]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.    0.982 0.    0.018]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.778 0.    0.048 0.175]
 [0.    0.964 0.    0.036]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.667 0.    0.048 0.286]
 [0.    0.946 0.    0.054]
 [0.015 0.031 0.923 0.031]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.    0.929 0.    0.071]
 [0.015 0.031 0.831 0.123]
 [0.    0.    0.    0.   ]]","[[0.413 0.    0.048 0.54 ]
 [0.    0.875 0.    0.125]
 [0.015 0.031 0.769 0.185]
 [0.    0.    0.    0.   ]]","[[0.984 0.    0.016 0.   ]
 [0.    1.    0.    0.   ]
 [0.    0.031 0.969 0.   ]
 [0.    0.    0.    0.   ]]","[[0.968 0.    0.032 0.   ]
 [0.    1.    0.    0.   ]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.    0.982 0.    0.018]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.778 0.    0.048 0.175]
 [0.    0.964 0.    0.036]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.667 0.    0.048 0.286]
 [0.    0.946 0.    0.054]
 [0.015 0.031 0.923 0.031]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.    0.929 0.    0.071]
 [0.015 0.031 0.831 0.123]
 [0.    0.    0.    0.   ]]","[[0.413 0.    0.048 0.54 ]
 [0.    0.875 0.    0.125]
 [0.015 0.031 0.769 0.185]
 [0.    0.    0.    0.   ]]","[[0.984 0.    0.016 0.   ]
 [0.    1.    0.    0.   ]
 [0.    0.031 0.969 0.   ]
 [0.    0.    0.    0.   ]]","[[0.968 0.    0.032 0.   ]
 [0.    1.    0.    0.   ]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.    0.982 0.    0.018]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.778 0.    0.048 0.175]
 [0.    0.964 0.    0.036]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.667 0.    0.048 0.286]
 [0.    0.946 0.    0.054]
 [0.015 0.031 0.923 0.031]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.    0.929 0.    0.071]
 [0.015 0.031 0.831 0.123]
 [0.    0.    0.    0.   ]]","[[0.413 0.    0.048 0.54 ]
 [0.    0.875 0.    0.125]
 [0.015 0.031 0.769 0.185]
 [0.    0.    0.    0.   ]]","[[0.984 0.    0.016 0.   ]
 [0.    1.    0.    0.   ]
 [0.    0.031 0.969 0.   ]
 [0.    0.    0.    0.   ]]","[[0.968 0.    0.032 0.   ]
 [0.    1.    0.    0.   ]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.    0.982 0.    0.018]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.778 0.    0.048 0.175]
 [0.    0.964 0.    0.036]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.667 0.    0.048 0.286]
 [0.    0.946 0.    0.054]
 [0.015 0.031 0.923 0.031]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.    0.929 0.    0.071]
 [0.015 0.031 0.831 0.123]
 [0.    0.    0.    0.   ]]","[[0.413 0.    0.048 0.54 ]
 [0.    0.875 0.    0.125]
 [0.015 0.031 0.769 0.185]
 [0.    0.    0.    0.   ]]","[[0.984 0.    0.016 0.   ]
 [0.    1.    0.    0.   ]
 [0.    0.031 0.969 0.   ]
 [0.    0.    0.    0.   ]]","[[0.968 0.    0.032 0.   ]
 [0.    1.    0.    0.   ]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.952 0.    0.048 0.   ]
 [0.    0.982 0.    0.018]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.778 0.    0.048 0.175]
 [0.    0.964 0.    0.036]
 [0.015 0.031 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.667 0.    0.048 0.286]
 [0.    0.946 0.    0.054]
 [0.015 0.031 0.923 0.031]
 [0.    0.    0.    0.   ]]","[[0.556 0.    0.048 0.397]
 [0.    0.929 0.    0.071]
 [0.015 0.031 0.831 0.123]
 [0.    0.    0.    0.   ]]","[[0.413 0.    0.048 0.54 ]
 [0.    0.875 0.    0.125]
 [0.015 0.031 0.769 0.185]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[62  0  1  0]
 [ 0 56  0  0]
 [ 0  2 63  0]
 [ 0  0  0  0]]","[[61  0  2  0]
 [ 0 56  0  0]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 0 55  0  1]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[49  0  3 11]
 [ 0 54  0  2]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[42  0  3 18]
 [ 0 53  0  3]
 [ 1  2 60  2]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 0 52  0  4]
 [ 1  2 54  8]
 [ 0  0  0  0]]","[[26  0  3 34]
 [ 0 49  0  7]
 [ 1  2 50 12]
 [ 0  0  0  0]]","[[62  0  1  0]
 [ 0 56  0  0]
 [ 0  2 63  0]
 [ 0  0  0  0]]","[[61  0  2  0]
 [ 0 56  0  0]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 0 55  0  1]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[49  0  3 11]
 [ 0 54  0  2]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[42  0  3 18]
 [ 0 53  0  3]
 [ 1  2 60  2]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 0 52  0  4]
 [ 1  2 54  8]
 [ 0  0  0  0]]","[[26  0  3 34]
 [ 0 49  0  7]
 [ 1  2 50 12]
 [ 0  0  0  0]]","[[62  0  1  0]
 [ 0 56  0  0]
 [ 0  2 63  0]
 [ 0  0  0  0]]","[[61  0  2  0]
 [ 0 56  0  0]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 0 55  0  1]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[49  0  3 11]
 [ 0 54  0  2]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[42  0  3 18]
 [ 0 53  0  3]
 [ 1  2 60  2]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 0 52  0  4]
 [ 1  2 54  8]
 [ 0  0  0  0]]","[[26  0  3 34]
 [ 0 49  0  7]
 [ 1  2 50 12]
 [ 0  0  0  0]]","[[62  0  1  0]
 [ 0 56  0  0]
 [ 0  2 63  0]
 [ 0  0  0  0]]","[[61  0  2  0]
 [ 0 56  0  0]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 0 55  0  1]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[49  0  3 11]
 [ 0 54  0  2]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[42  0  3 18]
 [ 0 53  0  3]
 [ 1  2 60  2]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 0 52  0  4]
 [ 1  2 54  8]
 [ 0  0  0  0]]","[[26  0  3 34]
 [ 0 49  0  7]
 [ 1  2 50 12]
 [ 0  0  0  0]]","[[62  0  1  0]
 [ 0 56  0  0]
 [ 0  2 63  0]
 [ 0  0  0  0]]","[[61  0  2  0]
 [ 0 56  0  0]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 0 55  0  1]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[49  0  3 11]
 [ 0 54  0  2]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[42  0  3 18]
 [ 0 53  0  3]
 [ 1  2 60  2]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 0 52  0  4]
 [ 1  2 54  8]
 [ 0  0  0  0]]","[[26  0  3 34]
 [ 0 49  0  7]
 [ 1  2 50 12]
 [ 0  0  0  0]]","[[62  0  1  0]
 [ 0 56  0  0]
 [ 0  2 63  0]
 [ 0  0  0  0]]","[[61  0  2  0]
 [ 0 56  0  0]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 0 55  0  1]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[49  0  3 11]
 [ 0 54  0  2]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[42  0  3 18]
 [ 0 53  0  3]
 [ 1  2 60  2]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 0 52  0  4]
 [ 1  2 54  8]
 [ 0  0  0  0]]","[[26  0  3 34]
 [ 0 49  0  7]
 [ 1  2 50 12]
 [ 0  0  0  0]]","[[62  0  1  0]
 [ 0 56  0  0]
 [ 0  2 63  0]
 [ 0  0  0  0]]","[[61  0  2  0]
 [ 0 56  0  0]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 0 55  0  1]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[49  0  3 11]
 [ 0 54  0  2]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[42  0  3 18]
 [ 0 53  0  3]
 [ 1  2 60  2]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 0 52  0  4]
 [ 1  2 54  8]
 [ 0  0  0  0]]","[[26  0  3 34]
 [ 0 49  0  7]
 [ 1  2 50 12]
 [ 0  0  0  0]]","[[62  0  1  0]
 [ 0 56  0  0]
 [ 0  2 63  0]
 [ 0  0  0  0]]","[[61  0  2  0]
 [ 0 56  0  0]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 0 55  0  1]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[49  0  3 11]
 [ 0 54  0  2]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[42  0  3 18]
 [ 0 53  0  3]
 [ 1  2 60  2]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 0 52  0  4]
 [ 1  2 54  8]
 [ 0  0  0  0]]","[[26  0  3 34]
 [ 0 49  0  7]
 [ 1  2 50 12]
 [ 0  0  0  0]]","[[62  0  1  0]
 [ 0 56  0  0]
 [ 0  2 63  0]
 [ 0  0  0  0]]","[[61  0  2  0]
 [ 0 56  0  0]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[60  0  3  0]
 [ 0 55  0  1]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[49  0  3 11]
 [ 0 54  0  2]
 [ 1  2 62  0]
 [ 0  0  0  0]]","[[42  0  3 18]
 [ 0 53  0  3]
 [ 1  2 60  2]
 [ 0  0  0  0]]","[[35  0  3 25]
 [ 0 52  0  4]
 [ 1  2 54  8]
 [ 0  0  0  0]]","[[26  0  3 34]
 [ 0 49  0  7]
 [ 1  2 50 12]
 [ 0  0  0  0]]"
