,1/0,1/15,1/20,1/25,1/28,1/29,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.8603966124875072,0.860265109673347,0.8503760980484982,0.8328336226395245,0.8154226500447109,0.7980116774498974,0.8544789858502972,0.8318342012519068,0.8091631160906844,0.7836515701436011
"recall, A chirp",0.5847566393523547,0.5841642807779642,0.5452660677263304,0.48524039885477344,0.42857142857142855,0.39747260341593443,0.5655049856846678,0.4841544081350578,0.41889623852305263,0.37614769473788134
"recall, B chirp",0.9630679517291649,0.9627439863934559,0.9573985583542561,0.9442779622580384,0.9260549121244027,0.895521179233822,0.9602332550417105,0.9420102049080749,0.9147161253745849,0.864582489673605
"precision, A chirp",0.9467710997442456,0.9497592295345104,0.96674251706634,0.9806464485235435,0.9920018281535649,0.9928483353884093,0.9556222889556223,0.9802118728762742,0.9925146198830409,0.9973821989528796
"precision, B chirp",0.8014423400957067,0.8016590234691124,0.8097129940406878,0.8192102304665543,0.8328962703962703,0.8365108185807233,0.804887983706721,0.8197772765717508,0.8333210359330038,0.8422755246962285
"IoU, A chirp",0.566144140699675,0.5666538977207431,0.5352262816164357,0.48063759045570115,0.42709563164108616,0.3963378617838157,0.551034151034151,0.47946812671098943,0.41757701013679754,0.37577670381694445
"IoU, B chirp",0.7775452821552344,0.777537938252224,0.7815537190082644,0.7814343163538874,0.7809575848644218,0.7621312379376896,0.7789238552000526,0.7803945249597424,0.7732438723812132,0.7441098564059668
confusion_matrix,"[[0.585 0.251 0.164 0.   ]
 [0.007 0.963 0.03  0.   ]
 [0.016 0.026 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.584 0.251 0.165 0.   ]
 [0.006 0.963 0.031 0.   ]
 [0.015 0.026 0.959 0.   ]
 [0.    0.    0.    0.   ]]","[[0.545 0.235 0.219 0.   ]
 [0.002 0.957 0.04  0.   ]
 [0.011 0.025 0.964 0.   ]
 [0.    0.    0.    0.   ]]","[[0.485 0.219 0.296 0.   ]
 [0.    0.944 0.056 0.   ]
 [0.006 0.023 0.971 0.   ]
 [0.    0.    0.    0.   ]]","[[0.429 0.199 0.373 0.   ]
 [0.    0.926 0.074 0.   ]
 [0.002 0.018 0.98  0.   ]
 [0.    0.    0.    0.   ]]","[[0.397 0.188 0.415 0.   ]
 [0.    0.896 0.104 0.   ]
 [0.002 0.017 0.982 0.   ]
 [0.    0.    0.    0.   ]]","[[0.566 0.244 0.19  0.   ]
 [0.002 0.96  0.038 0.   ]
 [0.015 0.026 0.959 0.   ]
 [0.    0.    0.    0.   ]]","[[0.484 0.217 0.298 0.   ]
 [0.    0.942 0.058 0.   ]
 [0.006 0.023 0.971 0.   ]
 [0.    0.    0.    0.   ]]","[[0.419 0.195 0.386 0.   ]
 [0.    0.915 0.085 0.   ]
 [0.002 0.018 0.98  0.   ]
 [0.    0.    0.    0.   ]]","[[0.376 0.175 0.449 0.   ]
 [0.    0.865 0.135 0.   ]
 [0.001 0.014 0.985 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 5923  2544  1662     0]
 [   89 11891   367     0]
 [  244   402 14900     0]
 [    0     0     0     0]]","[[ 5917  2539  1673     0]
 [   74 11887   386     0]
 [  239   402 14905     0]
 [    0     0     0     0]]","[[ 5523  2385  2221     0]
 [   26 11821   500     0]
 [  164   393 14989     0]
 [    0     0     0     0]]","[[ 4915  2216  2998     0]
 [    0 11659   688     0]
 [   97   357 15092     0]
 [    0     0     0     0]]","[[ 4341  2012  3776     0]
 [    0 11434   913     0]
 [   35   282 15229     0]
 [    0     0     0     0]]","[[ 4026  1903  4200     0]
 [    0 11057  1290     0]
 [   29   258 15259     0]
 [    0     0     0     0]]","[[ 5728  2472  1929     0]
 [   27 11856   464     0]
 [  239   402 14905     0]
 [    0     0     0     0]]","[[ 4904  2203  3022     0]
 [    0 11631   716     0]
 [   99   354 15093     0]
 [    0     0     0     0]]","[[ 4243  1974  3912     0]
 [    0 11294  1053     0]
 [   32   285 15229     0]
 [    0     0     0     0]]","[[ 3810  1774  4545     0]
 [    0 10675  1672     0]
 [   10   225 15311     0]
 [    0     0     0     0]]"
