,1/0/30,1/0/40,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/15/30,1/15/40,1/15/50,1/15/70,1/15/80,1/15/90,1/15/95,1/20/30,1/20/40,1/20/50,1/20/70,1/20/80,1/20/90,1/20/95,1/25/30,1/25/40,1/25/50,1/25/70,1/25/80,1/25/90,1/25/95,1/28/30,1/28/40,1/28/50,1/28/70,1/28/80,1/28/90,1/28/95,1/29/30,1/29/40,1/29/50,1/29/70,1/29/80,1/29/90,1/29/95,0.4/0/30,0.4/0/40,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/30,0.2/0/40,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/30,0.1/0/40,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/30,0.05/0/40,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.6515151515151515,0.6313131313131313,0.5909090909090909,0.5151515151515151,0.48484848484848486,0.42424242424242425,0.40404040404040403,0.6515151515151515,0.6313131313131313,0.5909090909090909,0.5151515151515151,0.48484848484848486,0.42424242424242425,0.40404040404040403,0.6515151515151515,0.6313131313131313,0.5909090909090909,0.5151515151515151,0.48484848484848486,0.42424242424242425,0.40404040404040403,0.6515151515151515,0.6313131313131313,0.5909090909090909,0.5151515151515151,0.48484848484848486,0.42424242424242425,0.40404040404040403,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.6515151515151515,0.6313131313131313,0.5909090909090909,0.5151515151515151,0.48484848484848486,0.42424242424242425,0.40404040404040403,0.6515151515151515,0.6313131313131313,0.5909090909090909,0.5151515151515151,0.48484848484848486,0.42424242424242425,0.40404040404040403,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856
"recall, A chirp",0.37681159420289856,0.34782608695652173,0.2753623188405797,0.2028985507246377,0.14492753623188406,0.043478260869565216,0.028985507246376812,0.37681159420289856,0.34782608695652173,0.2753623188405797,0.2028985507246377,0.14492753623188406,0.043478260869565216,0.028985507246376812,0.37681159420289856,0.34782608695652173,0.2753623188405797,0.2028985507246377,0.14492753623188406,0.043478260869565216,0.028985507246376812,0.37681159420289856,0.34782608695652173,0.2753623188405797,0.2028985507246377,0.14492753623188406,0.043478260869565216,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37681159420289856,0.34782608695652173,0.2753623188405797,0.2028985507246377,0.14492753623188406,0.043478260869565216,0.028985507246376812,0.37681159420289856,0.34782608695652173,0.2753623188405797,0.2028985507246377,0.14492753623188406,0.043478260869565216,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"recall, B chirp",0.5689655172413793,0.5344827586206896,0.4827586206896552,0.3103448275862069,0.27586206896551724,0.22413793103448276,0.1896551724137931,0.5689655172413793,0.5344827586206896,0.4827586206896552,0.3103448275862069,0.27586206896551724,0.22413793103448276,0.1896551724137931,0.5689655172413793,0.5344827586206896,0.4827586206896552,0.3103448275862069,0.27586206896551724,0.22413793103448276,0.1896551724137931,0.5689655172413793,0.5344827586206896,0.4827586206896552,0.3103448275862069,0.27586206896551724,0.22413793103448276,0.1896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5689655172413793,0.5344827586206896,0.4827586206896552,0.3103448275862069,0.27586206896551724,0.22413793103448276,0.1896551724137931,0.5689655172413793,0.5344827586206896,0.4827586206896552,0.3103448275862069,0.27586206896551724,0.22413793103448276,0.1896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A chirp correct,26,24,19,14,10,3,2,26,24,19,14,10,3,2,26,24,19,14,10,3,2,26,24,19,14,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,24,19,14,10,3,2,26,24,19,14,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A chirp incorrect,43,45,50,55,59,66,67,43,45,50,55,59,66,67,43,45,50,55,59,66,67,43,45,50,55,59,66,67,69,69,69,69,69,69,69,69,69,69,69,69,69,69,43,45,50,55,59,66,67,43,45,50,55,59,66,67,69,69,69,69,69,69,69,69,69,69,69,69,69,69
B chirp correct,33,31,28,18,16,13,11,33,31,28,18,16,13,11,33,31,28,18,16,13,11,33,31,28,18,16,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31,28,18,16,13,11,33,31,28,18,16,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B chirp incorrect,25,27,30,40,42,45,47,25,27,30,40,42,45,47,25,27,30,40,42,45,47,25,27,30,40,42,45,47,58,58,58,58,58,58,58,58,58,58,58,58,58,58,25,27,30,40,42,45,47,25,27,30,40,42,45,47,58,58,58,58,58,58,58,58,58,58,58,58,58,58
confusion_matrix,"[[0.377 0.029 0.594 0.   ]
 [0.    0.569 0.431 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.348 0.029 0.623 0.   ]
 [0.    0.534 0.466 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.275 0.043 0.681 0.   ]
 [0.    0.483 0.5   0.017]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.681 0.072]
 [0.    0.31  0.5   0.19 ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.145 0.043 0.681 0.13 ]
 [0.    0.276 0.5   0.224]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.043 0.043 0.681 0.232]
 [0.    0.224 0.5   0.276]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.029 0.043 0.681 0.246]
 [0.    0.19  0.5   0.31 ]
 [0.    0.014 0.944 0.042]
 [0.    0.    0.    0.   ]]","[[0.377 0.029 0.594 0.   ]
 [0.    0.569 0.431 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.348 0.029 0.623 0.   ]
 [0.    0.534 0.466 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.275 0.043 0.681 0.   ]
 [0.    0.483 0.5   0.017]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.681 0.072]
 [0.    0.31  0.5   0.19 ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.145 0.043 0.681 0.13 ]
 [0.    0.276 0.5   0.224]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.043 0.043 0.681 0.232]
 [0.    0.224 0.5   0.276]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.029 0.043 0.681 0.246]
 [0.    0.19  0.5   0.31 ]
 [0.    0.014 0.944 0.042]
 [0.    0.    0.    0.   ]]","[[0.377 0.029 0.594 0.   ]
 [0.    0.569 0.431 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.348 0.029 0.623 0.   ]
 [0.    0.534 0.466 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.275 0.043 0.681 0.   ]
 [0.    0.483 0.5   0.017]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.681 0.072]
 [0.    0.31  0.5   0.19 ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.145 0.043 0.681 0.13 ]
 [0.    0.276 0.5   0.224]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.043 0.043 0.681 0.232]
 [0.    0.224 0.5   0.276]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.029 0.043 0.681 0.246]
 [0.    0.19  0.5   0.31 ]
 [0.    0.014 0.944 0.042]
 [0.    0.    0.    0.   ]]","[[0.377 0.029 0.594 0.   ]
 [0.    0.569 0.431 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.348 0.029 0.623 0.   ]
 [0.    0.534 0.466 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.275 0.043 0.681 0.   ]
 [0.    0.483 0.5   0.017]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.681 0.072]
 [0.    0.31  0.5   0.19 ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.145 0.043 0.681 0.13 ]
 [0.    0.276 0.5   0.224]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.043 0.043 0.681 0.232]
 [0.    0.224 0.5   0.276]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.029 0.043 0.681 0.246]
 [0.    0.19  0.5   0.31 ]
 [0.    0.014 0.944 0.042]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0.377 0.029 0.594 0.   ]
 [0.    0.569 0.431 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.348 0.029 0.623 0.   ]
 [0.    0.534 0.466 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.275 0.043 0.681 0.   ]
 [0.    0.483 0.5   0.017]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.681 0.072]
 [0.    0.31  0.5   0.19 ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.145 0.043 0.681 0.13 ]
 [0.    0.276 0.5   0.224]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.043 0.043 0.681 0.232]
 [0.    0.224 0.5   0.276]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.029 0.043 0.681 0.246]
 [0.    0.19  0.5   0.31 ]
 [0.    0.014 0.944 0.042]
 [0.    0.    0.    0.   ]]","[[0.377 0.029 0.594 0.   ]
 [0.    0.569 0.431 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.348 0.029 0.623 0.   ]
 [0.    0.534 0.466 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.275 0.043 0.681 0.   ]
 [0.    0.483 0.5   0.017]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.681 0.072]
 [0.    0.31  0.5   0.19 ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.145 0.043 0.681 0.13 ]
 [0.    0.276 0.5   0.224]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.043 0.043 0.681 0.232]
 [0.    0.224 0.5   0.276]
 [0.    0.014 0.958 0.028]
 [0.    0.    0.    0.   ]]","[[0.029 0.043 0.681 0.246]
 [0.    0.19  0.5   0.31 ]
 [0.    0.014 0.944 0.042]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]"
confusion_matrix_nonnorm,"[[26  2 41  0]
 [ 0 33 25  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[24  2 43  0]
 [ 0 31 27  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[19  3 47  0]
 [ 0 28 29  1]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[14  3 47  5]
 [ 0 18 29 11]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[10  3 47  9]
 [ 0 16 29 13]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 3  3 47 16]
 [ 0 13 29 16]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[ 2  3 47 17]
 [ 0 11 29 18]
 [ 0  1 67  3]
 [ 0  0  0  0]]","[[26  2 41  0]
 [ 0 33 25  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[24  2 43  0]
 [ 0 31 27  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[19  3 47  0]
 [ 0 28 29  1]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[14  3 47  5]
 [ 0 18 29 11]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[10  3 47  9]
 [ 0 16 29 13]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 3  3 47 16]
 [ 0 13 29 16]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[ 2  3 47 17]
 [ 0 11 29 18]
 [ 0  1 67  3]
 [ 0  0  0  0]]","[[26  2 41  0]
 [ 0 33 25  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[24  2 43  0]
 [ 0 31 27  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[19  3 47  0]
 [ 0 28 29  1]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[14  3 47  5]
 [ 0 18 29 11]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[10  3 47  9]
 [ 0 16 29 13]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 3  3 47 16]
 [ 0 13 29 16]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[ 2  3 47 17]
 [ 0 11 29 18]
 [ 0  1 67  3]
 [ 0  0  0  0]]","[[26  2 41  0]
 [ 0 33 25  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[24  2 43  0]
 [ 0 31 27  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[19  3 47  0]
 [ 0 28 29  1]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[14  3 47  5]
 [ 0 18 29 11]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[10  3 47  9]
 [ 0 16 29 13]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 3  3 47 16]
 [ 0 13 29 16]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[ 2  3 47 17]
 [ 0 11 29 18]
 [ 0  1 67  3]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[26  2 41  0]
 [ 0 33 25  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[24  2 43  0]
 [ 0 31 27  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[19  3 47  0]
 [ 0 28 29  1]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[14  3 47  5]
 [ 0 18 29 11]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[10  3 47  9]
 [ 0 16 29 13]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 3  3 47 16]
 [ 0 13 29 16]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[ 2  3 47 17]
 [ 0 11 29 18]
 [ 0  1 67  3]
 [ 0  0  0  0]]","[[26  2 41  0]
 [ 0 33 25  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[24  2 43  0]
 [ 0 31 27  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[19  3 47  0]
 [ 0 28 29  1]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[14  3 47  5]
 [ 0 18 29 11]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[10  3 47  9]
 [ 0 16 29 13]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[ 3  3 47 16]
 [ 0 13 29 16]
 [ 0  1 68  2]
 [ 0  0  0  0]]","[[ 2  3 47 17]
 [ 0 11 29 18]
 [ 0  1 67  3]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]"
