,1/0/30,1/0/40,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/1/30,1/1/40,1/1/50,1/1/70,1/1/80,1/1/90,1/1/95,0.4/0/30,0.4/0/40,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/30,0.2/0/40,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/30,0.1/0/40,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/30,0.05/0/40,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.8939393939393939,0.8737373737373737,0.8585858585858586,0.797979797979798,0.7424242424242424,0.6868686868686869,0.6060606060606061,0.8939393939393939,0.8737373737373737,0.8585858585858586,0.797979797979798,0.7424242424242424,0.6868686868686869,0.6060606060606061,0.8939393939393939,0.8737373737373737,0.8585858585858586,0.797979797979798,0.7424242424242424,0.6868686868686869,0.6060606060606061,0.8939393939393939,0.8737373737373737,0.8585858585858586,0.797979797979798,0.7424242424242424,0.6868686868686869,0.6060606060606061,0.8939393939393939,0.8737373737373737,0.8585858585858586,0.797979797979798,0.7424242424242424,0.6868686868686869,0.6060606060606061,0.8939393939393939,0.8737373737373737,0.8585858585858586,0.797979797979798,0.7424242424242424,0.6868686868686869,0.6060606060606061
"recall, A chirp",0.7681159420289855,0.7246376811594203,0.6956521739130435,0.5797101449275363,0.4927536231884058,0.37681159420289856,0.34782608695652173,0.7681159420289855,0.7246376811594203,0.6956521739130435,0.5797101449275363,0.4927536231884058,0.37681159420289856,0.34782608695652173,0.7681159420289855,0.7246376811594203,0.6956521739130435,0.5797101449275363,0.4927536231884058,0.37681159420289856,0.34782608695652173,0.7681159420289855,0.7246376811594203,0.6956521739130435,0.5797101449275363,0.4927536231884058,0.37681159420289856,0.34782608695652173,0.7681159420289855,0.7246376811594203,0.6956521739130435,0.5797101449275363,0.4927536231884058,0.37681159420289856,0.34782608695652173,0.7681159420289855,0.7246376811594203,0.6956521739130435,0.5797101449275363,0.4927536231884058,0.37681159420289856,0.34782608695652173
"recall, B chirp",0.9655172413793104,0.9482758620689655,0.9482758620689655,0.9137931034482759,0.8793103448275862,0.8620689655172413,0.7413793103448276,0.9655172413793104,0.9482758620689655,0.9482758620689655,0.9137931034482759,0.8793103448275862,0.8620689655172413,0.7413793103448276,0.9655172413793104,0.9482758620689655,0.9482758620689655,0.9137931034482759,0.8793103448275862,0.8620689655172413,0.7413793103448276,0.9655172413793104,0.9482758620689655,0.9482758620689655,0.9137931034482759,0.8793103448275862,0.8620689655172413,0.7413793103448276,0.9655172413793104,0.9482758620689655,0.9482758620689655,0.9137931034482759,0.8793103448275862,0.8620689655172413,0.7413793103448276,0.9655172413793104,0.9482758620689655,0.9482758620689655,0.9137931034482759,0.8793103448275862,0.8620689655172413,0.7413793103448276
A chirp correct,53,50,48,40,34,26,24,53,50,48,40,34,26,24,53,50,48,40,34,26,24,53,50,48,40,34,26,24,53,50,48,40,34,26,24,53,50,48,40,34,26,24
A chirp incorrect,16,19,21,29,35,43,45,16,19,21,29,35,43,45,16,19,21,29,35,43,45,16,19,21,29,35,43,45,16,19,21,29,35,43,45,16,19,21,29,35,43,45
B chirp correct,56,55,55,53,51,50,43,56,55,55,53,51,50,43,56,55,55,53,51,50,43,56,55,55,53,51,50,43,56,55,55,53,51,50,43,56,55,55,53,51,50,43
B chirp incorrect,2,3,3,5,7,8,15,2,3,3,5,7,8,15,2,3,3,5,7,8,15,2,3,3,5,7,8,15,2,3,3,5,7,8,15,2,3,3,5,7,8,15
confusion_matrix,"[[0.768 0.188 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.725 0.217 0.043 0.014]
 [0.017 0.948 0.034 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.696 0.217 0.058 0.029]
 [0.017 0.948 0.034 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.217 0.058 0.145]
 [0.017 0.914 0.034 0.034]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.493 0.217 0.058 0.232]
 [0.017 0.879 0.034 0.069]
 [0.014 0.042 0.873 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.377 0.217 0.058 0.348]
 [0.017 0.862 0.034 0.086]
 [0.014 0.042 0.845 0.099]
 [0.    0.    0.    0.   ]]","[[0.348 0.217 0.058 0.377]
 [0.017 0.741 0.034 0.207]
 [0.014 0.042 0.746 0.197]
 [0.    0.    0.    0.   ]]","[[0.768 0.188 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.725 0.217 0.043 0.014]
 [0.017 0.948 0.034 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.696 0.217 0.058 0.029]
 [0.017 0.948 0.034 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.217 0.058 0.145]
 [0.017 0.914 0.034 0.034]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.493 0.217 0.058 0.232]
 [0.017 0.879 0.034 0.069]
 [0.014 0.042 0.873 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.377 0.217 0.058 0.348]
 [0.017 0.862 0.034 0.086]
 [0.014 0.042 0.845 0.099]
 [0.    0.    0.    0.   ]]","[[0.348 0.217 0.058 0.377]
 [0.017 0.741 0.034 0.207]
 [0.014 0.042 0.746 0.197]
 [0.    0.    0.    0.   ]]","[[0.768 0.188 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.725 0.217 0.043 0.014]
 [0.017 0.948 0.034 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.696 0.217 0.058 0.029]
 [0.017 0.948 0.034 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.217 0.058 0.145]
 [0.017 0.914 0.034 0.034]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.493 0.217 0.058 0.232]
 [0.017 0.879 0.034 0.069]
 [0.014 0.042 0.873 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.377 0.217 0.058 0.348]
 [0.017 0.862 0.034 0.086]
 [0.014 0.042 0.845 0.099]
 [0.    0.    0.    0.   ]]","[[0.348 0.217 0.058 0.377]
 [0.017 0.741 0.034 0.207]
 [0.014 0.042 0.746 0.197]
 [0.    0.    0.    0.   ]]","[[0.768 0.188 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.725 0.217 0.043 0.014]
 [0.017 0.948 0.034 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.696 0.217 0.058 0.029]
 [0.017 0.948 0.034 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.217 0.058 0.145]
 [0.017 0.914 0.034 0.034]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.493 0.217 0.058 0.232]
 [0.017 0.879 0.034 0.069]
 [0.014 0.042 0.873 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.377 0.217 0.058 0.348]
 [0.017 0.862 0.034 0.086]
 [0.014 0.042 0.845 0.099]
 [0.    0.    0.    0.   ]]","[[0.348 0.217 0.058 0.377]
 [0.017 0.741 0.034 0.207]
 [0.014 0.042 0.746 0.197]
 [0.    0.    0.    0.   ]]","[[0.768 0.188 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.725 0.217 0.043 0.014]
 [0.017 0.948 0.034 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.696 0.217 0.058 0.029]
 [0.017 0.948 0.034 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.217 0.058 0.145]
 [0.017 0.914 0.034 0.034]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.493 0.217 0.058 0.232]
 [0.017 0.879 0.034 0.069]
 [0.014 0.042 0.873 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.377 0.217 0.058 0.348]
 [0.017 0.862 0.034 0.086]
 [0.014 0.042 0.845 0.099]
 [0.    0.    0.    0.   ]]","[[0.348 0.217 0.058 0.377]
 [0.017 0.741 0.034 0.207]
 [0.014 0.042 0.746 0.197]
 [0.    0.    0.    0.   ]]","[[0.768 0.188 0.043 0.   ]
 [0.017 0.966 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.725 0.217 0.043 0.014]
 [0.017 0.948 0.034 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.696 0.217 0.058 0.029]
 [0.017 0.948 0.034 0.   ]
 [0.014 0.042 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.217 0.058 0.145]
 [0.017 0.914 0.034 0.034]
 [0.014 0.042 0.915 0.028]
 [0.    0.    0.    0.   ]]","[[0.493 0.217 0.058 0.232]
 [0.017 0.879 0.034 0.069]
 [0.014 0.042 0.873 0.07 ]
 [0.    0.    0.    0.   ]]","[[0.377 0.217 0.058 0.348]
 [0.017 0.862 0.034 0.086]
 [0.014 0.042 0.845 0.099]
 [0.    0.    0.    0.   ]]","[[0.348 0.217 0.058 0.377]
 [0.017 0.741 0.034 0.207]
 [0.014 0.042 0.746 0.197]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[53 13  3  0]
 [ 1 56  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[50 15  3  1]
 [ 1 55  2  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[48 15  4  2]
 [ 1 55  2  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[40 15  4 10]
 [ 1 53  2  2]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[34 15  4 16]
 [ 1 51  2  4]
 [ 1  3 62  5]
 [ 0  0  0  0]]","[[26 15  4 24]
 [ 1 50  2  5]
 [ 1  3 60  7]
 [ 0  0  0  0]]","[[24 15  4 26]
 [ 1 43  2 12]
 [ 1  3 53 14]
 [ 0  0  0  0]]","[[53 13  3  0]
 [ 1 56  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[50 15  3  1]
 [ 1 55  2  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[48 15  4  2]
 [ 1 55  2  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[40 15  4 10]
 [ 1 53  2  2]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[34 15  4 16]
 [ 1 51  2  4]
 [ 1  3 62  5]
 [ 0  0  0  0]]","[[26 15  4 24]
 [ 1 50  2  5]
 [ 1  3 60  7]
 [ 0  0  0  0]]","[[24 15  4 26]
 [ 1 43  2 12]
 [ 1  3 53 14]
 [ 0  0  0  0]]","[[53 13  3  0]
 [ 1 56  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[50 15  3  1]
 [ 1 55  2  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[48 15  4  2]
 [ 1 55  2  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[40 15  4 10]
 [ 1 53  2  2]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[34 15  4 16]
 [ 1 51  2  4]
 [ 1  3 62  5]
 [ 0  0  0  0]]","[[26 15  4 24]
 [ 1 50  2  5]
 [ 1  3 60  7]
 [ 0  0  0  0]]","[[24 15  4 26]
 [ 1 43  2 12]
 [ 1  3 53 14]
 [ 0  0  0  0]]","[[53 13  3  0]
 [ 1 56  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[50 15  3  1]
 [ 1 55  2  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[48 15  4  2]
 [ 1 55  2  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[40 15  4 10]
 [ 1 53  2  2]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[34 15  4 16]
 [ 1 51  2  4]
 [ 1  3 62  5]
 [ 0  0  0  0]]","[[26 15  4 24]
 [ 1 50  2  5]
 [ 1  3 60  7]
 [ 0  0  0  0]]","[[24 15  4 26]
 [ 1 43  2 12]
 [ 1  3 53 14]
 [ 0  0  0  0]]","[[53 13  3  0]
 [ 1 56  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[50 15  3  1]
 [ 1 55  2  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[48 15  4  2]
 [ 1 55  2  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[40 15  4 10]
 [ 1 53  2  2]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[34 15  4 16]
 [ 1 51  2  4]
 [ 1  3 62  5]
 [ 0  0  0  0]]","[[26 15  4 24]
 [ 1 50  2  5]
 [ 1  3 60  7]
 [ 0  0  0  0]]","[[24 15  4 26]
 [ 1 43  2 12]
 [ 1  3 53 14]
 [ 0  0  0  0]]","[[53 13  3  0]
 [ 1 56  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[50 15  3  1]
 [ 1 55  2  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[48 15  4  2]
 [ 1 55  2  0]
 [ 1  3 67  0]
 [ 0  0  0  0]]","[[40 15  4 10]
 [ 1 53  2  2]
 [ 1  3 65  2]
 [ 0  0  0  0]]","[[34 15  4 16]
 [ 1 51  2  4]
 [ 1  3 62  5]
 [ 0  0  0  0]]","[[26 15  4 24]
 [ 1 50  2  5]
 [ 1  3 60  7]
 [ 0  0  0  0]]","[[24 15  4 26]
 [ 1 43  2 12]
 [ 1  3 53 14]
 [ 0  0  0  0]]"
