,1/0,1/1,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.84319604439535,0.84319604439535,0.84319604439535,0.8247330492872548,0.8038767029614434,0.777102729998422
"recall, A chirp",0.5515845591864942,0.5514858327574291,0.5515845591864942,0.536578141968605,0.5032086089446145,0.45295685655049855
"recall, B chirp",0.9436300315866202,0.9435490402526929,0.9436300315866202,0.8914716125374585,0.8408520288329149,0.7894225317890986
"precision, A chirp",0.9386760752688172,0.9386657704587464,0.9386760752688172,0.9471941443011502,0.9593450028232637,0.977209797657082
"precision, B chirp",0.7944224737488068,0.7945168110209371,0.7944224737488068,0.8187295447783398,0.8435164120896977,0.8554502369668247
"IoU, A chirp",0.5323994663617305,0.5323041738136077,0.5323994663617305,0.5209930981595092,0.4927017883035283,0.44822196170379053
"IoU, B chirp",0.7584298919411535,0.7584635416666666,0.7584298919411535,0.7445211038961039,0.7273873747635395,0.696512791196227
confusion_matrix,"[[0.552 0.252 0.196 0.   ]
 [0.008 0.944 0.048 0.   ]
 [0.017 0.029 0.953 0.   ]
 [0.    0.    0.    0.   ]]","[[0.551 0.252 0.196 0.   ]
 [0.008 0.944 0.048 0.   ]
 [0.017 0.029 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.552 0.252 0.196 0.   ]
 [0.008 0.944 0.048 0.   ]
 [0.017 0.029 0.953 0.   ]
 [0.    0.    0.    0.   ]]","[[0.537 0.201 0.262 0.   ]
 [0.006 0.891 0.103 0.   ]
 [0.015 0.026 0.959 0.   ]
 [0.    0.    0.    0.   ]]","[[0.503 0.161 0.336 0.   ]
 [0.004 0.841 0.155 0.   ]
 [0.011 0.019 0.97  0.   ]
 [0.    0.    0.    0.   ]]","[[0.453 0.137 0.41  0.   ]
 [0.002 0.789 0.208 0.   ]
 [0.005 0.017 0.979 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 5587  2557  1985     0]
 [   99 11651   597     0]
 [  266   458 14822     0]
 [    0     0     0     0]]","[[ 5586  2557  1986     0]
 [   99 11650   598     0]
 [  266   456 14824     0]
 [    0     0     0     0]]","[[ 5587  2557  1985     0]
 [   99 11651   597     0]
 [  266   458 14822     0]
 [    0     0     0     0]]","[[ 5435  2037  2657     0]
 [   73 11007  1267     0]
 [  230   400 14916     0]
 [    0     0     0     0]]","[[ 5097  1630  3402     0]
 [   52 10382  1913     0]
 [  164   296 15086     0]
 [    0     0     0     0]]","[[ 4588  1390  4151     0]
 [   30  9747  2570     0]
 [   77   257 15212     0]
 [    0     0     0     0]]"
