,1/0,1/6,1/7,1/8,1/9,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.851954131818421,0.8485350586502551,0.8418547156909157,0.8356740834253853,0.8233128188943243,0.8476934406396297,0.8291515438430382,0.8069538688127926,0.7783914575771922
"recall, A chirp",0.5534603613387303,0.5404284727021423,0.5161417711521374,0.49590285319379995,0.46233586731167936,0.5434889920031593,0.4819824266956264,0.4272879849935828,0.3730871754368644
"recall, B chirp",0.9647687697416376,0.9616101077184741,0.9562646796792743,0.9492184336276018,0.9350449501903296,0.9595043330363651,0.9420911962420021,0.9092897060014579,0.8525147809184417
"precision, A chirp",0.9524294937138974,0.9633931714185147,0.9690454124189064,0.976287657920311,0.9805276381909548,0.9577244258872651,0.9717356687898089,0.9834128607134742,0.9957839262187088
"precision, B chirp",0.8012376404116499,0.8035327558202491,0.8068748718649628,0.8166109253065775,0.822000711997152,0.8038404125390148,0.8196744415474596,0.8291728212703102,0.8366584532231143
"IoU, A chirp",0.538572389278509,0.5295540292154397,0.5077700077700078,0.49000097551458394,0.45812952455488165,0.5307558812186657,0.47531885892318176,0.4242305430307783,0.3724987678659438
"IoU, B chirp",0.7784603319827473,0.7785573770491804,0.7781585711461149,0.7824287335603177,0.7775981679800633,0.7774642341514635,0.780356903260432,0.7658253751705321,0.7308707124010554
confusion_matrix,"[[0.553 0.249 0.197 0.   ]
 [0.003 0.965 0.032 0.   ]
 [0.016 0.028 0.957 0.   ]
 [0.    0.    0.    0.   ]]","[[0.54  0.245 0.215 0.   ]
 [0.    0.962 0.038 0.   ]
 [0.013 0.027 0.959 0.   ]
 [0.    0.    0.    0.   ]]","[[0.516 0.239 0.245 0.   ]
 [0.    0.956 0.044 0.   ]
 [0.011 0.026 0.963 0.   ]
 [0.    0.    0.    0.   ]]","[[0.496 0.221 0.283 0.   ]
 [0.    0.949 0.051 0.   ]
 [0.008 0.025 0.967 0.   ]
 [0.    0.    0.    0.   ]]","[[0.462 0.21  0.328 0.   ]
 [0.    0.935 0.065 0.   ]
 [0.006 0.024 0.97  0.   ]
 [0.    0.    0.    0.   ]]","[[0.543 0.244 0.213 0.   ]
 [0.    0.96  0.04  0.   ]
 [0.016 0.027 0.957 0.   ]
 [0.    0.    0.    0.   ]]","[[0.482 0.214 0.304 0.   ]
 [0.    0.942 0.058 0.   ]
 [0.009 0.025 0.966 0.   ]
 [0.    0.    0.    0.   ]]","[[0.427 0.194 0.379 0.   ]
 [0.    0.909 0.091 0.   ]
 [0.005 0.022 0.973 0.   ]
 [0.    0.    0.    0.   ]]","[[0.373 0.179 0.448 0.   ]
 [0.    0.853 0.147 0.   ]
 [0.001 0.015 0.984 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 5606  2527  1996     0]
 [   37 11912   398     0]
 [  243   428 14875     0]
 [    0     0     0     0]]","[[ 5474  2481  2174     0]
 [    0 11873   474     0]
 [  208   422 14916     0]
 [    0     0     0     0]]","[[ 5228  2421  2480     0]
 [    0 11807   540     0]
 [  167   405 14974     0]
 [    0     0     0     0]]","[[ 5023  2239  2867     0]
 [    0 11720   627     0]
 [  122   393 15031     0]
 [    0     0     0     0]]","[[ 4683  2123  3323     0]
 [    0 11545   802     0]
 [   93   377 15076     0]
 [    0     0     0     0]]","[[ 5505  2467  2157     0]
 [    0 11847   500     0]
 [  243   424 14879     0]
 [    0     0     0     0]]","[[ 4882  2167  3080     0]
 [    0 11632   715     0]
 [  142   392 15012     0]
 [    0     0     0     0]]","[[ 4328  1967  3834     0]
 [    0 11227  1120     0]
 [   73   346 15127     0]
 [    0     0     0     0]]","[[ 3779  1816  4534     0]
 [    0 10526  1821     0]
 [   16   239 15291     0]
 [    0     0     0     0]]"
