,1/0/30,1/0/40,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/6/30,1/6/40,1/6/50,1/6/70,1/6/80,1/6/90,1/6/95,1/7/30,1/7/40,1/7/50,1/7/70,1/7/80,1/7/90,1/7/95,1/8/30,1/8/40,1/8/50,1/8/70,1/8/80,1/8/90,1/8/95,1/9/30,1/9/40,1/9/50,1/9/70,1/9/80,1/9/90,1/9/95,0.4/0/30,0.4/0/40,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/30,0.2/0/40,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/30,0.1/0/40,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/30,0.05/0/40,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.8939393939393939,0.8787878787878788,0.8636363636363636,0.8131313131313131,0.7626262626262627,0.6868686868686869,0.6212121212121212,0.8939393939393939,0.8787878787878788,0.8636363636363636,0.8131313131313131,0.7626262626262627,0.6868686868686869,0.6212121212121212,0.8939393939393939,0.8787878787878788,0.8636363636363636,0.8131313131313131,0.7626262626262627,0.6868686868686869,0.6212121212121212,0.8939393939393939,0.8787878787878788,0.8636363636363636,0.8131313131313131,0.7626262626262627,0.6868686868686869,0.6212121212121212,0.8939393939393939,0.8787878787878788,0.8636363636363636,0.8131313131313131,0.7626262626262627,0.6868686868686869,0.6212121212121212,0.8939393939393939,0.8787878787878788,0.8636363636363636,0.8131313131313131,0.7626262626262627,0.6868686868686869,0.6212121212121212,0.8939393939393939,0.8787878787878788,0.8636363636363636,0.8131313131313131,0.7626262626262627,0.6868686868686869,0.6212121212121212,0.8939393939393939,0.8787878787878788,0.8636363636363636,0.8131313131313131,0.7626262626262627,0.6868686868686869,0.6212121212121212,0.8939393939393939,0.8787878787878788,0.8636363636363636,0.8131313131313131,0.7626262626262627,0.6868686868686869,0.6212121212121212
"recall, A chirp",0.7536231884057971,0.7101449275362319,0.6811594202898551,0.5652173913043478,0.4782608695652174,0.34782608695652173,0.30434782608695654,0.7536231884057971,0.7101449275362319,0.6811594202898551,0.5652173913043478,0.4782608695652174,0.34782608695652173,0.30434782608695654,0.7536231884057971,0.7101449275362319,0.6811594202898551,0.5652173913043478,0.4782608695652174,0.34782608695652173,0.30434782608695654,0.7536231884057971,0.7101449275362319,0.6811594202898551,0.5652173913043478,0.4782608695652174,0.34782608695652173,0.30434782608695654,0.7536231884057971,0.7101449275362319,0.6811594202898551,0.5652173913043478,0.4782608695652174,0.34782608695652173,0.30434782608695654,0.7536231884057971,0.7101449275362319,0.6811594202898551,0.5652173913043478,0.4782608695652174,0.34782608695652173,0.30434782608695654,0.7536231884057971,0.7101449275362319,0.6811594202898551,0.5652173913043478,0.4782608695652174,0.34782608695652173,0.30434782608695654,0.7536231884057971,0.7101449275362319,0.6811594202898551,0.5652173913043478,0.4782608695652174,0.34782608695652173,0.30434782608695654,0.7536231884057971,0.7101449275362319,0.6811594202898551,0.5652173913043478,0.4782608695652174,0.34782608695652173,0.30434782608695654
"recall, B chirp",0.9827586206896551,0.9827586206896551,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.9137931034482759,0.8103448275862069,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.9137931034482759,0.8103448275862069,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.9137931034482759,0.8103448275862069,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.9137931034482759,0.8103448275862069,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.9137931034482759,0.8103448275862069,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.9137931034482759,0.8103448275862069,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.9137931034482759,0.8103448275862069,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.9137931034482759,0.8103448275862069,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.9482758620689655,0.9310344827586207,0.9137931034482759,0.8103448275862069
A chirp correct,52,49,47,39,33,24,21,52,49,47,39,33,24,21,52,49,47,39,33,24,21,52,49,47,39,33,24,21,52,49,47,39,33,24,21,52,49,47,39,33,24,21,52,49,47,39,33,24,21,52,49,47,39,33,24,21,52,49,47,39,33,24,21
A chirp incorrect,17,20,22,30,36,45,48,17,20,22,30,36,45,48,17,20,22,30,36,45,48,17,20,22,30,36,45,48,17,20,22,30,36,45,48,17,20,22,30,36,45,48,17,20,22,30,36,45,48,17,20,22,30,36,45,48,17,20,22,30,36,45,48
B chirp correct,57,57,56,55,54,53,47,57,57,56,55,54,53,47,57,57,56,55,54,53,47,57,57,56,55,54,53,47,57,57,56,55,54,53,47,57,57,56,55,54,53,47,57,57,56,55,54,53,47,57,57,56,55,54,53,47,57,57,56,55,54,53,47
B chirp incorrect,1,1,2,3,4,5,11,1,1,2,3,4,5,11,1,1,2,3,4,5,11,1,1,2,3,4,5,11,1,1,2,3,4,5,11,1,1,2,3,4,5,11,1,1,2,3,4,5,11,1,1,2,3,4,5,11,1,1,2,3,4,5,11
confusion_matrix,"[[0.754 0.174 0.072 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.71  0.203 0.087 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.681 0.203 0.087 0.029]
 [0.    0.966 0.017 0.017]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.203 0.087 0.145]
 [0.    0.948 0.017 0.034]
 [0.014 0.028 0.944 0.014]
 [0.    0.    0.    0.   ]]","[[0.478 0.203 0.087 0.232]
 [0.    0.931 0.017 0.052]
 [0.014 0.028 0.901 0.056]
 [0.    0.    0.    0.   ]]","[[0.348 0.203 0.087 0.362]
 [0.    0.914 0.017 0.069]
 [0.014 0.028 0.831 0.127]
 [0.    0.    0.    0.   ]]","[[0.304 0.203 0.087 0.406]
 [0.    0.81  0.017 0.172]
 [0.014 0.028 0.775 0.183]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.71  0.203 0.087 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.681 0.203 0.087 0.029]
 [0.    0.966 0.017 0.017]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.203 0.087 0.145]
 [0.    0.948 0.017 0.034]
 [0.014 0.028 0.944 0.014]
 [0.    0.    0.    0.   ]]","[[0.478 0.203 0.087 0.232]
 [0.    0.931 0.017 0.052]
 [0.014 0.028 0.901 0.056]
 [0.    0.    0.    0.   ]]","[[0.348 0.203 0.087 0.362]
 [0.    0.914 0.017 0.069]
 [0.014 0.028 0.831 0.127]
 [0.    0.    0.    0.   ]]","[[0.304 0.203 0.087 0.406]
 [0.    0.81  0.017 0.172]
 [0.014 0.028 0.775 0.183]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.71  0.203 0.087 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.681 0.203 0.087 0.029]
 [0.    0.966 0.017 0.017]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.203 0.087 0.145]
 [0.    0.948 0.017 0.034]
 [0.014 0.028 0.944 0.014]
 [0.    0.    0.    0.   ]]","[[0.478 0.203 0.087 0.232]
 [0.    0.931 0.017 0.052]
 [0.014 0.028 0.901 0.056]
 [0.    0.    0.    0.   ]]","[[0.348 0.203 0.087 0.362]
 [0.    0.914 0.017 0.069]
 [0.014 0.028 0.831 0.127]
 [0.    0.    0.    0.   ]]","[[0.304 0.203 0.087 0.406]
 [0.    0.81  0.017 0.172]
 [0.014 0.028 0.775 0.183]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.71  0.203 0.087 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.681 0.203 0.087 0.029]
 [0.    0.966 0.017 0.017]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.203 0.087 0.145]
 [0.    0.948 0.017 0.034]
 [0.014 0.028 0.944 0.014]
 [0.    0.    0.    0.   ]]","[[0.478 0.203 0.087 0.232]
 [0.    0.931 0.017 0.052]
 [0.014 0.028 0.901 0.056]
 [0.    0.    0.    0.   ]]","[[0.348 0.203 0.087 0.362]
 [0.    0.914 0.017 0.069]
 [0.014 0.028 0.831 0.127]
 [0.    0.    0.    0.   ]]","[[0.304 0.203 0.087 0.406]
 [0.    0.81  0.017 0.172]
 [0.014 0.028 0.775 0.183]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.71  0.203 0.087 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.681 0.203 0.087 0.029]
 [0.    0.966 0.017 0.017]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.203 0.087 0.145]
 [0.    0.948 0.017 0.034]
 [0.014 0.028 0.944 0.014]
 [0.    0.    0.    0.   ]]","[[0.478 0.203 0.087 0.232]
 [0.    0.931 0.017 0.052]
 [0.014 0.028 0.901 0.056]
 [0.    0.    0.    0.   ]]","[[0.348 0.203 0.087 0.362]
 [0.    0.914 0.017 0.069]
 [0.014 0.028 0.831 0.127]
 [0.    0.    0.    0.   ]]","[[0.304 0.203 0.087 0.406]
 [0.    0.81  0.017 0.172]
 [0.014 0.028 0.775 0.183]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.71  0.203 0.087 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.681 0.203 0.087 0.029]
 [0.    0.966 0.017 0.017]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.203 0.087 0.145]
 [0.    0.948 0.017 0.034]
 [0.014 0.028 0.944 0.014]
 [0.    0.    0.    0.   ]]","[[0.478 0.203 0.087 0.232]
 [0.    0.931 0.017 0.052]
 [0.014 0.028 0.901 0.056]
 [0.    0.    0.    0.   ]]","[[0.348 0.203 0.087 0.362]
 [0.    0.914 0.017 0.069]
 [0.014 0.028 0.831 0.127]
 [0.    0.    0.    0.   ]]","[[0.304 0.203 0.087 0.406]
 [0.    0.81  0.017 0.172]
 [0.014 0.028 0.775 0.183]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.71  0.203 0.087 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.681 0.203 0.087 0.029]
 [0.    0.966 0.017 0.017]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.203 0.087 0.145]
 [0.    0.948 0.017 0.034]
 [0.014 0.028 0.944 0.014]
 [0.    0.    0.    0.   ]]","[[0.478 0.203 0.087 0.232]
 [0.    0.931 0.017 0.052]
 [0.014 0.028 0.901 0.056]
 [0.    0.    0.    0.   ]]","[[0.348 0.203 0.087 0.362]
 [0.    0.914 0.017 0.069]
 [0.014 0.028 0.831 0.127]
 [0.    0.    0.    0.   ]]","[[0.304 0.203 0.087 0.406]
 [0.    0.81  0.017 0.172]
 [0.014 0.028 0.775 0.183]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.71  0.203 0.087 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.681 0.203 0.087 0.029]
 [0.    0.966 0.017 0.017]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.203 0.087 0.145]
 [0.    0.948 0.017 0.034]
 [0.014 0.028 0.944 0.014]
 [0.    0.    0.    0.   ]]","[[0.478 0.203 0.087 0.232]
 [0.    0.931 0.017 0.052]
 [0.014 0.028 0.901 0.056]
 [0.    0.    0.    0.   ]]","[[0.348 0.203 0.087 0.362]
 [0.    0.914 0.017 0.069]
 [0.014 0.028 0.831 0.127]
 [0.    0.    0.    0.   ]]","[[0.304 0.203 0.087 0.406]
 [0.    0.81  0.017 0.172]
 [0.014 0.028 0.775 0.183]
 [0.    0.    0.    0.   ]]","[[0.754 0.174 0.072 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.71  0.203 0.087 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.681 0.203 0.087 0.029]
 [0.    0.966 0.017 0.017]
 [0.014 0.028 0.958 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.203 0.087 0.145]
 [0.    0.948 0.017 0.034]
 [0.014 0.028 0.944 0.014]
 [0.    0.    0.    0.   ]]","[[0.478 0.203 0.087 0.232]
 [0.    0.931 0.017 0.052]
 [0.014 0.028 0.901 0.056]
 [0.    0.    0.    0.   ]]","[[0.348 0.203 0.087 0.362]
 [0.    0.914 0.017 0.069]
 [0.014 0.028 0.831 0.127]
 [0.    0.    0.    0.   ]]","[[0.304 0.203 0.087 0.406]
 [0.    0.81  0.017 0.172]
 [0.014 0.028 0.775 0.183]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[52 12  5  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[49 14  6  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[47 14  6  2]
 [ 0 56  1  1]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[39 14  6 10]
 [ 0 55  1  2]
 [ 1  2 67  1]
 [ 0  0  0  0]]","[[33 14  6 16]
 [ 0 54  1  3]
 [ 1  2 64  4]
 [ 0  0  0  0]]","[[24 14  6 25]
 [ 0 53  1  4]
 [ 1  2 59  9]
 [ 0  0  0  0]]","[[21 14  6 28]
 [ 0 47  1 10]
 [ 1  2 55 13]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[49 14  6  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[47 14  6  2]
 [ 0 56  1  1]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[39 14  6 10]
 [ 0 55  1  2]
 [ 1  2 67  1]
 [ 0  0  0  0]]","[[33 14  6 16]
 [ 0 54  1  3]
 [ 1  2 64  4]
 [ 0  0  0  0]]","[[24 14  6 25]
 [ 0 53  1  4]
 [ 1  2 59  9]
 [ 0  0  0  0]]","[[21 14  6 28]
 [ 0 47  1 10]
 [ 1  2 55 13]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[49 14  6  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[47 14  6  2]
 [ 0 56  1  1]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[39 14  6 10]
 [ 0 55  1  2]
 [ 1  2 67  1]
 [ 0  0  0  0]]","[[33 14  6 16]
 [ 0 54  1  3]
 [ 1  2 64  4]
 [ 0  0  0  0]]","[[24 14  6 25]
 [ 0 53  1  4]
 [ 1  2 59  9]
 [ 0  0  0  0]]","[[21 14  6 28]
 [ 0 47  1 10]
 [ 1  2 55 13]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[49 14  6  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[47 14  6  2]
 [ 0 56  1  1]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[39 14  6 10]
 [ 0 55  1  2]
 [ 1  2 67  1]
 [ 0  0  0  0]]","[[33 14  6 16]
 [ 0 54  1  3]
 [ 1  2 64  4]
 [ 0  0  0  0]]","[[24 14  6 25]
 [ 0 53  1  4]
 [ 1  2 59  9]
 [ 0  0  0  0]]","[[21 14  6 28]
 [ 0 47  1 10]
 [ 1  2 55 13]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[49 14  6  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[47 14  6  2]
 [ 0 56  1  1]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[39 14  6 10]
 [ 0 55  1  2]
 [ 1  2 67  1]
 [ 0  0  0  0]]","[[33 14  6 16]
 [ 0 54  1  3]
 [ 1  2 64  4]
 [ 0  0  0  0]]","[[24 14  6 25]
 [ 0 53  1  4]
 [ 1  2 59  9]
 [ 0  0  0  0]]","[[21 14  6 28]
 [ 0 47  1 10]
 [ 1  2 55 13]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[49 14  6  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[47 14  6  2]
 [ 0 56  1  1]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[39 14  6 10]
 [ 0 55  1  2]
 [ 1  2 67  1]
 [ 0  0  0  0]]","[[33 14  6 16]
 [ 0 54  1  3]
 [ 1  2 64  4]
 [ 0  0  0  0]]","[[24 14  6 25]
 [ 0 53  1  4]
 [ 1  2 59  9]
 [ 0  0  0  0]]","[[21 14  6 28]
 [ 0 47  1 10]
 [ 1  2 55 13]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[49 14  6  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[47 14  6  2]
 [ 0 56  1  1]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[39 14  6 10]
 [ 0 55  1  2]
 [ 1  2 67  1]
 [ 0  0  0  0]]","[[33 14  6 16]
 [ 0 54  1  3]
 [ 1  2 64  4]
 [ 0  0  0  0]]","[[24 14  6 25]
 [ 0 53  1  4]
 [ 1  2 59  9]
 [ 0  0  0  0]]","[[21 14  6 28]
 [ 0 47  1 10]
 [ 1  2 55 13]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[49 14  6  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[47 14  6  2]
 [ 0 56  1  1]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[39 14  6 10]
 [ 0 55  1  2]
 [ 1  2 67  1]
 [ 0  0  0  0]]","[[33 14  6 16]
 [ 0 54  1  3]
 [ 1  2 64  4]
 [ 0  0  0  0]]","[[24 14  6 25]
 [ 0 53  1  4]
 [ 1  2 59  9]
 [ 0  0  0  0]]","[[21 14  6 28]
 [ 0 47  1 10]
 [ 1  2 55 13]
 [ 0  0  0  0]]","[[52 12  5  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[49 14  6  0]
 [ 0 57  1  0]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[47 14  6  2]
 [ 0 56  1  1]
 [ 1  2 68  0]
 [ 0  0  0  0]]","[[39 14  6 10]
 [ 0 55  1  2]
 [ 1  2 67  1]
 [ 0  0  0  0]]","[[33 14  6 16]
 [ 0 54  1  3]
 [ 1  2 64  4]
 [ 0  0  0  0]]","[[24 14  6 25]
 [ 0 53  1  4]
 [ 1  2 59  9]
 [ 0  0  0  0]]","[[21 14  6 28]
 [ 0 47  1 10]
 [ 1  2 55 13]
 [ 0  0  0  0]]"
