,1/0,1/1,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.8570564410078376,0.8570564410078376,0.8570564410078376,0.8510862132449635,0.8402503813581611,0.8253905633580558
"recall, A chirp",0.5697502221344654,0.5697502221344654,0.5697502221344654,0.5418106427090532,0.49896337249481687,0.4579919044328167
"recall, B chirp",0.9707621284522556,0.9707621284522556,0.9707621284522556,0.9616101077184741,0.9455738236008747,0.9230582327690937
"precision, A chirp",0.9335166612746684,0.9335166612746684,0.9335166612746684,0.9503030303030303,0.9661632575033454,0.9815911976301311
"precision, B chirp",0.8022220734890569,0.8022220734890569,0.8022220734890569,0.8074673558215452,0.8197009057080671,0.8325662941047557
"IoU, A chirp",0.5475332068311195,0.5475332068311195,0.5475332068311195,0.5268817204301075,0.49039394527459734,0.45409162098668754
"IoU, B chirp",0.7832963011371062,0.7832963011371062,0.7832963011371062,0.7822506259059164,0.782769024472008,0.7785367852995423
confusion_matrix,"[[0.57  0.252 0.178 0.   ]
 [0.008 0.971 0.021 0.   ]
 [0.02  0.026 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.57  0.252 0.178 0.   ]
 [0.008 0.971 0.021 0.   ]
 [0.02  0.026 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.57  0.252 0.178 0.   ]
 [0.008 0.971 0.021 0.   ]
 [0.02  0.026 0.954 0.   ]
 [0.    0.    0.    0.   ]]","[[0.542 0.246 0.212 0.   ]
 [0.006 0.962 0.032 0.   ]
 [0.014 0.022 0.965 0.   ]
 [0.    0.    0.    0.   ]]","[[0.499 0.234 0.267 0.   ]
 [0.004 0.946 0.05  0.   ]
 [0.008 0.013 0.979 0.   ]
 [0.    0.    0.    0.   ]]","[[0.458 0.213 0.329 0.   ]
 [0.002 0.923 0.075 0.   ]
 [0.004 0.009 0.987 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 5771  2550  1808     0]
 [  100 11986   261     0]
 [  311   405 14830     0]
 [    0     0     0     0]]","[[ 5771  2550  1808     0]
 [  100 11986   261     0]
 [  311   405 14830     0]
 [    0     0     0     0]]","[[ 5771  2550  1808     0]
 [  100 11986   261     0]
 [  311   405 14830     0]
 [    0     0     0     0]]","[[ 5488  2495  2146     0]
 [   76 11873   398     0]
 [  211   336 14999     0]
 [    0     0     0     0]]","[[ 5054  2369  2706     0]
 [   49 11675   623     0]
 [  128   199 15219     0]
 [    0     0     0     0]]","[[ 4639  2156  3334     0]
 [   24 11397   926     0]
 [   63   136 15347     0]
 [    0     0     0     0]]"
