,1/0,1/6,1/7,1/8,1/9,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.8518752301299248,0.848456156961759,0.841933617379412,0.8357266845510494,0.8232865183314922,0.8476408395139656,0.8291778444058703,0.8069801693756247,0.7785755615170165
"recall, A chirp",0.5533616349096653,0.5405271991312074,0.5164379504393326,0.49590285319379995,0.46233586731167936,0.5435877184322243,0.48208115312469146,0.4274854378517129,0.3732846282949946
"recall, B chirp",0.9647687697416376,0.9616910990524014,0.9562646796792743,0.9493804162954563,0.9349639588564024,0.9594233417024378,0.9421721875759294,0.9091277233336033,0.852595772252369
"precision, A chirp",0.9522595990485899,0.9630606860158312,0.9690626157836235,0.976287657920311,0.9805276381909548,0.9575652173913044,0.9717412935323383,0.983643798273512,0.9957861469581248
"precision, B chirp",0.8012376404116499,0.8034373096961905,0.8068197348640153,0.8166933742074828,0.8222807892300021,0.8038271018524802,0.8197449087449792,0.8292088350446923,0.8370706106870229
"IoU, A chirp",0.5384245917387128,0.5295483122158816,0.508061383061383,0.49000097551458394,0.45812952455488165,0.5308011182878627,0.4754162204264434,0.42446818939319675,0.37269590931493346
"IoU, B chirp",0.7784603319827473,0.7785208497246263,0.7781072887834454,0.7826145012685272,0.7777927503031936,0.7773986087413046,0.7804763502180476,0.7657411828910566,0.7312447902195054
confusion_matrix,"[[0.553 0.249 0.197 0.   ]
 [0.003 0.965 0.032 0.   ]
 [0.016 0.028 0.957 0.   ]
 [0.    0.    0.    0.   ]]","[[0.541 0.245 0.215 0.   ]
 [0.    0.962 0.038 0.   ]
 [0.014 0.027 0.959 0.   ]
 [0.    0.    0.    0.   ]]","[[0.516 0.239 0.244 0.   ]
 [0.    0.956 0.044 0.   ]
 [0.011 0.026 0.963 0.   ]
 [0.    0.    0.    0.   ]]","[[0.496 0.221 0.283 0.   ]
 [0.    0.949 0.051 0.   ]
 [0.008 0.025 0.967 0.   ]
 [0.    0.    0.    0.   ]]","[[0.462 0.209 0.329 0.   ]
 [0.    0.935 0.065 0.   ]
 [0.006 0.024 0.97  0.   ]
 [0.    0.    0.    0.   ]]","[[0.544 0.243 0.213 0.   ]
 [0.    0.959 0.041 0.   ]
 [0.016 0.027 0.957 0.   ]
 [0.    0.    0.    0.   ]]","[[0.482 0.214 0.304 0.   ]
 [0.    0.942 0.058 0.   ]
 [0.009 0.025 0.966 0.   ]
 [0.    0.    0.    0.   ]]","[[0.427 0.194 0.378 0.   ]
 [0.    0.909 0.091 0.   ]
 [0.005 0.022 0.973 0.   ]
 [0.    0.    0.    0.   ]]","[[0.373 0.179 0.448 0.   ]
 [0.    0.853 0.147 0.   ]
 [0.001 0.015 0.984 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 5605  2526  1998     0]
 [   37 11912   398     0]
 [  244   429 14873     0]
 [    0     0     0     0]]","[[ 5475  2480  2174     0]
 [    0 11874   473     0]
 [  210   425 14911     0]
 [    0     0     0     0]]","[[ 5231  2422  2476     0]
 [    0 11807   540     0]
 [  167   405 14974     0]
 [    0     0     0     0]]","[[ 5023  2238  2868     0]
 [    0 11722   625     0]
 [  122   393 15031     0]
 [    0     0     0     0]]","[[ 4683  2118  3328     0]
 [    0 11544   803     0]
 [   93   377 15076     0]
 [    0     0     0     0]]","[[ 5506  2466  2157     0]
 [    0 11846   501     0]
 [  244   425 14877     0]
 [    0     0     0     0]]","[[ 4883  2165  3081     0]
 [    0 11633   714     0]
 [  142   393 15011     0]
 [    0     0     0     0]]","[[ 4330  1966  3833     0]
 [    0 11225  1122     0]
 [   72   346 15128     0]
 [    0     0     0     0]]","[[ 3781  1814  4534     0]
 [    0 10527  1820     0]
 [   16   235 15295     0]
 [    0     0     0     0]]"
