,1/0,1/6,1/7,1/8,1/9,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.6803955604649939,0.6705854505286413,0.6523854610488664,0.6334227552469622,0.6140655410025775,0.6686918100047341,0.6281100415548893,0.5762190310872652,0.5297196360002104
"recall, A chirp",0.31237042156185213,0.30121433507750023,0.2782110771053411,0.25698489485635306,0.23013130615065652,0.3010168822193701,0.25194984697403494,0.1998222924276829,0.15628393720999112
"recall, B chirp",0.604924273102778,0.580302907588888,0.5385113792824168,0.4947760589616911,0.4557382360087471,0.5758483842228882,0.4853810642261278,0.3583056612942415,0.25010123916740906
"precision, A chirp",0.9171014492753623,0.9448745741715702,0.9598092643051771,0.9680178505020454,0.9716548561900792,0.9231002119285499,0.9583176868193767,0.9975357318876293,1.0
"precision, B chirp",0.8691958570929826,0.8750610649731314,0.8884286477819348,0.9008995723344639,0.9227615611675959,0.8749692345557469,0.8999849827301397,0.9325463743676222,0.9481117592876881
"IoU, A chirp",0.30379260681709075,0.29601241874454254,0.27500731921538013,0.2548213411649535,0.22859664607237423,0.2936530867764615,0.24921875,0.1997237023880008,0.15628393720999112
"IoU, B chirp",0.5544503006458318,0.5359012715033658,0.5043999393111819,0.46923726860741993,0.4389920424403183,0.5320661528099978,0.46053946053946054,0.3492539670008684,0.24672419303291787
confusion_matrix,"[[0.312 0.099 0.589 0.   ]
 [0.008 0.605 0.387 0.   ]
 [0.012 0.008 0.98  0.   ]
 [0.    0.    0.    0.   ]]","[[0.301 0.09  0.609 0.   ]
 [0.002 0.58  0.417 0.   ]
 [0.01  0.007 0.983 0.   ]
 [0.    0.    0.    0.   ]]","[[0.278 0.072 0.65  0.   ]
 [0.001 0.539 0.46  0.   ]
 [0.007 0.007 0.987 0.   ]
 [0.    0.    0.    0.   ]]","[[0.257 0.057 0.686 0.   ]
 [0.    0.495 0.505 0.   ]
 [0.005 0.006 0.989 0.   ]
 [0.    0.    0.    0.   ]]","[[0.23  0.038 0.732 0.   ]
 [0.    0.456 0.544 0.   ]
 [0.004 0.006 0.99  0.   ]
 [0.    0.    0.    0.   ]]","[[0.301 0.088 0.611 0.   ]
 [0.008 0.576 0.416 0.   ]
 [0.01  0.008 0.982 0.   ]
 [0.    0.    0.    0.   ]]","[[0.252 0.056 0.692 0.   ]
 [0.    0.485 0.514 0.   ]
 [0.007 0.007 0.987 0.   ]
 [0.    0.    0.    0.   ]]","[[0.2   0.024 0.776 0.   ]
 [0.    0.358 0.642 0.   ]
 [0.    0.005 0.995 0.   ]
 [0.    0.    0.    0.   ]]","[[0.156 0.009 0.835 0.   ]
 [0.    0.25  0.75  0.   ]
 [0.    0.005 0.995 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 3164  1003  5962     0]
 [   98  7469  4780     0]
 [  188   121 15237     0]
 [    0     0     0     0]]","[[ 3051   907  6171     0]
 [   29  7165  5153     0]
 [  149   116 15281     0]
 [    0     0     0     0]]","[[ 2818   730  6581     0]
 [   15  6649  5683     0]
 [  103   105 15338     0]
 [    0     0     0     0]]","[[ 2603   579  6947     0]
 [    5  6109  6233     0]
 [   81    93 15372     0]
 [    0     0     0     0]]","[[ 2331   383  7415     0]
 [    0  5627  6720     0]
 [   68    88 15390     0]
 [    0     0     0     0]]","[[ 3049   895  6185     0]
 [   95  7110  5142     0]
 [  159   121 15266     0]
 [    0     0     0     0]]","[[ 2552   564  7013     0]
 [    4  5993  6350     0]
 [  107   102 15337     0]
 [    0     0     0     0]]","[[ 2024   240  7865     0]
 [    0  4424  7923     0]
 [    5    80 15461     0]
 [    0     0     0     0]]","[[ 1583    93  8453     0]
 [    0  3088  9259     0]
 [    0    76 15470     0]
 [    0     0     0     0]]"
