,1/0/30,1/0/40,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/6/30,1/6/40,1/6/50,1/6/70,1/6/80,1/6/90,1/6/95,1/7/30,1/7/40,1/7/50,1/7/70,1/7/80,1/7/90,1/7/95,1/8/30,1/8/40,1/8/50,1/8/70,1/8/80,1/8/90,1/8/95,1/9/30,1/9/40,1/9/50,1/9/70,1/9/80,1/9/90,1/9/95,0.4/0/30,0.4/0/40,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/30,0.2/0/40,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/30,0.1/0/40,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/30,0.05/0/40,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.6919191919191919,0.6717171717171717,0.6313131313131313,0.5606060606060606,0.5151515151515151,0.4494949494949495,0.4292929292929293,0.6919191919191919,0.6717171717171717,0.6313131313131313,0.5606060606060606,0.5151515151515151,0.4494949494949495,0.4292929292929293,0.6919191919191919,0.6717171717171717,0.6313131313131313,0.5606060606060606,0.5151515151515151,0.4494949494949495,0.4292929292929293,0.6919191919191919,0.6717171717171717,0.6313131313131313,0.5606060606060606,0.5151515151515151,0.4494949494949495,0.4292929292929293,0.6919191919191919,0.6717171717171717,0.6313131313131313,0.5606060606060606,0.5151515151515151,0.4494949494949495,0.4292929292929293,0.6919191919191919,0.6717171717171717,0.6313131313131313,0.5606060606060606,0.5151515151515151,0.4494949494949495,0.4292929292929293,0.6919191919191919,0.6717171717171717,0.6313131313131313,0.5606060606060606,0.5151515151515151,0.4494949494949495,0.4292929292929293,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856
"recall, A chirp",0.43478260869565216,0.4057971014492754,0.30434782608695654,0.2318840579710145,0.2028985507246377,0.08695652173913043,0.057971014492753624,0.43478260869565216,0.4057971014492754,0.30434782608695654,0.2318840579710145,0.2028985507246377,0.08695652173913043,0.057971014492753624,0.43478260869565216,0.4057971014492754,0.30434782608695654,0.2318840579710145,0.2028985507246377,0.08695652173913043,0.057971014492753624,0.43478260869565216,0.4057971014492754,0.30434782608695654,0.2318840579710145,0.2028985507246377,0.08695652173913043,0.057971014492753624,0.43478260869565216,0.4057971014492754,0.30434782608695654,0.2318840579710145,0.2028985507246377,0.08695652173913043,0.057971014492753624,0.43478260869565216,0.4057971014492754,0.30434782608695654,0.2318840579710145,0.2028985507246377,0.08695652173913043,0.057971014492753624,0.43478260869565216,0.4057971014492754,0.30434782608695654,0.2318840579710145,0.2028985507246377,0.08695652173913043,0.057971014492753624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"recall, B chirp",0.6379310344827587,0.6206896551724138,0.603448275862069,0.4482758620689655,0.3448275862068966,0.27586206896551724,0.25862068965517243,0.6379310344827587,0.6206896551724138,0.603448275862069,0.4482758620689655,0.3448275862068966,0.27586206896551724,0.25862068965517243,0.6379310344827587,0.6206896551724138,0.603448275862069,0.4482758620689655,0.3448275862068966,0.27586206896551724,0.25862068965517243,0.6379310344827587,0.6206896551724138,0.603448275862069,0.4482758620689655,0.3448275862068966,0.27586206896551724,0.25862068965517243,0.6379310344827587,0.6206896551724138,0.603448275862069,0.4482758620689655,0.3448275862068966,0.27586206896551724,0.25862068965517243,0.6379310344827587,0.6206896551724138,0.603448275862069,0.4482758620689655,0.3448275862068966,0.27586206896551724,0.25862068965517243,0.6379310344827587,0.6206896551724138,0.603448275862069,0.4482758620689655,0.3448275862068966,0.27586206896551724,0.25862068965517243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A chirp correct,30,28,21,16,14,6,4,30,28,21,16,14,6,4,30,28,21,16,14,6,4,30,28,21,16,14,6,4,30,28,21,16,14,6,4,30,28,21,16,14,6,4,30,28,21,16,14,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A chirp incorrect,39,41,48,53,55,63,65,39,41,48,53,55,63,65,39,41,48,53,55,63,65,39,41,48,53,55,63,65,39,41,48,53,55,63,65,39,41,48,53,55,63,65,39,41,48,53,55,63,65,69,69,69,69,69,69,69,69,69,69,69,69,69,69
B chirp correct,37,36,35,26,20,16,15,37,36,35,26,20,16,15,37,36,35,26,20,16,15,37,36,35,26,20,16,15,37,36,35,26,20,16,15,37,36,35,26,20,16,15,37,36,35,26,20,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B chirp incorrect,21,22,23,32,38,42,43,21,22,23,32,38,42,43,21,22,23,32,38,42,43,21,22,23,32,38,42,43,21,22,23,32,38,42,43,21,22,23,32,38,42,43,21,22,23,32,38,42,43,58,58,58,58,58,58,58,58,58,58,58,58,58,58
confusion_matrix,"[[0.435 0.029 0.536 0.   ]
 [0.    0.638 0.362 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.406 0.029 0.565 0.   ]
 [0.    0.621 0.379 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.043 0.652 0.   ]
 [0.    0.603 0.397 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.232 0.043 0.652 0.072]
 [0.    0.448 0.397 0.155]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.652 0.101]
 [0.    0.345 0.397 0.259]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.087 0.043 0.652 0.217]
 [0.    0.276 0.397 0.328]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.058 0.043 0.652 0.246]
 [0.    0.259 0.397 0.345]
 [0.014 0.014 0.93  0.042]
 [0.    0.    0.    0.   ]]","[[0.435 0.029 0.536 0.   ]
 [0.    0.638 0.362 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.406 0.029 0.565 0.   ]
 [0.    0.621 0.379 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.043 0.652 0.   ]
 [0.    0.603 0.397 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.232 0.043 0.652 0.072]
 [0.    0.448 0.397 0.155]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.652 0.101]
 [0.    0.345 0.397 0.259]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.087 0.043 0.652 0.217]
 [0.    0.276 0.397 0.328]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.058 0.043 0.652 0.246]
 [0.    0.259 0.397 0.345]
 [0.014 0.014 0.93  0.042]
 [0.    0.    0.    0.   ]]","[[0.435 0.029 0.536 0.   ]
 [0.    0.638 0.362 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.406 0.029 0.565 0.   ]
 [0.    0.621 0.379 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.043 0.652 0.   ]
 [0.    0.603 0.397 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.232 0.043 0.652 0.072]
 [0.    0.448 0.397 0.155]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.652 0.101]
 [0.    0.345 0.397 0.259]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.087 0.043 0.652 0.217]
 [0.    0.276 0.397 0.328]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.058 0.043 0.652 0.246]
 [0.    0.259 0.397 0.345]
 [0.014 0.014 0.93  0.042]
 [0.    0.    0.    0.   ]]","[[0.435 0.029 0.536 0.   ]
 [0.    0.638 0.362 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.406 0.029 0.565 0.   ]
 [0.    0.621 0.379 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.043 0.652 0.   ]
 [0.    0.603 0.397 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.232 0.043 0.652 0.072]
 [0.    0.448 0.397 0.155]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.652 0.101]
 [0.    0.345 0.397 0.259]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.087 0.043 0.652 0.217]
 [0.    0.276 0.397 0.328]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.058 0.043 0.652 0.246]
 [0.    0.259 0.397 0.345]
 [0.014 0.014 0.93  0.042]
 [0.    0.    0.    0.   ]]","[[0.435 0.029 0.536 0.   ]
 [0.    0.638 0.362 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.406 0.029 0.565 0.   ]
 [0.    0.621 0.379 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.043 0.652 0.   ]
 [0.    0.603 0.397 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.232 0.043 0.652 0.072]
 [0.    0.448 0.397 0.155]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.652 0.101]
 [0.    0.345 0.397 0.259]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.087 0.043 0.652 0.217]
 [0.    0.276 0.397 0.328]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.058 0.043 0.652 0.246]
 [0.    0.259 0.397 0.345]
 [0.014 0.014 0.93  0.042]
 [0.    0.    0.    0.   ]]","[[0.435 0.029 0.536 0.   ]
 [0.    0.638 0.362 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.406 0.029 0.565 0.   ]
 [0.    0.621 0.379 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.043 0.652 0.   ]
 [0.    0.603 0.397 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.232 0.043 0.652 0.072]
 [0.    0.448 0.397 0.155]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.652 0.101]
 [0.    0.345 0.397 0.259]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.087 0.043 0.652 0.217]
 [0.    0.276 0.397 0.328]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.058 0.043 0.652 0.246]
 [0.    0.259 0.397 0.345]
 [0.014 0.014 0.93  0.042]
 [0.    0.    0.    0.   ]]","[[0.435 0.029 0.536 0.   ]
 [0.    0.638 0.362 0.   ]
 [0.    0.014 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.406 0.029 0.565 0.   ]
 [0.    0.621 0.379 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.304 0.043 0.652 0.   ]
 [0.    0.603 0.397 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.232 0.043 0.652 0.072]
 [0.    0.448 0.397 0.155]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.652 0.101]
 [0.    0.345 0.397 0.259]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.087 0.043 0.652 0.217]
 [0.    0.276 0.397 0.328]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.058 0.043 0.652 0.246]
 [0.    0.259 0.397 0.345]
 [0.014 0.014 0.93  0.042]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]"
confusion_matrix_nonnorm,"[[30  2 37  0]
 [ 0 37 21  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[28  2 39  0]
 [ 0 36 22  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[21  3 45  0]
 [ 0 35 23  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[16  3 45  5]
 [ 0 26 23  9]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[14  3 45  7]
 [ 0 20 23 15]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[ 6  3 45 15]
 [ 0 16 23 19]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[ 4  3 45 17]
 [ 0 15 23 20]
 [ 1  1 66  3]
 [ 0  0  0  0]]","[[30  2 37  0]
 [ 0 37 21  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[28  2 39  0]
 [ 0 36 22  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[21  3 45  0]
 [ 0 35 23  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[16  3 45  5]
 [ 0 26 23  9]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[14  3 45  7]
 [ 0 20 23 15]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[ 6  3 45 15]
 [ 0 16 23 19]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[ 4  3 45 17]
 [ 0 15 23 20]
 [ 1  1 66  3]
 [ 0  0  0  0]]","[[30  2 37  0]
 [ 0 37 21  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[28  2 39  0]
 [ 0 36 22  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[21  3 45  0]
 [ 0 35 23  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[16  3 45  5]
 [ 0 26 23  9]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[14  3 45  7]
 [ 0 20 23 15]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[ 6  3 45 15]
 [ 0 16 23 19]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[ 4  3 45 17]
 [ 0 15 23 20]
 [ 1  1 66  3]
 [ 0  0  0  0]]","[[30  2 37  0]
 [ 0 37 21  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[28  2 39  0]
 [ 0 36 22  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[21  3 45  0]
 [ 0 35 23  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[16  3 45  5]
 [ 0 26 23  9]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[14  3 45  7]
 [ 0 20 23 15]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[ 6  3 45 15]
 [ 0 16 23 19]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[ 4  3 45 17]
 [ 0 15 23 20]
 [ 1  1 66  3]
 [ 0  0  0  0]]","[[30  2 37  0]
 [ 0 37 21  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[28  2 39  0]
 [ 0 36 22  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[21  3 45  0]
 [ 0 35 23  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[16  3 45  5]
 [ 0 26 23  9]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[14  3 45  7]
 [ 0 20 23 15]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[ 6  3 45 15]
 [ 0 16 23 19]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[ 4  3 45 17]
 [ 0 15 23 20]
 [ 1  1 66  3]
 [ 0  0  0  0]]","[[30  2 37  0]
 [ 0 37 21  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[28  2 39  0]
 [ 0 36 22  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[21  3 45  0]
 [ 0 35 23  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[16  3 45  5]
 [ 0 26 23  9]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[14  3 45  7]
 [ 0 20 23 15]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[ 6  3 45 15]
 [ 0 16 23 19]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[ 4  3 45 17]
 [ 0 15 23 20]
 [ 1  1 66  3]
 [ 0  0  0  0]]","[[30  2 37  0]
 [ 0 37 21  0]
 [ 0  1 70  0]
 [ 0  0  0  0]]","[[28  2 39  0]
 [ 0 36 22  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[21  3 45  0]
 [ 0 35 23  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[16  3 45  5]
 [ 0 26 23  9]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[14  3 45  7]
 [ 0 20 23 15]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[ 6  3 45 15]
 [ 0 16 23 19]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[ 4  3 45 17]
 [ 0 15 23 20]
 [ 1  1 66  3]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]"
