,1/0,1/6,1/7,1/8,1/9,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.5378728104781443,0.5232496975435275,0.5020514439008995,0.4725159118405134,0.4536584082899374,0.5343222344958182,0.4686234285413708,0.42456998579769606,0.4111303981905213
"recall, A chirp",0.19992101885674796,0.17859611017869484,0.15588903149373087,0.12488893276730181,0.09161812617237634,0.19439233882910456,0.10711817553559087,0.03682495804126765,0.0057261328857735215
"recall, B chirp",0.24062525309791852,0.21171134688588322,0.1650603385437758,0.09921438406090548,0.06730379849356119,0.2334980157123188,0.10188709808050539,0.023406495504980966,0.006641289382036122
"precision, A chirp",0.9698275862068966,0.9826181423139598,0.9993670886075949,1.0,1.0,0.9733069698467622,0.9792418772563177,1.0,1.0
"precision, B chirp",0.973141172617098,0.9724702380952381,0.9649621212121212,0.9459459459459459,0.9368658399098083,0.9733288318703579,0.9465763732129421,0.8163841807909604,0.6029411764705882
"IoU, A chirp",0.19868524332810047,0.17803365810451727,0.1558736426456071,0.12488893276730181,0.09161812617237634,0.19336148482765395,0.10687549251379039,0.03682495804126765,0.0057261328857735215
"IoU, B chirp",0.2390377343310001,0.21045004427984865,0.16407696642782385,0.0986550696625594,0.06699991937434492,0.23201352003862868,0.10130455789982284,0.023283918788269416,0.006612369970163697
confusion_matrix,"[[0.2   0.    0.8   0.   ]
 [0.004 0.241 0.755 0.   ]
 [0.001 0.005 0.994 0.   ]
 [0.    0.    0.    0.   ]]","[[0.179 0.    0.821 0.   ]
 [0.003 0.212 0.786 0.   ]
 [0.    0.005 0.995 0.   ]
 [0.    0.    0.    0.   ]]","[[0.156 0.    0.844 0.   ]
 [0.    0.165 0.835 0.   ]
 [0.    0.005 0.995 0.   ]
 [0.    0.    0.    0.   ]]","[[0.125 0.    0.875 0.   ]
 [0.    0.099 0.901 0.   ]
 [0.    0.005 0.995 0.   ]
 [0.    0.    0.    0.   ]]","[[0.092 0.    0.908 0.   ]
 [0.    0.067 0.933 0.   ]
 [0.    0.004 0.996 0.   ]
 [0.    0.    0.    0.   ]]","[[0.194 0.    0.806 0.   ]
 [0.004 0.233 0.762 0.   ]
 [0.    0.005 0.995 0.   ]
 [0.    0.    0.    0.   ]]","[[0.107 0.    0.893 0.   ]
 [0.002 0.102 0.896 0.   ]
 [0.    0.005 0.995 0.   ]
 [0.    0.    0.    0.   ]]","[[0.037 0.    0.963 0.   ]
 [0.    0.023 0.977 0.   ]
 [0.    0.004 0.996 0.   ]
 [0.    0.    0.    0.   ]]","[[0.006 0.    0.994 0.   ]
 [0.    0.007 0.993 0.   ]
 [0.    0.003 0.997 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 2025     4  8100     0]
 [   50  2971  9326     0]
 [   13    78 15455     0]
 [    0     0     0     0]]","[[ 1809     0  8320     0]
 [   32  2614  9701     0]
 [    0    74 15472     0]
 [    0     0     0     0]]","[[ 1579     0  8550     0]
 [    1  2038 10308     0]
 [    0    74 15472     0]
 [    0     0     0     0]]","[[ 1265     0  8864     0]
 [    0  1225 11122     0]
 [    0    70 15476     0]
 [    0     0     0     0]]","[[  928     0  9201     0]
 [    0   831 11516     0]
 [    0    56 15490     0]
 [    0     0     0     0]]","[[ 1969     1  8159     0]
 [   50  2883  9414     0]
 [    4    78 15464     0]
 [    0     0     0     0]]","[[ 1085     0  9044     0]
 [   23  1258 11066     0]
 [    0    71 15475     0]
 [    0     0     0     0]]","[[  373     0  9756     0]
 [    0   289 12058     0]
 [    0    65 15481     0]
 [    0     0     0     0]]","[[   58     0 10071     0]
 [    0    82 12265     0]
 [    0    54 15492     0]
 [    0     0     0     0]]"
