,1/0,1/15,1/20,1/25,1/28,1/29,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.6222450160433434,0.6214033980327179,0.5965756667192678,0.555415285887118,0.522408079532902,0.5026037557203724,0.6100415548892746,0.5447372573773078,0.4535532060386092,0.4237283677870706
"recall, A chirp",0.27673018066936517,0.27455819922993385,0.2395103169118373,0.18965347023398163,0.16398459867706586,0.14433803929311878,0.26804225491163985,0.18945601737585152,0.1027742126567282,0.05439826241484846
"recall, B chirp",0.44804405928565644,0.44666720660889286,0.39329391755082205,0.3020976755487163,0.21989147161253747,0.17461731594719365,0.4167814043897303,0.2722118733295537,0.05677492508301612,0.001457844010690856
"precision, A chirp",0.9472794863129436,0.9517453798767967,0.97508038585209,0.9994797086368367,1.0,1.0,0.9463227605437434,0.9746063991874048,1.0,1.0
"precision, B chirp",0.9368331922099915,0.9374468808431072,0.9619651347068146,0.9711012757094507,0.9766187050359713,0.9755656108597285,0.9454345030314165,0.9756168359941945,0.9422043010752689,0.8181818181818182
"IoU, A chirp",0.2725328147788041,0.27078870496592017,0.23805318418212149,0.18963474827245805,0.16398459867706586,0.14433803929311878,0.26402800739083926,0.18852539542194716,0.1027742126567282,0.05439826241484846
"IoU, B chirp",0.4349056603773585,0.4337396775462053,0.3872717122577558,0.29940600417402474,0.21873992910087012,0.17385694702040158,0.4069914583992407,0.270372455956882,0.05657788539144471,0.0014573718727228565
confusion_matrix,"[[0.277 0.025 0.699 0.   ]
 [0.005 0.448 0.547 0.   ]
 [0.006 0.008 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.275 0.025 0.701 0.   ]
 [0.004 0.447 0.55  0.   ]
 [0.006 0.008 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.24  0.01  0.75  0.   ]
 [0.001 0.393 0.606 0.   ]
 [0.004 0.006 0.991 0.   ]
 [0.    0.    0.    0.   ]]","[[0.19  0.003 0.807 0.   ]
 [0.    0.302 0.698 0.   ]
 [0.    0.005 0.995 0.   ]
 [0.    0.    0.    0.   ]]","[[0.164 0.001 0.835 0.   ]
 [0.    0.22  0.78  0.   ]
 [0.    0.004 0.996 0.   ]
 [0.    0.    0.    0.   ]]","[[0.144 0.    0.856 0.   ]
 [0.    0.175 0.825 0.   ]
 [0.    0.003 0.997 0.   ]
 [0.    0.    0.    0.   ]]","[[0.268 0.018 0.714 0.   ]
 [0.004 0.417 0.579 0.   ]
 [0.006 0.007 0.986 0.   ]
 [0.    0.    0.    0.   ]]","[[0.189 0.002 0.809 0.   ]
 [0.    0.272 0.728 0.   ]
 [0.003 0.004 0.993 0.   ]
 [0.    0.    0.    0.   ]]","[[0.103 0.    0.897 0.   ]
 [0.    0.057 0.943 0.   ]
 [0.    0.003 0.997 0.   ]
 [0.    0.    0.    0.   ]]","[[0.054 0.    0.946 0.   ]
 [0.    0.001 0.999 0.   ]
 [0.    0.    1.    0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 2803   250  7076     0]
 [   57  5532  6758     0]
 [   99   123 15324     0]
 [    0     0     0     0]]","[[ 2781   249  7099     0]
 [   45  5515  6787     0]
 [   96   119 15331     0]
 [    0     0     0     0]]","[[ 2426   102  7601     0]
 [    7  4856  7484     0]
 [   55    90 15401     0]
 [    0     0     0     0]]","[[ 1921    33  8175     0]
 [    0  3730  8617     0]
 [    1    78 15467     0]
 [    0     0     0     0]]","[[ 1661     6  8462     0]
 [    0  2715  9632     0]
 [    0    59 15487     0]
 [    0     0     0     0]]","[[ 1462     0  8667     0]
 [    0  2156 10191     0]
 [    0    54 15492     0]
 [    0     0     0     0]]","[[ 2715   184  7230     0]
 [   55  5146  7146     0]
 [   99   113 15334     0]
 [    0     0     0     0]]","[[ 1919    20  8190     0]
 [    0  3361  8986     0]
 [   50    64 15432     0]
 [    0     0     0     0]]","[[ 1041     0  9088     0]
 [    0   701 11646     0]
 [    0    43 15503     0]
 [    0     0     0     0]]","[[  551     0  9578     0]
 [    0    18 12329     0]
 [    0     4 15542     0]
 [    0     0     0     0]]"
