,1/0,1/1,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.7901478091631161,0.7901478091631161,0.7901478091631161,0.7429645994424281,0.7156120140971016,0.6742938298879596
"recall, A chirp",0.4297561457202093,0.4297561457202093,0.4297561457202093,0.401619113436667,0.3616349096653174,0.30565702438542797
"recall, B chirp",0.8879079938446586,0.8878270025107313,0.8879079938446586,0.7498987608325909,0.6801652223212117,0.5862152749655787
"precision, A chirp",0.9321199143468951,0.9331189710610932,0.9321199143468951,0.9493582263710618,0.9786267699706118,0.9885057471264368
"precision, B chirp",0.7933854392820958,0.7934279096699479,0.7933854392820958,0.8320452911574406,0.8719759111203406,0.8990187554341076
"IoU, A chirp",0.4167145318782309,0.4169140886888229,0.4167145318782309,0.39319543785037697,0.358801057890097,0.3045745204131825
"IoU, B chirp",0.721155111169583,0.7211367673179396,0.721155111169583,0.6513083849184018,0.6184094256259205,0.55
confusion_matrix,"[[0.43  0.228 0.342 0.   ]
 [0.003 0.888 0.109 0.   ]
 [0.018 0.035 0.947 0.   ]
 [0.    0.    0.    0.   ]]","[[0.43  0.228 0.342 0.   ]
 [0.003 0.888 0.109 0.   ]
 [0.018 0.035 0.947 0.   ]
 [0.    0.    0.    0.   ]]","[[0.43  0.228 0.342 0.   ]
 [0.003 0.888 0.109 0.   ]
 [0.018 0.035 0.947 0.   ]
 [0.    0.    0.    0.   ]]","[[0.402 0.143 0.456 0.   ]
 [0.001 0.75  0.249 0.   ]
 [0.013 0.027 0.96  0.   ]
 [0.    0.    0.    0.   ]]","[[0.362 0.09  0.548 0.   ]
 [0.    0.68  0.32  0.   ]
 [0.005 0.02  0.974 0.   ]
 [0.    0.    0.    0.   ]]","[[0.306 0.06  0.634 0.   ]
 [0.    0.586 0.414 0.   ]
 [0.002 0.013 0.984 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 4353  2313  3463     0]
 [   40 10963  1344     0]
 [  277   542 14727     0]
 [    0     0     0     0]]","[[ 4353  2313  3463     0]
 [   35 10962  1350     0]
 [  277   541 14728     0]
 [    0     0     0     0]]","[[ 4353  2313  3463     0]
 [   40 10963  1344     0]
 [  277   542 14727     0]
 [    0     0     0     0]]","[[ 4068  1446  4615     0]
 [   16  9259  3072     0]
 [  201   423 14922     0]
 [    0     0     0     0]]","[[ 3663   915  5551     0]
 [    0  8398  3949     0]
 [   80   318 15148     0]
 [    0     0     0     0]]","[[ 3096   607  6426     0]
 [    0  7238  5109     0]
 [   36   206 15304     0]
 [    0     0     0     0]]"
