,1/0/30,1/0/40,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/1/30,1/1/40,1/1/50,1/1/70,1/1/80,1/1/90,1/1/95,0.4/0/30,0.4/0/40,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/30,0.2/0/40,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/30,0.1/0/40,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/30,0.05/0/40,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.7525252525252525,0.7323232323232324,0.6868686868686869,0.6111111111111112,0.5656565656565656,0.5252525252525253,0.47474747474747475,0.7525252525252525,0.7323232323232324,0.6868686868686869,0.6111111111111112,0.5656565656565656,0.5252525252525253,0.47474747474747475,0.7525252525252525,0.7323232323232324,0.6868686868686869,0.6111111111111112,0.5656565656565656,0.5252525252525253,0.47474747474747475,0.7525252525252525,0.7323232323232324,0.6868686868686869,0.6111111111111112,0.5656565656565656,0.5252525252525253,0.47474747474747475,0.7525252525252525,0.7323232323232324,0.6868686868686869,0.6111111111111112,0.5656565656565656,0.5252525252525253,0.47474747474747475,0.7525252525252525,0.7323232323232324,0.6868686868686869,0.6111111111111112,0.5656565656565656,0.5252525252525253,0.47474747474747475
"recall, A chirp",0.5072463768115942,0.463768115942029,0.391304347826087,0.2608695652173913,0.2028985507246377,0.17391304347826086,0.13043478260869565,0.5072463768115942,0.463768115942029,0.391304347826087,0.2608695652173913,0.2028985507246377,0.17391304347826086,0.13043478260869565,0.5072463768115942,0.463768115942029,0.391304347826087,0.2608695652173913,0.2028985507246377,0.17391304347826086,0.13043478260869565,0.5072463768115942,0.463768115942029,0.391304347826087,0.2608695652173913,0.2028985507246377,0.17391304347826086,0.13043478260869565,0.5072463768115942,0.463768115942029,0.391304347826087,0.2608695652173913,0.2028985507246377,0.17391304347826086,0.13043478260869565,0.5072463768115942,0.463768115942029,0.391304347826087,0.2608695652173913,0.2028985507246377,0.17391304347826086,0.13043478260869565
"recall, B chirp",0.7758620689655172,0.7586206896551724,0.6896551724137931,0.5862068965517241,0.5172413793103449,0.43103448275862066,0.3448275862068966,0.7758620689655172,0.7586206896551724,0.6896551724137931,0.5862068965517241,0.5172413793103449,0.43103448275862066,0.3448275862068966,0.7758620689655172,0.7586206896551724,0.6896551724137931,0.5862068965517241,0.5172413793103449,0.43103448275862066,0.3448275862068966,0.7758620689655172,0.7586206896551724,0.6896551724137931,0.5862068965517241,0.5172413793103449,0.43103448275862066,0.3448275862068966,0.7758620689655172,0.7586206896551724,0.6896551724137931,0.5862068965517241,0.5172413793103449,0.43103448275862066,0.3448275862068966,0.7758620689655172,0.7586206896551724,0.6896551724137931,0.5862068965517241,0.5172413793103449,0.43103448275862066,0.3448275862068966
A chirp correct,35,32,27,18,14,12,9,35,32,27,18,14,12,9,35,32,27,18,14,12,9,35,32,27,18,14,12,9,35,32,27,18,14,12,9,35,32,27,18,14,12,9
A chirp incorrect,34,37,42,51,55,57,60,34,37,42,51,55,57,60,34,37,42,51,55,57,60,34,37,42,51,55,57,60,34,37,42,51,55,57,60,34,37,42,51,55,57,60
B chirp correct,45,44,40,34,30,25,20,45,44,40,34,30,25,20,45,44,40,34,30,25,20,45,44,40,34,30,25,20,45,44,40,34,30,25,20,45,44,40,34,30,25,20
B chirp incorrect,13,14,18,24,28,33,38,13,14,18,24,28,33,38,13,14,18,24,28,33,38,13,14,18,24,28,33,38,13,14,18,24,28,33,38,13,14,18,24,28,33,38
confusion_matrix,"[[0.507 0.043 0.449 0.   ]
 [0.    0.776 0.224 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.043 0.493 0.   ]
 [0.    0.759 0.241 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.391 0.043 0.551 0.014]
 [0.    0.69  0.293 0.017]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.261 0.043 0.551 0.145]
 [0.    0.586 0.293 0.121]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.551 0.203]
 [0.    0.517 0.293 0.19 ]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.174 0.043 0.551 0.232]
 [0.    0.431 0.293 0.276]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.13  0.043 0.551 0.275]
 [0.    0.345 0.293 0.362]
 [0.014 0.014 0.915 0.056]
 [0.    0.    0.    0.   ]]","[[0.507 0.043 0.449 0.   ]
 [0.    0.776 0.224 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.043 0.493 0.   ]
 [0.    0.759 0.241 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.391 0.043 0.551 0.014]
 [0.    0.69  0.293 0.017]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.261 0.043 0.551 0.145]
 [0.    0.586 0.293 0.121]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.551 0.203]
 [0.    0.517 0.293 0.19 ]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.174 0.043 0.551 0.232]
 [0.    0.431 0.293 0.276]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.13  0.043 0.551 0.275]
 [0.    0.345 0.293 0.362]
 [0.014 0.014 0.915 0.056]
 [0.    0.    0.    0.   ]]","[[0.507 0.043 0.449 0.   ]
 [0.    0.776 0.224 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.043 0.493 0.   ]
 [0.    0.759 0.241 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.391 0.043 0.551 0.014]
 [0.    0.69  0.293 0.017]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.261 0.043 0.551 0.145]
 [0.    0.586 0.293 0.121]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.551 0.203]
 [0.    0.517 0.293 0.19 ]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.174 0.043 0.551 0.232]
 [0.    0.431 0.293 0.276]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.13  0.043 0.551 0.275]
 [0.    0.345 0.293 0.362]
 [0.014 0.014 0.915 0.056]
 [0.    0.    0.    0.   ]]","[[0.507 0.043 0.449 0.   ]
 [0.    0.776 0.224 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.043 0.493 0.   ]
 [0.    0.759 0.241 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.391 0.043 0.551 0.014]
 [0.    0.69  0.293 0.017]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.261 0.043 0.551 0.145]
 [0.    0.586 0.293 0.121]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.551 0.203]
 [0.    0.517 0.293 0.19 ]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.174 0.043 0.551 0.232]
 [0.    0.431 0.293 0.276]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.13  0.043 0.551 0.275]
 [0.    0.345 0.293 0.362]
 [0.014 0.014 0.915 0.056]
 [0.    0.    0.    0.   ]]","[[0.507 0.043 0.449 0.   ]
 [0.    0.776 0.224 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.043 0.493 0.   ]
 [0.    0.759 0.241 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.391 0.043 0.551 0.014]
 [0.    0.69  0.293 0.017]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.261 0.043 0.551 0.145]
 [0.    0.586 0.293 0.121]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.551 0.203]
 [0.    0.517 0.293 0.19 ]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.174 0.043 0.551 0.232]
 [0.    0.431 0.293 0.276]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.13  0.043 0.551 0.275]
 [0.    0.345 0.293 0.362]
 [0.014 0.014 0.915 0.056]
 [0.    0.    0.    0.   ]]","[[0.507 0.043 0.449 0.   ]
 [0.    0.776 0.224 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.464 0.043 0.493 0.   ]
 [0.    0.759 0.241 0.   ]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.391 0.043 0.551 0.014]
 [0.    0.69  0.293 0.017]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.261 0.043 0.551 0.145]
 [0.    0.586 0.293 0.121]
 [0.014 0.014 0.972 0.   ]
 [0.    0.    0.    0.   ]]","[[0.203 0.043 0.551 0.203]
 [0.    0.517 0.293 0.19 ]
 [0.014 0.014 0.958 0.014]
 [0.    0.    0.    0.   ]]","[[0.174 0.043 0.551 0.232]
 [0.    0.431 0.293 0.276]
 [0.014 0.014 0.944 0.028]
 [0.    0.    0.    0.   ]]","[[0.13  0.043 0.551 0.275]
 [0.    0.345 0.293 0.362]
 [0.014 0.014 0.915 0.056]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[35  3 31  0]
 [ 0 45 13  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[32  3 34  0]
 [ 0 44 14  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[27  3 38  1]
 [ 0 40 17  1]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[18  3 38 10]
 [ 0 34 17  7]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[14  3 38 14]
 [ 0 30 17 11]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[12  3 38 16]
 [ 0 25 17 16]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[ 9  3 38 19]
 [ 0 20 17 21]
 [ 1  1 65  4]
 [ 0  0  0  0]]","[[35  3 31  0]
 [ 0 45 13  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[32  3 34  0]
 [ 0 44 14  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[27  3 38  1]
 [ 0 40 17  1]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[18  3 38 10]
 [ 0 34 17  7]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[14  3 38 14]
 [ 0 30 17 11]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[12  3 38 16]
 [ 0 25 17 16]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[ 9  3 38 19]
 [ 0 20 17 21]
 [ 1  1 65  4]
 [ 0  0  0  0]]","[[35  3 31  0]
 [ 0 45 13  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[32  3 34  0]
 [ 0 44 14  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[27  3 38  1]
 [ 0 40 17  1]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[18  3 38 10]
 [ 0 34 17  7]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[14  3 38 14]
 [ 0 30 17 11]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[12  3 38 16]
 [ 0 25 17 16]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[ 9  3 38 19]
 [ 0 20 17 21]
 [ 1  1 65  4]
 [ 0  0  0  0]]","[[35  3 31  0]
 [ 0 45 13  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[32  3 34  0]
 [ 0 44 14  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[27  3 38  1]
 [ 0 40 17  1]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[18  3 38 10]
 [ 0 34 17  7]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[14  3 38 14]
 [ 0 30 17 11]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[12  3 38 16]
 [ 0 25 17 16]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[ 9  3 38 19]
 [ 0 20 17 21]
 [ 1  1 65  4]
 [ 0  0  0  0]]","[[35  3 31  0]
 [ 0 45 13  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[32  3 34  0]
 [ 0 44 14  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[27  3 38  1]
 [ 0 40 17  1]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[18  3 38 10]
 [ 0 34 17  7]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[14  3 38 14]
 [ 0 30 17 11]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[12  3 38 16]
 [ 0 25 17 16]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[ 9  3 38 19]
 [ 0 20 17 21]
 [ 1  1 65  4]
 [ 0  0  0  0]]","[[35  3 31  0]
 [ 0 45 13  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[32  3 34  0]
 [ 0 44 14  0]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[27  3 38  1]
 [ 0 40 17  1]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[18  3 38 10]
 [ 0 34 17  7]
 [ 1  1 69  0]
 [ 0  0  0  0]]","[[14  3 38 14]
 [ 0 30 17 11]
 [ 1  1 68  1]
 [ 0  0  0  0]]","[[12  3 38 16]
 [ 0 25 17 16]
 [ 1  1 67  2]
 [ 0  0  0  0]]","[[ 9  3 38 19]
 [ 0 20 17 21]
 [ 1  1 65  4]
 [ 0  0  0  0]]"
