,1/0,1/6,1/7,1/8,1/9,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.8632370732733681,0.8598969017936984,0.8529009520803745,0.8441691652201357,0.8342275524696229,0.8565830308768607,0.8399610751670086,0.8274683078217874,0.8041134080269318
"recall, A chirp",0.5912725836706486,0.5762661664527594,0.5490176720308027,0.517227761871853,0.48405568170599267,0.5649126271102775,0.5012340803633133,0.4611511501628986,0.4120841149175634
"recall, B chirp",0.9649307524094922,0.9637968737345104,0.9608811857131287,0.955859723009638,0.9469506762776383,0.9645257957398559,0.9539159309953835,0.9369077508706568,0.893415404551713
"precision, A chirp",0.9518436109345201,0.9603487989470221,0.9674669450243563,0.9741539605801414,0.9843404938767316,0.9541437385359346,0.9772858517805583,0.9938297872340426,0.9971333014811276
"precision, B chirp",0.8033173757669746,0.8085337681750238,0.8138848871509913,0.8181629116117851,0.8227429456055169,0.8107979302832244,0.8213389121338912,0.834451417442112,0.8485384615384616
"IoU, A chirp",0.5740989263803681,0.5628736740597878,0.5390655292749128,0.5102259446825088,0.48035661800724994,0.5499807766243753,0.49546208646433104,0.4598346131128175,0.4115964894980771
"IoU, B chirp",0.7805293501048218,0.7847016155621497,0.7877822045152723,0.7883767535070141,0.7864926678326383,0.787319846621711,0.7899926219062311,0.7900560032782407,0.7705364626990779
confusion_matrix,"[[0.591 0.246 0.163 0.   ]
 [0.008 0.965 0.027 0.   ]
 [0.013 0.027 0.96  0.   ]
 [0.    0.    0.    0.   ]]","[[0.576 0.238 0.186 0.   ]
 [0.005 0.964 0.031 0.   ]
 [0.011 0.026 0.962 0.   ]
 [0.    0.    0.    0.   ]]","[[0.549 0.229 0.222 0.   ]
 [0.003 0.961 0.036 0.   ]
 [0.01  0.025 0.965 0.   ]
 [0.    0.    0.    0.   ]]","[[0.517 0.222 0.261 0.   ]
 [0.002 0.956 0.042 0.   ]
 [0.007 0.024 0.968 0.   ]
 [0.    0.    0.    0.   ]]","[[0.484 0.214 0.302 0.   ]
 [0.    0.947 0.053 0.   ]
 [0.005 0.022 0.973 0.   ]
 [0.    0.    0.    0.   ]]","[[0.565 0.233 0.202 0.   ]
 [0.007 0.965 0.029 0.   ]
 [0.012 0.027 0.961 0.   ]
 [0.    0.    0.    0.   ]]","[[0.501 0.217 0.282 0.   ]
 [0.001 0.954 0.045 0.   ]
 [0.006 0.023 0.97  0.   ]
 [0.    0.    0.    0.   ]]","[[0.461 0.198 0.341 0.   ]
 [0.    0.937 0.063 0.   ]
 [0.002 0.019 0.979 0.   ]
 [0.    0.    0.    0.   ]]","[[0.412 0.178 0.41  0.   ]
 [0.    0.893 0.107 0.   ]
 [0.001 0.011 0.989 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 5989  2491  1649     0]
 [  102 11914   331     0]
 [  201   426 14919     0]
 [    0     0     0     0]]","[[ 5837  2408  1884     0]
 [   63 11900   384     0]
 [  178   410 14958     0]
 [    0     0     0     0]]","[[ 5561  2321  2247     0]
 [   37 11864   446     0]
 [  150   392 15004     0]
 [    0     0     0     0]]","[[ 5239  2245  2645     0]
 [   27 11802   518     0]
 [  112   378 15056     0]
 [    0     0     0     0]]","[[ 4903  2171  3055     0]
 [    4 11692   651     0]
 [   74   348 15124     0]
 [    0     0     0     0]]","[[ 5722  2363  2044     0]
 [   83 11909   355     0]
 [  192   416 14938     0]
 [    0     0     0     0]]","[[ 5077  2199  2853     0]
 [   17 11778   552     0]
 [  101   363 15082     0]
 [    0     0     0     0]]","[[ 4671  2001  3457     0]
 [    0 11568   779     0]
 [   29   294 15223     0]
 [    0     0     0     0]]","[[ 4174  1804  4151     0]
 [    0 11031  1316     0]
 [   12   165 15369     0]
 [    0     0     0     0]]"
