,1/0,1/1,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.7259218347272631,0.7257377307874389,0.7259218347272631,0.6830256167481984,0.6508863289674399,0.5985482089316712
"recall, A chirp",0.37239609043340904,0.37239609043340904,0.37239609043340904,0.36005528680027643,0.3144436765722184,0.22460262612301313
"recall, B chirp",0.7147485219081559,0.7140195999028104,0.7147485219081559,0.5805458815906698,0.5014173483437272,0.40706244431845795
"precision, A chirp",0.9256441717791412,0.9256441717791412,0.9256441717791412,0.9438405797101449,0.9803016312711603,0.9956236323851203
"precision, B chirp",0.8294952533132813,0.8295069627399323,0.8294952533132813,0.8869091808958178,0.9174570243034973,0.9369873228933632
"IoU, A chirp",0.361579754601227,0.361579754601227,0.361579754601227,0.35250338294993233,0.3124693417050917,0.22438110267284742
"IoU, B chirp",0.6231904526516489,0.6226428420086164,0.6231904526516489,0.5405323882060177,0.47977371357718535,0.3962160031533307
confusion_matrix,"[[0.372 0.148 0.479 0.   ]
 [0.006 0.715 0.279 0.   ]
 [0.015 0.02  0.965 0.   ]
 [0.    0.    0.    0.   ]]","[[0.372 0.148 0.479 0.   ]
 [0.006 0.714 0.28  0.   ]
 [0.015 0.02  0.965 0.   ]
 [0.    0.    0.    0.   ]]","[[0.372 0.148 0.479 0.   ]
 [0.006 0.715 0.279 0.   ]
 [0.015 0.02  0.965 0.   ]
 [0.    0.    0.    0.   ]]","[[0.36  0.068 0.572 0.   ]
 [0.004 0.581 0.415 0.   ]
 [0.01  0.015 0.975 0.   ]
 [0.    0.    0.    0.   ]]","[[0.314 0.041 0.645 0.   ]
 [0.003 0.501 0.496 0.   ]
 [0.002 0.009 0.989 0.   ]
 [0.    0.    0.    0.   ]]","[[0.225 0.025 0.751 0.   ]
 [0.001 0.407 0.592 0.   ]
 [0.    0.006 0.994 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 3772  1501  4856     0]
 [   74  8825  3448     0]
 [  229   313 15004     0]
 [    0     0     0     0]]","[[ 3772  1501  4856     0]
 [   74  8816  3457     0]
 [  229   311 15006     0]
 [    0     0     0     0]]","[[ 3772  1501  4856     0]
 [   74  8825  3448     0]
 [  229   313 15004     0]
 [    0     0     0     0]]","[[ 3647   686  5796     0]
 [   54  7168  5125     0]
 [  163   228 15155     0]
 [    0     0     0     0]]","[[ 3185   415  6529     0]
 [   32  6191  6124     0]
 [   32   142 15372     0]
 [    0     0     0     0]]","[[ 2275   252  7602     0]
 [    7  5026  7314     0]
 [    3    86 15457     0]
 [    0     0     0     0]]"
